year,percent
1880,0.00543
1881,0.004866
1882,0.004867
1883,0.005467
1884,0.004668
1885,0.004614
1886,0.004662
1887,0.005095
1888,0.004357
1889,0.004326
1890,0.004219
1891,0.004621
1892,0.004062
1893,0.004312
1894,0.004123
1895,0.004074
1896,0.004346
1897,0.004264
1898,0.003959
1899,0.00421
1900,0.003704
1901,0.003607
1902,0.003774
1903,0.00334
1904,0.003408
1905,0.003379
1906,0.003512
1907,0.003329
1908,0.003192
1909,0.003218
1910,0.003315
1911,0.003295
1912,0.003374
1913,0.003505
1914,0.003403
1915,0.003406
1916,0.003411
1917,0.003499
1918,0.003555
1919,0.003474
1920,0.003541
1921,0.003596
1922,0.003802
1923,0.003765
1924,0.00376
1925,0.003957
1926,0.003934
1927,0.00398
1928,0.003888
1929,0.003948
1930,0.003953
1931,0.004074
1932,0.004139
1933,0.004229
1934,0.004239
1935,0.004295
1936,0.004523
1937,0.004688
1938,0.004911
1939,0.005122
1940,0.005242
1941,0.005618
1942,0.006045
1943,0.006301
1944,0.006708
1945,0.007076
1946,0.007789
1947,0.008188
1948,0.009254
1949,0.010128
1950,0.010552
1951,0.011044
1952,0.011867
1953,0.011733
1954,0.01222
1955,0.012665
1956,0.012414
1957,0.012482
1958,0.011895
1959,0.011601
1960,0.011993
1961,0.012006
1962,0.012157
1963,0.012027
1964,0.012009
1965,0.013105
1966,0.012803
1967,0.012482
1968,0.012397
1969,0.012681
1970,0.01235
1971,0.011983
1972,0.013203
1973,0.014665
1974,0.014625
1975,0.014685
1976,0.015139
1977,0.015259
1978,0.01547
1979,0.015919
1980,0.01612
1981,0.016651
1982,0.017302
1983,0.018652
1984,0.01947
1985,0.020035
1986,0.019036
1987,0.018398
1988,0.017337
1989,0.016701
1990,0.015717
1991,0.014579
1992,0.013878
1993,0.013875
1994,0.01376
1995,0.013271
1996,0.012521
1997,0.011976
1998,0.01141
1999,0.011122
2000,0.010681
2001,0.010141
2002,0.010313
2003,0.010013
2004,0.009928
2005,0.0095
2006,0.009142
2007,0.009135
2008,0.008702
