Table 6.1B. National Income Without Capital Consumption Adjustment by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual data from 1948 To 1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data published August 06, 2015   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File created 11/4/2015 6:41:24 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,      National income without capital consumption adjustment,A422RC1,249.4,244.0,270.8,312.3,330.4,347.4,346.5,378.3,402.2,421.1,423.9,461.2,480.2,496.7,531.5,561.6,602.6,654.2,713.5,754.2,826.5,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Domestic industries,A423RC1,248.2,242.9,269.6,310.7,328.8,345.9,344.8,376.2,399.8,418.5,421.7,458.4,477.0,493.2,527.5,557.1,597.6,648.9,708.4,748.8,820.4,887.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,  Private industries,A736RC1,225.4,217.7,242.8,276.0,288.8,304.7,302.6,332.1,353.3,368.8,368.5,402.8,417.7,430.0,459.9,484.6,519.4,564.7,614.0,644.9,703.8,760.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"    Agriculture, forestry, and fishing",J424RC1,21.7,17.0,18.0,20.8,19.9,17.7,17.2,16.2,16.0,15.8,18.0,16.2,17.1,17.4,17.6,17.6,16.5,19.1,19.9,19.1,19.6,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,    Mining,J734RC1,5.8,5.0,5.8,6.4,6.2,6.3,6.1,6.8,7.6,7.6,6.9,6.6,6.9,7.0,6.9,7.3,7.5,7.6,7.8,8.1,8.9,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,    Construction,J735RC1,11.1,11.0,12.5,14.9,16.1,16.6,16.7,17.9,19.9,20.8,20.4,22.1,22.6,23.6,25.4,27.1,29.7,32.6,35.6,37.2,40.7,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,    Manufacturing,J426RC1,75.2,71.3,83.7,98.2,101.8,110.5,104.3,118.6,124.9,128.5,120.0,135.8,137.2,137.0,149.2,157.6,169.0,186.8,205.6,210.0,228.9,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,      Durable goods,J428RC1,37.5,35.9,45.0,54.2,57.1,63.6,58.1,67.8,71.1,74.4,66.2,77.6,78.1,76.8,86.2,92.0,99.1,111.4,123.5,125.5,136.9,144.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,      Nondurable goods,J427RC1,37.7,35.4,38.7,44.0,44.7,46.9,46.2,50.8,53.7,54.1,53.9,58.2,59.1,60.2,63.0,65.6,69.9,75.3,82.1,84.5,92.0,96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,    Transportation and public utilities,J737RC1,21.3,21.4,24.0,27.1,28.9,30.6,30.1,32.5,34.9,36.6,36.6,39.5,41.5,42.7,45.0,47.3,50.3,53.7,58.0,60.3,65.0,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
