Table 3.1. Government Current Receipts and Expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual data from 1969 To 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data published February 26, 2016 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File created 2/26/2016 9:31:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,    Current receipts,W021RC1,282.5,285.7,302.1,345.4,388.5,430.0,440.9,505.4,567.0,645.7,728.8,799.3,918.7,940.5,"1,001.7","1,114.4","1,216.5","1,292.3","1,406.1","1,506.5","1,631.4","1,712.9","1,763.3","1,848.2","1,952.3","2,096.5","2,222.8","2,387.4","2,565.0","2,737.7","2,908.1","3,138.2","3,123.2","2,971.9","3,048.0","3,270.3","3,669.0","4,007.9","4,208.8","4,117.5","3,699.5","3,936.5","4,132.2","4,312.3","4,827.6","4,995.4",.....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Current tax receipts,W054RC1,228.4,229.2,240.3,273.8,299.3,328.1,334.3,384.0,431.3,485.0,538.2,586.2,664.1,660.1,694.6,763.0,824.4,869.4,966.3,"1,019.9","1,110.8","1,163.3","1,182.2","1,242.0","1,320.0","1,428.2","1,521.2","1,646.6","1,785.7","1,916.7","2,040.4","2,207.1","2,168.2","2,006.2","2,054.1","2,216.5","2,555.8","2,817.9","2,963.8","2,849.6","2,439.2","2,658.4","2,922.1","3,077.2","3,304.8","3,491.9",.....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,  Personal current taxes,W055RC1,104.5,103.1,101.7,123.6,132.4,151.0,147.6,172.7,197.9,229.6,268.9,299.5,345.8,354.7,352.9,377.9,417.8,437.8,489.6,505.9,567.7,594.7,588.9,612.8,648.8,693.1,748.4,837.1,931.8,"1,032.4","1,112.1","1,236.6","1,239.3","1,054.7","1,005.3","1,050.6","1,213.2","1,357.1","1,493.2","1,507.8","1,152.3","1,239.3","1,453.2","1,511.4","1,672.8","1,780.2","1,945.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,  Taxes on production and imports,W056RC1,83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425.0,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.6,808.0,863.9,934.5,991.9,"1,034.6","1,041.9","1,026.1","1,057.1","1,102.6","1,132.1","1,178.0","1,213.7","1,236.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,  Taxes on corporate income,W025RC1,39.7,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73.0,83.5,88.0,84.8,81.1,63.1,77.2,94.0,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211.0,223.6,237.1,239.2,248.8,254.7,193.5,181.3,231.8,292.0,395.9,454.3,420.7,281.1,246.0,346.3,349.6,415.6,434.7,476.2,.....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,  Taxes from the rest of the world,W008RC1,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,1.0,1.1,1.6,1.5,1.4,1.2,1.3,1.9,1.7,2.0,2.4,2.7,3.0,2.6,2.6,2.7,3.1,3.9,5.2,5.1,5.7,5.9,7.3,7.7,7.6,9.0,10.0,12.1,14.6,15.3,18.8,14.8,15.7,16.7,18.2,19.3,21.7,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Contributions for government social insurance,W782RC1,44.3,46.6,51.5,59.6,76.0,85.8,89.9,102.0,113.9,132.1,153.7,167.2,196.9,210.1,227.2,258.8,282.8,304.9,324.6,363.2,386.9,412.1,432.2,457.1,479.6,510.7,535.5,557.9,590.3,627.8,664.6,709.4,736.9,755.2,783.2,833.6,878.0,927.2,966.1,993.1,969.4,989.0,922.2,956.2,"1,112.0","1,164.1","1,207.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,  From persons,A061RC1,44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226.0,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455.0,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,779.3,829.2,873.3,922.6,961.4,988.2,964.4,984.1,917.8,951.6,"1,106.8","1,159.0","1,202.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,  From the rest of the world \1\,W781RC1,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.8,0.9,0.9,1.0,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.7,1.7,2.0,2.1,2.1,2.2,2.5,2.7,2.8,3.0,3.1,3.3,3.6,3.7,3.8,3.9,4.4,4.7,4.6,4.7,4.8,5.0,4.9,4.4,4.6,5.2,5.1,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Income receipts on assets,W058RC1,7.2,8.4,9.1,9.7,11.8,14.7,16.4,16.7,18.7,23.6,31.3,40.6,51.2,60.1,66.2,75.4,85.7,91.1,86.7,91.4,95.4,98.9,97.3,89.7,87.7,87.1,92.9,100.3,103.6,102.8,106.3,119.5,115.6,100.3,97.3,102.2,115.8,136.1,151.3,139.6,136.3,137.2,135.6,128.0,237.5,150.5,129.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
