"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",5557762,5899792,6303893,6789177,7099701,7380019,7760899,8255300,8789586,9299424,9745473,10008303,9840449,10196850,10682155,11044057,11386572,11860250
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",2003806,2105478,2283640,2449635,2521834,2594547,2716926,2895537,3075755,3231229,3356541,3370357,3191925,3357470,3589317,3732509,3831035,3942739
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",715530,779295,855570,912571,941515,985367,1017526,1079823,1127231,1156115,1184633,1102283,1023319,1070692,1125327,1191861,1237810,1280215
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",293083,320205,350730,363227,383289,401347,401518,409312,409954,394950,400573,339630,317058,341955,363458,395763,416673,440185
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",160491,173579,191185,208106,214940,225868,235161,254311,271273,283597,283458,268714,244311,250417,260672,271383,280200,287938
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",174632,191360,210922,230858,234934,244772,259193,284088,305023,324101,335780,329331,303775,312735,320981,336605,346845,354614
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",87324,94151,102733,110380,108352,113380,121654,132112,140981,153467,164822,164608,158175,165585,180216,188109,194092,197478
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",1288276,1326183,1428070,1537064,1580319,1609180,1699400,1815714,1948524,2075114,2171908,2268074,2168606,2286778,2463990,2540648,2593225,2662524
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",474776,487437,515530,540579,564003,575052,599581,632604,668217,700260,737331,772884,769958,788899,829146,848789,865985,886536
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",247496,257805,271097,280832,277868,278836,285347,297485,310659,320213,323692,319506,306498,320558,338946,354287,362506,368863
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",147662,132355,146545,184516,177985,167900,196412,232733,283770,319650,345546,389148,284500,333415,409558,416885,412991,401139
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",418342,448586,494898,531137,560463,587392,618060,652892,685878,734991,765339,786536,807650,843906,886340,920687,951744,1005986
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",3553956,3794314,4020253,4339542,4577867,4785472,5043973,5359763,5713831,6068195,6388932,6637946,6648524,6839380,7092838,7311548,7555536,7917511
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",3448368,3670507,3882024,4181501,4398785,4587130,4838461,5153391,5503563,5829010,6140152,6355802,6372507,6564030,6817839,7018678,7251623,7595165
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",1009822,1065472,1123133,1198556,1287492,1333584,1394121,1469083,1583621,1682374,1758184,1839073,1880993,1908992,1959856,1995376,2057402,2142565
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",790949,832046,863590,918425,996564,1082873,1154646,1240115,1322285,1394226,1481787,1556486,1627380,1690701,1764711,1835856,1880713,1953980
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",214308,227631,244091,263548,264704,258159,265464,276562,289385,302056,312216,311715,289694,292922,308124,319486,333852,354543
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",208318,220205,238056,254392,262290,271404,289178,312103,328899,351945,375845,384491,375999,385051,400558,419776,434672,455499
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",343428,361836,380330,408782,419663,436311,461897,496424,530642,566252,595634,612466,600334,617711,649504,685129,710233,750880
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",429244,467277,509124,566284,552822,562584,588472,635347,689633,724208,768491,771483,718956,763238,795799,789303,837741,882745
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",452299,496040,523700,571514,615250,642215,684683,723757,759098,807949,847995,880088,879151,905415,939287,973752,997011,1054953
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",105588,123807,138229,158041,179082,198342,205512,206372,210268,239185,248780,282144,276017,275350,274999,292870,303913,322346
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",502624,542521,576319,621641,676441,737060,774643,818994,868456,932226,983141,1040912,1072564,1105893,1139563,1192997,1233214,1278344
"00000","United States","","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",397036,418714,438090,463600,497359,538718,569131,612622,658188,693041,734361,758768,796547,830543,864564,900127,929301,955998
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",75315,78854,83199,87604,90831,94911,99273,105474,113508,118927,123834,127058,125558,130740,136318,140053,143914,147879
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",30049,31111,33395,35008,36119,37812,39576,42190,45230,47249,49247,49469,47196,49498,52481,54179,55188,55963
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",10211,10893,11757,12048,12313,13163,13599,14482,15242,15745,16613,15208,14229,14812,15433,16276,16788,17097
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",4891,5285,5773,5814,6049,6431,6451,6591,6727,6672,6740,5618,5131,5642,6001,6448,6695,6911
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",2221,2335,2479,2588,2601,2777,2892,3138,3424,3622,3721,3491,3213,3234,3305,3412,3451,3492
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",1908,2007,2139,2216,2274,2458,2702,3040,3266,3446,3931,3872,3697,3702,3742,3960,4074,4098
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1190,1266,1367,1431,1389,1497,1554,1714,1825,2005,2222,2228,2188,2235,2384,2456,2568,2596
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",19839,20218,21638,22959,23805,24649,25977,27708,29988,31504,32634,34261,32967,34686,37048,37903,38400,38867
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",7743,7854,8266,8320,8781,9037,9328,9671,10254,10259,10564,11062,11094,11263,11775,11833,11875,11934
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",3550,3693,3745,3803,3794,3893,3820,3994,4210,4302,4332,4314,4201,4369,4540,4579,4654,4673
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",2437,2121,2341,3050,2853,2666,3148,3727,4556,5283,5632,6337,4615,5502,6741,6833,6769,6397
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",6109,6550,7286,7787,8378,9051,9682,10317,10968,11659,12105,12548,13057,13551,13992,14658,15102,15862
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",45266,47743,49804,52597,54713,57099,59696,63284,68277,71678,74587,77589,78362,81242,83838,85875,88726,91916
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",44466,46728,48560,51220,53292,55635,58355,61825,66812,70227,72875,75601,76371,79195,81772,83428,85800,88767
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",10895,11602,12126,12903,13651,14180,14785,15529,16836,18055,19072,20094,20814,21534,22031,22268,23041,23960
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",12477,12880,13112,13712,14683,15855,16650,17566,19434,20230,20762,21504,22198,22897,23640,24453,24769,25332
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",2128,2246,2352,2442,2427,2397,2446,2540,2701,2795,2836,2811,2599,2691,2801,2828,2891,2963
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",3288,3276,3320,3356,3431,3528,3681,3931,4108,4268,4309,4515,4530,4691,4933,5128,5209,5302
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",4194,4375,4641,4806,4911,5085,5448,5781,6233,6660,6985,7279,7309,7481,7743,8078,8307,8646
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",5813,6344,6844,7468,7256,7349,7710,8438,9183,9532,10100,10115,9519,10191,10401,10109,10733,11287
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",5671,6006,6164,6534,6932,7242,7636,8040,8316,8687,8811,9283,9401,9709,10223,10564,10850,11277
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",800,1014,1244,1376,1421,1464,1341,1460,1466,1451,1712,1988,1991,2046,2066,2446,2926,3149
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",6320,6804,7353,7807,8183,8697,8861,9642,10347,10823,11839,12894,13428,14049,14630,15136,16353,16948
