"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",20384,21387,22591,24061,24914,25658,26752,28194,29743,31166,32352,32912,32077,32962,34268,35160,35977,37196
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7349,7633,8184,8682,8850,9021,9365,9889,10408,10829,11143,11083,10405,10853,11514,11883,12104,12365
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2624,2825,3066,3234,3304,3426,3507,3688,3814,3875,3933,3625,3336,3461,3610,3794,3911,4015
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1075,1161,1257,1287,1345,1395,1384,1398,1387,1324,1330,1117,1034,1105,1166,1260,1317,1381
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",589,629,685,738,754,785,811,869,918,950,941,884,796,810,836,864,885,903
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",641,694,756,818,824,851,893,970,1032,1086,1115,1083,990,1011,1030,1072,1096,1112
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",320,341,368,391,380,394,419,451,477,514,547,541,516,535,578,599,613,619
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4725,4808,5118,5447,5546,5595,5858,6201,6594,6955,7210,7458,7069,7392,7904,8088,8194,8350
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1741,1767,1848,1916,1979,1999,2067,2160,2261,2347,2448,2542,2510,2550,2660,2702,2736,2780
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",908,935,972,995,975,969,984,1016,1051,1073,1075,1051,999,1036,1087,1128,1145,1157
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",542,480,525,654,625,584,677,795,960,1071,1147,1280,927,1078,1314,1327,1305,1258
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1534,1626,1774,1882,1967,2042,2130,2230,2321,2463,2541,2586,2633,2728,2843,2931,3007,3155
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",13035,13755,14407,15380,16064,16638,17387,18305,19335,20337,21209,21829,21673,22109,22754,23277,23872,24831
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",12648,13306,13912,14819,15436,15948,16678,17600,18624,19536,20384,20901,20773,21219,21872,22345,22912,23820
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",3704,3862,4025,4248,4518,4637,4806,5017,5359,5638,5837,6048,6132,6171,6287,6352,6501,6720
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2901,3016,3095,3255,3497,3765,3980,4235,4474,4673,4919,5118,5305,5465,5661,5845,5942,6128
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",786,825,875,934,929,898,915,945,979,1012,1036,1025,944,947,988,1017,1055,1112
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",764,798,853,902,920,944,997,1066,1113,1180,1248,1264,1226,1245,1285,1336,1373,1429
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1260,1312,1363,1449,1473,1517,1592,1695,1796,1898,1977,2014,1957,1997,2084,2181,2244,2355
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1574,1694,1825,2007,1940,1956,2028,2170,2334,2427,2551,2537,2344,2467,2553,2513,2647,2768
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","21","...","  Other services",1659,1798,1877,2025,2159,2233,2360,2472,2569,2708,2815,2894,2866,2927,3013,3100,3150,3309
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",387,449,495,560,628,690,708,705,712,802,826,928,900,890,882,932,960,1011
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1843,1967,2065,2203,2374,2563,2670,2797,2939,3124,3264,3423,3496,3575,3656,3798,3896,4009
"00000","United States","","2","Per capita personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1456,1518,1570,1643,1745,1873,1962,2092,2227,2323,2438,2495,2597,2685,2774,2866,2936,2998
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",17243,17902,18780,19677,20331,21185,22043,23280,24839,25692,26501,26929,26389,27318,28390,29072,29771,30494
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",6880,7063,7538,7863,8084,8440,8788,9312,9898,10207,10539,10485,9919,10343,10930,11246,11417,11540
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2338,2473,2654,2706,2756,2938,3020,3196,3335,3401,3555,3223,2990,3095,3214,3379,3473,3526
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1120,1200,1303,1306,1354,1435,1432,1455,1472,1441,1442,1191,1078,1179,1250,1339,1385,1425
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",509,530,559,581,582,620,642,693,749,782,796,740,675,676,688,708,714,720
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",437,456,483,498,509,549,600,671,715,744,841,821,777,774,779,822,843,845
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",272,287,308,321,311,334,345,378,399,433,476,472,460,467,496,510,531,535
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4542,4590,4884,5157,5328,5502,5768,6116,6562,6806,6984,7261,6929,7248,7716,7868,7944,8015
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1773,1783,1866,1869,1965,2017,2071,2135,2244,2216,2261,2344,2332,2353,2452,2456,2457,2461
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",813,838,845,854,849,869,848,881,921,929,927,914,883,913,946,950,963,964
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",558,481,528,685,639,595,699,823,997,1141,1205,1343,970,1150,1404,1418,1400,1319
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1399,1487,1645,1749,1875,2020,2150,2277,2400,2519,2590,2660,2744,2832,2914,3043,3124,3271
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",10363,10839,11242,11814,12246,12745,13256,13968,14941,15485,15962,16445,16470,16976,17460,17826,18355,18954
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",10180,10609,10961,11505,11928,12418,12958,13646,14620,15171,15595,16023,16051,16548,17030,17318,17749,18305
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",2494,2634,2737,2898,3055,3165,3283,3428,3684,3900,4081,4259,4375,4500,4588,4622,4767,4941
