"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",14294,15030,15959,17251,18304,19687,20932,22464,24038,25423,26719,28031,27992,29208,30805,31852,32985,34059
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",5136,5292,5633,5854,6076,6508,6879,7414,7808,8121,8462,8843,8595,9017,9603,9905,10127,10320
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",1679,1780,1898,1925,2032,2280,2398,2607,2707,2733,2806,2751,2662,2688,2737,2902,2954,2970
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",574,627,709,742,793,900,920,938,895,833,830,713,700,714,725,794,816,820
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",361,376,391,400,429,494,521,561,618,635,643,675,659,674,695,723,730,737
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",524,547,550,532,565,631,684,812,880,923,967,995,955,967,996,1056,1075,1079
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",220,229,248,251,244,256,274,296,314,342,365,368,348,334,320,328,333,335
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",3457,3512,3736,3930,4044,4227,4481,4807,5101,5388,5656,6092,5933,6330,6866,7004,7173,7350
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1463,1525,1575,1625,1704,1794,1912,2026,2155,2277,2418,2592,2596,2687,2843,2864,2875,2891
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",513,517,526,536,540,549,568,591,606,622,625,636,613,633,668,686,690,710
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",467,404,446,565,513,487,533,625,700,751,810,943,716,850,1036,1069,1083,1069
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1014,1066,1188,1204,1287,1397,1468,1565,1639,1739,1803,1921,2008,2160,2319,2384,2524,2680
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",9158,9738,10326,11397,12228,13180,14053,15051,16230,17302,18257,19188,19397,20190,21202,21947,22858,23738
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",8727,9219,9772,10746,11520,12368,13234,14264,15321,16287,17181,18038,18252,19008,20008,20671,21473,22302
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",2386,2529,2683,2830,3033,3184,3341,3546,3834,4148,4390,4620,4763,4893,5059,5206,5407,5592
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",1715,1817,1988,2325,2688,3071,3335,3619,3923,4192,4447,4769,5146,5490,5965,6318,6611,6854
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",458,489,527,590,624,614,632,652,681,697,721,739,690,693,714,728,776,810
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",384,390,423,469,484,500,561,645,717,777,859,881,854,862,885,918,957,1043
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1089,1114,1174,1263,1297,1394,1512,1617,1702,1807,1884,1955,1911,1985,2117,2213,2310,2412
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1062,1130,1215,1348,1320,1375,1454,1570,1728,1803,1956,2060,1962,2137,2259,2239,2326,2478
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",1633,1751,1763,1921,2073,2230,2400,2615,2736,2863,2924,3013,2926,2947,3010,3050,3085,3113
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",431,519,554,651,708,811,819,787,909,1016,1076,1151,1145,1183,1193,1276,1385,1436
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1396,1551,1616,1785,1890,2089,2113,2142,2423,2637,2794,3018,3117,3258,3374,3455,3682,3805
"02000","Alaska","8","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",965,1033,1062,1134,1181,1278,1295,1355,1514,1621,1718,1868,1972,2076,2181,2179,2297,2369
"02000","Alaska","8","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",23320,24245,25544,27471,28884,30650,32282,34073,36041,37647,39275,40775,40052,40915,42632,43568,44740,46229
"02000","Alaska","8","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",8379,8537,9017,9323,9588,10131,10609,11245,11707,12025,12439,12863,12298,12632,13290,13549,13736,14008
"02000","Alaska","8","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2739,2872,3037,3065,3206,3550,3699,3954,4058,4047,4124,4002,3809,3765,3787,3969,4007,4031
"02000","Alaska","8","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",936,1012,1135,1182,1252,1401,1418,1423,1341,1234,1220,1037,1002,1000,1004,1087,1107,1113
"02000","Alaska","8","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",590,607,625,636,677,768,803,851,926,941,946,982,942,944,962,989,990,1000
"02000","Alaska","8","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",855,882,880,847,892,983,1055,1232,1320,1366,1422,1447,1366,1355,1378,1444,1458,1464
"02000","Alaska","8","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",359,370,397,399,386,398,422,448,471,506,537,536,498,467,443,449,452,455
"02000","Alaska","8","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",5640,5665,5979,6258,6382,6581,6910,7291,7648,7978,8314,8861,8490,8867,9503,9580,9729,9977
"02000","Alaska","8","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",2387,2461,2521,2588,2689,2793,2948,3073,3232,3371,3555,3771,3714,3763,3935,3918,3900,3924
"02000","Alaska","8","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",838,833,842,854,852,855,876,896,909,921,918,925,877,886,925,938,936,964
