"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",75315,78854,83199,87604,90831,94911,99273,105474,113508,118927,123834,127058,125558,130740,136318,140053,143914,147879
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",30049,31111,33395,35008,36119,37812,39576,42190,45230,47249,49247,49469,47196,49498,52481,54179,55188,55963
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",10211,10893,11757,12048,12313,13163,13599,14482,15242,15745,16613,15208,14229,14812,15433,16276,16788,17097
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",4891,5285,5773,5814,6049,6431,6451,6591,6727,6672,6740,5618,5131,5642,6001,6448,6695,6911
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",2221,2335,2479,2588,2601,2777,2892,3138,3424,3622,3721,3491,3213,3234,3305,3412,3451,3492
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",1908,2007,2139,2216,2274,2458,2702,3040,3266,3446,3931,3872,3697,3702,3742,3960,4074,4098
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1190,1266,1367,1431,1389,1497,1554,1714,1825,2005,2222,2228,2188,2235,2384,2456,2568,2596
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",19839,20218,21638,22959,23805,24649,25977,27708,29988,31504,32634,34261,32967,34686,37048,37903,38400,38867
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",7743,7854,8266,8320,8781,9037,9328,9671,10254,10259,10564,11062,11094,11263,11775,11833,11875,11934
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",3550,3693,3745,3803,3794,3893,3820,3994,4210,4302,4332,4314,4201,4369,4540,4579,4654,4673
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",2437,2121,2341,3050,2853,2666,3148,3727,4556,5283,5632,6337,4615,5502,6741,6833,6769,6397
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",6109,6550,7286,7787,8378,9051,9682,10317,10968,11659,12105,12548,13057,13551,13992,14658,15102,15862
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",45266,47743,49804,52597,54713,57099,59696,63284,68277,71678,74587,77589,78362,81242,83838,85875,88726,91916
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",44466,46728,48560,51220,53292,55635,58355,61825,66812,70227,72875,75601,76371,79195,81772,83428,85800,88767
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",10895,11602,12126,12903,13651,14180,14785,15529,16836,18055,19072,20094,20814,21534,22031,22268,23041,23960
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",12477,12880,13112,13712,14683,15855,16650,17566,19434,20230,20762,21504,22198,22897,23640,24453,24769,25332
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",2128,2246,2352,2442,2427,2397,2446,2540,2701,2795,2836,2811,2599,2691,2801,2828,2891,2963
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",3288,3276,3320,3356,3431,3528,3681,3931,4108,4268,4309,4515,4530,4691,4933,5128,5209,5302
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",4194,4375,4641,4806,4911,5085,5448,5781,6233,6660,6985,7279,7309,7481,7743,8078,8307,8646
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",5813,6344,6844,7468,7256,7349,7710,8438,9183,9532,10100,10115,9519,10191,10401,10109,10733,11287
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",5671,6006,6164,6534,6932,7242,7636,8040,8316,8687,8811,9283,9401,9709,10223,10564,10850,11277
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",800,1014,1244,1376,1421,1464,1341,1460,1466,1451,1712,1988,1991,2046,2066,2446,2926,3149
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",6320,6804,7353,7807,8183,8697,8861,9642,10347,10823,11839,12894,13428,14049,14630,15136,16353,16948
"01000","Alabama","5","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",5520,5790,6108,6430,6762,7233,7520,8183,8882,9372,10127,10906,11438,12003,12564,12689,13428,13799
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",17243,17902,18780,19677,20331,21185,22043,23280,24839,25692,26501,26929,26389,27318,28390,29072,29771,30494
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",6880,7063,7538,7863,8084,8440,8788,9312,9898,10207,10539,10485,9919,10343,10930,11246,11417,11540
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2338,2473,2654,2706,2756,2938,3020,3196,3335,3401,3555,3223,2990,3095,3214,3379,3473,3526
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1120,1200,1303,1306,1354,1435,1432,1455,1472,1441,1442,1191,1078,1179,1250,1339,1385,1425
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",509,530,559,581,582,620,642,693,749,782,796,740,675,676,688,708,714,720
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",437,456,483,498,509,549,600,671,715,744,841,821,777,774,779,822,843,845
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",272,287,308,321,311,334,345,378,399,433,476,472,460,467,496,510,531,535
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4542,4590,4884,5157,5328,5502,5768,6116,6562,6806,6984,7261,6929,7248,7716,7868,7944,8015
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1773,1783,1866,1869,1965,2017,2071,2135,2244,2216,2261,2344,2332,2353,2452,2456,2457,2461
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",813,838,845,854,849,869,848,881,921,929,927,914,883,913,946,950,963,964
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",558,481,528,685,639,595,699,823,997,1141,1205,1343,970,1150,1404,1418,1400,1319
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1399,1487,1645,1749,1875,2020,2150,2277,2400,2519,2590,2660,2744,2832,2914,3043,3124,3271
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",10363,10839,11242,11814,12246,12745,13256,13968,14941,15485,15962,16445,16470,16976,17460,17826,18355,18954
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",10180,10609,10961,11505,11928,12418,12958,13646,14620,15171,15595,16023,16051,16548,17030,17318,17749,18305
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",2494,2634,2737,2898,3055,3165,3283,3428,3684,3900,4081,4259,4375,4500,4588,4622,4767,4941
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2856,2924,2960,3080,3287,3539,3697,3877,4253,4370,4443,4558,4665,4784,4923,5076,5124,5224
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",487,510,531,548,543,535,543,561,591,604,607,596,546,562,583,587,598,611
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",753,744,749,754,768,787,817,868,899,922,922,957,952,980,1027,1064,1078,1093
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",960,993,1048,1079,1099,1135,1210,1276,1364,1439,1495,1543,1536,1563,1612,1677,1718,1783
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1331,1440,1545,1677,1624,1640,1712,1862,2009,2059,2161,2144,2001,2130,2166,2098,2220,2328
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","21","...","  Other services",1298,1363,1391,1468,1552,1617,1695,1775,1820,1877,1886,1967,1976,2029,2129,2193,2244,2325
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",183,230,281,309,318,327,298,322,321,313,366,421,418,428,430,508,605,649
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1447,1545,1660,1753,1832,1941,1968,2128,2264,2338,2534,2733,2822,2936,3047,3142,3383,3495
"01000","Alabama","5","2","Per capita personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1264,1314,1379,1444,1514,1614,1670,1806,1944,2025,2167,2312,2404,2508,2617,2634,2778,2846
"Note: See the included footnote file."
All personal consumption expenditures (PCE) estimates are in millions of current dollars (not adjusted for inflation). Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates available as of December 2014.
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Product Division"
