"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",42010,44407,47433,50927,52829,54699,57573,61301,65609,69502,74114,75493,74628,76975,80470,82705,84888,87300
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",16937,17529,19097,20637,20763,21138,22177,23447,24849,25983,27093,27815,26789,28454,30452,31501,32342,32731
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",6017,6400,6913,7178,7368,7875,8260,8692,9013,9267,9719,9474,9038,9337,9596,10033,10446,10741
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",2737,2927,3163,3182,3348,3547,3577,3654,3572,3487,3621,3216,3075,3385,3567,3866,4080,4286
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",1310,1367,1464,1587,1588,1705,1799,1935,2065,2142,2163,2142,2034,2075,2119,2173,2220,2261
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",1099,1213,1337,1417,1488,1661,1838,1991,2189,2324,2472,2562,2428,2416,2418,2485,2591,2619
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",871,893,949,994,943,961,1047,1112,1186,1315,1464,1555,1501,1461,1492,1509,1555,1576
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",10920,11128,12183,13458,13395,13264,13917,14755,15836,16716,17373,18341,17751,19118,20856,21469,21896,21990
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",3949,4005,4286,4558,4543,4443,4616,4807,5025,5177,5458,5752,5933,6119,6513,6620,6792,6973
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",2040,2144,2295,2440,2347,2291,2332,2355,2447,2503,2539,2519,2518,2614,2741,2862,2896,2936
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",1636,1490,1707,2223,2123,1958,2233,2661,3198,3618,3839,4302,3209,3921,4820,4928,4917,4508
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",3295,3489,3896,4238,4382,4572,4735,4932,5165,5418,5539,5768,6090,6464,6782,7058,7291,7573
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",25072,26879,28336,30290,32066,33561,35396,37854,40761,43519,47021,47677,47839,48521,50018,51204,52546,54570
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",24611,26215,27515,29426,31096,32493,34344,36810,39635,42202,45638,46163,46534,47148,48624,49734,51052,52843
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",6618,6993,7285,7792,8342,8543,8879,9503,10396,11116,11613,12154,12411,12397,12638,12771,13205,13590
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",6547,6974,7264,7762,8457,9213,9751,10361,11067,11527,12237,12876,13285,13530,14009,14529,14649,15150
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",1153,1209,1336,1393,1424,1368,1403,1482,1470,1579,1674,1660,1531,1522,1586,1597,1613,1679
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",1444,1465,1514,1570,1594,1635,1808,2018,2198,2428,2811,2858,2894,2773,2842,2874,2958,3047
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",2352,2457,2570,2738,2843,2977,3105,3298,3499,3720,3897,4076,4173,4273,4470,4689,4837,4993
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",3263,3523,3818,4149,4077,4117,4397,4770,5170,5442,5848,5892,5529,5829,6128,6212,6608,6927
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",3234,3594,3729,4022,4358,4641,5002,5378,5834,6389,7559,6647,6711,6823,6951,7062,7182,7457
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",461,664,821,865,970,1067,1051,1043,1126,1317,1383,1515,1306,1373,1394,1470,1494,1727
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",3305,3702,4029,4206,4529,4913,4970,5254,5734,6155,6525,7067,7129,7514,7801,7938,8152,8665
"05000","Arkansas","5","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",2843,3038,3208,3342,3558,3846,3918,4211,4609,4838,5142,5553,5824,6142,6406,6468,6658,6938
