"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",91060,97963,106158,115586,121250,127569,135905,148652,163859,179491,191312,193895,188358,195056,204192,211372,218585,228423
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",35126,37230,40881,44773,46514,48485,51928,57633,64445,70783,74248,72361,66762,69155,73610,76262,78685,81439
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",12675,14075,15485,17163,17761,18712,19638,21723,23908,25826,25922,22550,19667,20229,21588,22793,23634,24498
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",5311,5866,6464,6892,7374,7652,7888,8434,9065,9273,9418,7172,6068,6492,7088,7913,8472,8945
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",3056,3388,3636,4079,4207,4467,4707,5380,6174,6726,6393,5653,4824,4863,5329,5364,5423,5639
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",2927,3301,3698,4328,4316,4603,4871,5487,6005,6731,6759,6428,5638,5730,5839,6025,6189,6308
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1381,1521,1686,1864,1864,1989,2171,2422,2664,3096,3352,3297,3137,3143,3332,3491,3550,3606
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",22451,23155,25396,27610,28752,29773,32291,35910,40538,44956,48326,49811,47095,48926,52021,53470,55051,56940
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",8130,8458,9158,9426,9922,10294,11021,12268,13570,14776,15801,16502,16059,16379,16841,16898,16987,17602
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",3623,3748,4004,4301,4400,4594,4846,5223,5720,6161,6391,6251,6058,6316,6594,6828,7049,7107
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",2941,2647,2957,3713,3530,3211,3750,4386,5622,6474,7320,8005,5690,6391,7886,8230,8217,7995
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",7757,8301,9277,10170,10900,11673,12674,14033,15626,17546,18814,19053,19289,19840,20701,21513,22799,24236
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",55934,60732,65276,70813,74736,79084,83976,91018,99414,108709,117064,121534,121596,125901,130582,135110,139900,146985
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",55002,59686,64012,69370,73145,77358,82356,89110,97884,106403,114112,117974,118181,122138,126869,131042,135528,142184
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",16708,17905,19060,20558,22178,23138,24134,25756,27966,30560,32893,34943,36600,37994,39310,40369,41598,43556
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",11337,12003,12748,13819,15120,16925,18583,20254,22592,24100,25856,27671,28846,30302,31773,33147,34043,35123
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",3576,3959,4342,4671,4691,4694,4830,5069,5525,5998,6243,6008,5281,5273,5610,5891,6168,6463
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",3383,3753,4140,4311,4542,4754,5102,5617,6048,6830,7418,7352,7073,7050,7082,7377,7588,8084
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",6740,7163,7706,8326,8456,8813,9426,10408,11684,12805,13810,13720,13064,13169,13710,14324,14892,15786
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",6604,7370,8138,9168,9007,9310,9864,10921,12428,13528,14460,14345,13140,13724,14175,13985,14860,15721
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",6654,7533,7877,8516,9151,9725,10416,11085,11642,12582,13432,13934,14176,14624,15211,15950,16379,17451
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",931,1046,1265,1444,1591,1727,1621,1908,1529,2306,2951,3560,3415,3764,3713,4068,4372,4800
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",6409,7162,7682,8195,8787,9486,10124,11312,11965,13384,14772,15877,16037,17350,17894,18789,19743,20664
"04000","Arizona","6","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",5478,6116,6417,6751,7196,7760,8504,9404,10436,11078,11821,12316,12622,13586,14181,14721,15371,15864
"04000","Arizona","6","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",19223,20061,21131,22398,22992,23640,24663,26299,28062,29771,31018,30873,29695,30421,31546,32240,32944,33934
"04000","Arizona","6","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7415,7624,8137,8676,8820,8985,9424,10196,11037,11740,12038,11522,10525,10785,11372,11632,11859,12098
"04000","Arizona","6","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2676,2882,3082,3326,3368,3468,3564,3843,4094,4284,4203,3591,3100,3155,3335,3476,3562,3639
"04000","Arizona","6","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1121,1201,1287,1335,1398,1418,1432,1492,1552,1538,1527,1142,957,1013,1095,1207,1277,1329
"04000","Arizona","6","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",645,694,724,790,798,828,854,952,1057,1116,1037,900,760,758,823,818,817,838
"04000","Arizona","6","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",618,676,736,839,818,853,884,971,1028,1116,1096,1024,889,894,902,919,933,937
"04000","Arizona","6","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",292,311,336,361,353,369,394,428,456,513,543,525,495,490,515,532,535,536
