"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",677272,718337,774796,845268,886864,925942,974112,1041971,1110953,1181349,1246312,1276526,1230672,1270531,1331989,1386209,1419344,1482477
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",222759,235441,258549,286219,296732,308514,323161,347457,369138,386767,400369,393093,360704,382356,410265,430293,436504,450162
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",81358,90477,102112,115590,120491,126045,130397,140329,148430,152930,154155,139595,124901,132278,140079,149294,152797,158033
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",28051,32091,36771,39260,42532,45754,46172,47770,49020,46988,45553,37135,32311,33970,36878,41402,43996,46665
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",17482,19250,21950,24980,26737,28025,29293,31550,33893,35479,34834,31562,28620,29773,31054,31959,32493,33024
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",25753,28178,31334,38075,38338,38386,39918,44171,47200,50818,52473,49870,44705,47380,48877,51013,51074,52574
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",10072,10958,12057,13275,12884,13880,15014,16837,18317,19645,21294,21028,19265,21155,23270,24921,25235,25770
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",141401,144964,156437,170629,176242,182470,192764,207128,220708,233838,246214,253498,235803,250077,270186,280999,283706,292129
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",54704,55815,59877,63640,67425,70157,73412,76393,80693,85137,90972,94037,90782,93240,98635,101140,102660,105278
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",30605,32079,33906,36131,35046,36426,37285,41217,43626,43152,43909,42907,38930,41190,44325,47611,48393,49904
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",14605,12936,14059,17470,17059,16866,19425,23730,27671,31330,33305,37840,26945,31405,39474,40653,39411,38122
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",41487,44133,48595,53387,56711,59020,62641,65789,68718,74218,78028,78714,79146,84243,87752,91596,93242,98825
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",454513,482896,516247,559050,590132,617427,650951,694514,741814,794582,845944,883433,869968,888175,921724,955916,982840,1032316
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",444546,472516,503693,543488,571020,594466,628551,673713,720841,769920,815744,843967,833969,853835,885511,914028,941700,988217
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",147250,156293,164942,175911,189712,196880,205316,216833,232671,250535,264027,278024,286002,291456,299967,305281,312917,324551
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",93489,97337,99699,104679,109988,118708,127468,137065,146451,155222,167091,178207,184248,188401,194806,201227,205830,214330
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",28607,30128,32231,35631,35906,35215,36171,38150,41195,44257,46667,45566,40942,41260,43139,45662,48285,51716
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",23936,24630,28322,30084,31530,32470,35768,39683,42169,45098,48006,48254,45199,46989,48793,51418,52696,55696
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",43509,46626,48742,53020,55069,57498,61124,66558,71462,77017,82061,84669,80640,82127,86041,91015,95019,102914
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",53174,58757,64241,71894,70963,72900,76635,82881,89586,94192,98759,97655,90482,95557,100114,101086,107901,114116
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",54581,58744,65515,72270,77851,80794,86068,92543,97307,103599,109134,111590,106456,108045,112651,118338,119052,124893
"06000","California","8","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",9967,10381,12555,15561,19112,22961,22400,20800,20974,24662,30200,39467,35999,34341,36214,41888,41141,44099
