"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",90835,98493,108081,119329,126334,129714,135209,143017,151671,160242,168647,173327,169966,174792,184267,191213,198751,210037
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",32332,34763,38866,42667,44438,44769,46294,49190,52233,54824,57620,58381,55247,57060,60831,63555,65752,68366
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",11918,13291,14916,16524,17019,17308,17340,18368,19110,19708,20508,19262,17588,17835,18383,19458,20528,21346
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",4250,4727,5380,5853,6318,6502,6340,6461,6364,6161,6558,5580,5107,5245,5343,5767,6164,6614
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",3008,3310,3675,4087,4293,4352,4309,4685,5028,5233,5351,5182,4565,4626,4855,5077,5361,5637
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",3278,3753,4213,4767,4667,4674,4817,5216,5582,5943,6088,5993,5522,5643,5682,6024,6277,6314
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1382,1501,1649,1817,1742,1780,1875,2007,2137,2370,2511,2507,2394,2320,2504,2590,2726,2781
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",20414,21472,23949,26143,27419,27462,28954,30821,33123,35117,37111,39119,37659,39225,42448,44098,45224,47019
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",7259,7627,8451,8908,9551,9545,10042,10620,11361,11685,12470,13279,13427,13638,14450,15027,15271,15827
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",3721,3963,4267,4454,4539,4496,4597,4744,4975,5196,5285,5256,5009,5178,5523,5706,5915,6013
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",2363,2110,2380,3050,3048,2760,3135,3618,4265,4743,5197,5952,4267,4888,5939,6033,5901,5644
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",7072,7772,8850,9731,10281,10660,11180,11840,12521,13492,14160,14632,14956,15521,16536,17332,18137,19536
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",58502,63730,69215,76663,81896,84945,88915,93827,99438,105417,111027,114945,114719,117732,123436,127658,132999,141672
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",57585,62618,67775,74875,79794,82677,86497,91343,96925,102463,108132,111828,111858,114807,120269,124379,129507,137449
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",18791,20014,21356,22934,25018,25833,26913,28319,30226,31436,32302,33289,33823,34201,35969,37156,38973,40986
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",10316,11047,11741,12942,14575,16161,17162,18570,19476,20523,22214,23518,24480,25156,26290,27400,27765,29089
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",4579,4820,5036,5477,5416,5137,5153,5431,5660,5969,6297,6385,5823,5929,6230,6469,6722,7195
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",3719,4291,4871,5474,5650,5650,6019,6204,6564,7265,7818,8006,8062,8318,8600,9038,9529,10211
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",6724,7024,7491,8275,8616,8850,9113,9696,10224,10845,11612,12113,11725,12033,12876,13562,14213,15238
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",6623,7480,8395,9637,9591,9643,9950,10603,11634,12176,12926,13134,12261,12900,13577,13606,14626,15677
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",6833,7942,8885,10136,10929,11402,12187,12520,13141,14250,14963,15383,15683,16270,16726,17148,17679,19053
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",918,1112,1440,1788,2101,2268,2417,2484,2513,2954,2895,3117,2862,2925,3168,3279,3492,4223
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",6775,7533,8336,9217,10123,10984,11603,12405,13208,14203,14781,14998,15374,16058,16932,17428,18228,19666
"08000","Colorado","7","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",5858,6421,6896,7429,8022,8716,9185,9921,10695,11249,11886,11881,12513,13132,13765,14149,14736,15443
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",22605,23926,25575,27578,28546,28887,29856,31260,32745,33946,35107,35447,34183,34622,35992,36830,37699,39216
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",8046,8444,9197,9861,10041,9970,10222,10752,11277,11614,11994,11940,11111,11302,11882,12242,12472,12765
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2966,3229,3530,3819,3846,3854,3829,4015,4126,4175,4269,3939,3537,3533,3591,3748,3894,3986
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1058,1148,1273,1353,1428,1448,1400,1412,1374,1305,1365,1141,1027,1039,1044,1111,1169,1235
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",749,804,870,945,970,969,951,1024,1085,1109,1114,1060,918,916,948,978,1017,1052
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",816,912,997,1102,1054,1041,1064,1140,1205,1259,1267,1226,1111,1118,1110,1160,1191,1179
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",344,365,390,420,394,396,414,439,461,502,523,513,482,460,489,499,517,519
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",5080,5216,5667,6042,6195,6116,6393,6737,7151,7439,7725,8000,7574,7769,8291,8494,8578,8779
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1806,1853,2000,2059,2158,2126,2217,2321,2453,2475,2596,2716,2700,2701,2822,2894,2897,2955
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",926,963,1010,1029,1026,1001,1015,1037,1074,1101,1100,1075,1007,1026,1079,1099,1122,1123
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",588,513,563,705,689,615,692,791,921,1005,1082,1217,858,968,1160,1162,1119,1054
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1760,1888,2094,2249,2323,2374,2469,2588,2703,2858,2948,2992,3008,3074,3230,3338,3440,3648
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",14559,15481,16378,17718,18505,18917,19633,20509,21468,22332,23112,23507,23072,23320,24110,24589,25227,26452
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",14331,15211,16038,17304,18030,18412,19100,19966,20926,21706,22509,22870,22497,22740,23492,23957,24565,25663
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",4676,4862,5053,5300,5653,5753,5943,6190,6526,6660,6724,6808,6802,6774,7026,7157,7392,7652
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2567,2684,2778,2991,3293,3599,3790,4059,4205,4348,4624,4810,4923,4983,5135,5278,5267,5431
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",1139,1171,1192,1266,1224,1144,1138,1187,1222,1264,1311,1306,1171,1174,1217,1246,1275,1343
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",925,1042,1153,1265,1277,1258,1329,1356,1417,1539,1627,1637,1621,1648,1680,1741,1807,1906
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1673,1706,1773,1913,1947,1971,2012,2119,2207,2297,2417,2477,2358,2383,2515,2612,2696,2845
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1648,1817,1986,2227,2167,2147,2197,2318,2512,2579,2691,2686,2466,2555,2652,2621,2774,2927
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","21","...","  Other services",1700,1929,2103,2343,2470,2539,2691,2737,2837,3019,3115,3146,3154,3223,3267,3303,3353,3557
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",228,270,341,413,475,505,534,543,543,626,603,637,576,579,619,632,662,788
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1686,1830,1973,2130,2287,2446,2562,2711,2852,3009,3077,3067,3092,3181,3307,3357,3458,3672
"08000","Colorado","7","2","Per capita personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1458,1560,1632,1717,1813,1941,2028,2168,2309,2383,2474,2430,2516,2601,2689,2725,2795,2883
"Note: See the included footnote file."
All personal consumption expenditures (PCE) estimates are in millions of current dollars (not adjusted for inflation). Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates available as of December 2014.
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Product Division"
