"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"09000","Connecticut","1","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",84141,89536,95450,100823,105490,110279,115157,122749,130506,137919,143692,147188,143914,148040,152906,155206,158937,164885
"09000","Connecticut","1","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",28821,29855,31951,33568,34548,35757,36936,39652,42076,43968,45519,45526,42464,44299,46693,47702,49102,50519
"09000","Connecticut","1","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",9492,10350,11184,11737,12226,13024,13638,14655,15300,15444,15985,15132,13893,14458,15014,15546,16267,16832
"09000","Connecticut","1","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",3664,3976,4354,4419,4688,4922,5128,5275,5220,4961,5072,4337,4090,4345,4561,4798,4973,5161
"09000","Connecticut","1","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",2189,2366,2510,2844,3028,3275,3421,3734,3914,4004,4070,3918,3434,3496,3599,3732,3924,4015
"09000","Connecticut","1","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",2284,2545,2767,2822,2929,3142,3274,3591,3900,4066,4264,4317,3965,3954,4059,4155,4428,4665
"09000","Connecticut","1","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1355,1464,1553,1651,1580,1686,1814,2054,2265,2413,2579,2559,2403,2662,2795,2861,2941,2990
"09000","Connecticut","1","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",19329,19504,20767,21831,22322,22733,23298,24997,26776,28524,29534,30394,28572,29841,31679,32157,32836,33688
"09000","Connecticut","1","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",6630,6717,7006,7221,7657,7946,7794,8339,8784,9245,9801,10107,9935,10224,10778,10935,11072,11435
"09000","Connecticut","1","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",3815,3845,3929,4078,3950,3959,4011,4232,4520,4676,4637,4511,4199,4397,4413,4581,4617,4634
"09000","Connecticut","1","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",2355,1964,2079,2566,2505,2263,2718,3122,3726,4298,4444,5018,3752,4227,5036,4843,4793,4724
