"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",16690,16978,17870,18941,19995,20967,21915,23181,24466,25546,27151,28630,28503,30088,31879,33161,34560,36332
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",5210,5149,5353,5559,5671,5892,6254,6652,6948,7209,7416,7364,6902,7184,7707,8185,8548,8830
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",1668,1737,1815,1881,1952,2119,2249,2385,2472,2526,2623,2446,2241,2291,2442,2581,2685,2775
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",732,723,703,743,752,826,848,860,846,799,811,669,632,694,723,789,807,837
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",313,354,394,423,415,424,455,517,581,631,640,646,558,556,624,666,723,766
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",381,413,453,438,520,596,632,665,665,679,701,656,597,581,601,612,619,621
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",241,249,264,277,265,273,314,343,380,417,471,476,454,460,494,514,535,551
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",3543,3411,3538,3678,3719,3773,4005,4267,4475,4683,4793,4918,4661,4893,5264,5604,5863,6055
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1211,1230,1249,1302,1371,1400,1483,1584,1613,1704,1762,1899,1944,2053,2165,2261,2397,2562
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",754,742,765,761,712,704,747,770,830,854,901,906,830,862,925,939,957,977
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",568,417,413,494,428,385,440,511,619,661,663,677,435,476,541,627,657,627
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1009,1022,1111,1121,1208,1284,1335,1402,1414,1463,1467,1436,1451,1502,1633,1777,1852,1889
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",11480,11829,12517,13382,14324,15075,15661,16529,17519,18337,19735,21266,21601,22903,24173,24976,26013,27502
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",11230,11521,12134,12888,13686,14356,14970,15852,16899,17697,19094,20260,20821,22118,23366,24091,25066,26533
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",2669,2764,2895,3064,3233,3322,3440,3626,3911,4097,4447,4752,4975,5174,5550,5779,6059,6441
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",2933,2986,3077,3096,3422,3726,3859,4059,4269,4473,4832,5136,5609,6135,6447,6804,6985,7484
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",591,624,653,691,727,682,685,740,766,838,852,874,844,872,909,950,1012,1055
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",532,557,585,639,670,715,764,763,882,919,1074,1192,1266,1295,1325,1357,1374,1408
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",893,865,930,1035,1128,1152,1256,1384,1540,1625,1703,1779,1789,1883,1996,2088,2212,2333
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1208,1297,1398,1584,1555,1594,1647,1774,1923,2043,2172,2322,2152,2308,2450,2407,2578,2686
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",2403,2428,2596,2778,2953,3164,3320,3506,3609,3703,4014,4204,4186,4450,4688,4705,4846,5126
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",249,308,382,494,638,719,691,678,620,639,641,1007,780,786,807,885,947,969
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1496,1612,1770,2007,2314,2547,2765,2894,2925,3004,3226,3460,3307,3431,3569,3725,3886,3979
"11000","District of Columbia","2","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1246,1304,1387,1512,1675,1828,2074,2216,2305,2365,2585,2453,2526,2645,2762,2840,2939,3011
"11000","District of Columbia","2","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",29397,30036,31338,33111,34805,36582,38549,40829,43140,44763,47267,49342,48128,49715,51383,52219,53242,55141
"11000","District of Columbia","2","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",9178,9109,9387,9718,9871,10280,11001,11716,12250,12632,12910,12691,11654,11871,12421,12889,13168,13401
"11000","District of Columbia","2","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2937,3074,3182,3288,3398,3697,3956,4201,4360,4427,4566,4216,3784,3786,3936,4064,4136,4211
"11000","District of Columbia","2","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1290,1278,1232,1298,1309,1442,1492,1515,1491,1400,1411,1153,1067,1147,1166,1243,1243,1270
"11000","District of Columbia","2","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",552,626,692,739,723,740,800,910,1025,1106,1115,1113,943,918,1006,1049,1114,1162
