"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",16784,17925,19317,20579,21762,22840,24234,26068,28018,29640,31275,32399,32068,33326,34976,36357,37402,39016
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",6024,6382,7132,7505,7810,8270,8773,9397,9912,10296,10627,10600,10028,10543,11212,11521,11863,12161
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",2439,2664,2979,3101,3226,3503,3718,3969,4119,4128,4215,3892,3655,3880,4117,4330,4455,4680
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1057,1162,1300,1340,1401,1513,1549,1575,1536,1448,1468,1245,1242,1367,1482,1584,1639,1780
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",379,415,463,499,523,575,606,678,717,709,688,635,567,586,604,634,654,663
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",698,752,836,853,893,976,1094,1209,1333,1391,1438,1391,1247,1269,1301,1353,1387,1455
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",304,336,380,409,409,439,468,507,533,582,621,620,599,657,729,759,775,782
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",3585,3718,4153,4404,4585,4767,5055,5427,5793,6168,6413,6708,6373,6662,7094,7191,7409,7481
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1574,1623,1807,1861,1968,2064,2167,2289,2411,2558,2670,2781,2760,2831,2909,2912,2995,3034
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",719,759,830,854,880,900,914,944,963,956,953,937,897,945,1027,1079,1128,1139
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",373,325,368,461,438,427,524,636,791,905,997,1157,839,963,1175,1163,1156,1110
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",920,1010,1149,1228,1298,1375,1450,1558,1628,1749,1793,1833,1877,1923,1984,2037,2129,2199
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",10760,11543,12186,13074,13952,14570,15461,16671,18106,19345,20647,21800,22040,22783,23764,24836,25539,26855
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",10434,11128,11751,12595,13385,13955,14819,15986,17373,18540,19717,20727,20999,21745,22684,23538,24209,25455
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",2959,3130,3331,3512,3768,3918,4069,4301,4642,5009,5338,5606,5761,5870,6023,6153,6284,6397
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",2291,2426,2561,2718,3027,3333,3683,4045,4440,4651,5014,5402,5735,5985,6439,6788,7014,7542
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",556,597,636,698,723,672,696,710,740,746,786,796,726,743,754,767,806,851
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",605,627,682,736,773,760,770,810,884,930,971,1007,1016,1026,1084,1111,1161,1223
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1084,1128,1195,1276,1304,1364,1443,1591,1698,1823,1916,1993,1965,2068,2111,2168,2211,2317
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1209,1339,1467,1656,1657,1720,1788,1943,2099,2221,2312,2316,2208,2308,2380,2340,2494,2640
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",1730,1882,1880,1999,2133,2187,2370,2585,2871,3161,3381,3608,3588,3743,3894,4212,4239,4485
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",327,415,434,480,567,615,643,685,732,804,930,1073,1041,1039,1080,1298,1330,1400
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1623,1781,1830,1931,2156,2355,2488,2689,2881,3124,3324,3527,3566,3675,3882,4270,4374,4526
"10000","Delaware","2","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1296,1366,1396,1452,1589,1740,1846,2004,2149,2320,2394,2454,2524,2636,2802,2972,3043,3125
"10000","Delaware","2","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",22335,23482,24926,26170,27350,28332,29626,31376,33151,34495,35876,36656,35962,37040,38527,39653,40425,41701
