"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",310490,331426,350680,380491,401611,418736,444481,482611,525383,565957,590249,598710,584923,609109,642910,665308,690076,724066
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",112539,119832,128231,138346,144920,148553,157593,173478,191395,204995,210446,205798,194529,204179,219715,230179,239474,249844
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",44517,48691,52277,55759,58174,61377,64462,71015,78860,82053,81335,72794,66236,69399,73890,79307,84566,89093
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",18509,20412,21777,22974,23964,25206,25387,26984,28907,28688,27965,22307,20170,22115,23622,25917,28057,30247
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",10734,11843,12805,13764,14790,15795,16694,18772,21276,22469,21238,19315,17281,17701,18766,20093,21350,22703
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",11248,12078,12932,13801,14294,15152,16664,18853,21738,23149,23732,22689,20366,20814,21695,22930,24320,25091
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",4026,4358,4764,5219,5127,5224,5716,6406,6940,7746,8400,8483,8419,8769,9806,10367,10838,11051
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",68022,71141,75954,82587,86745,87176,93131,102463,112535,122942,129111,133004,128293,134780,145825,150872,154908,160752
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",28904,30482,31928,34363,35953,35614,37367,40520,43651,46172,48017,50213,49903,50910,53715,54757,56378,58022
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",11465,11825,12348,13095,13133,13112,13694,14683,15366,16459,16937,16668,16177,17258,18493,19824,20516,21020
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",7026,6629,7387,8825,8724,8169,9246,11089,13780,16163,17408,18529,13270,15703,19233,20241,19979,19367
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",20628,22205,24291,26305,28935,30281,32824,36173,39738,44148,46748,47593,48944,50910,54384,56049,58034,62343
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",197951,211594,222449,242145,256691,270184,286888,309133,333988,360962,379803,392912,390394,404930,423195,435130,450602,474222
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",197673,210525,220673,239588,253771,266945,283948,306123,332063,357970,375844,386709,385267,399788,417697,430374,445643,468416
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",57794,61569,64861,69220,75012,78088,82224,87012,95247,104207,110357,115642,119169,122141,125778,127557,131642,135327
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",46353,48621,50192,54405,59556,65632,69815,75384,80542,86118,90906,94894,98534,102284,107139,111742,114005,120062
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",10759,11327,11810,12946,12718,12323,12894,13576,14434,15380,15574,15237,13751,13856,14535,15304,16150,17707
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",10447,10887,11450,12733,12888,13168,14315,15993,17204,18653,19732,20453,19785,20369,21502,22699,23842,25223
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",24926,25821,26578,28316,29171,30371,32600,36084,39726,42302,43844,44330,42522,44191,47150,50493,53224,56872
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",23911,26227,28577,31796,31380,32352,34358,37960,42421,45457,47913,46901,42441,45671,47609,46156,49191,52100
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",23483,26074,27206,30173,33046,35010,37741,40114,42488,45851,47518,49252,49065,51277,53983,56423,57590,61124
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",278,1069,1776,2557,2921,3238,2940,3009,1926,2992,3959,6204,5127,5141,5498,4756,4960,5806
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",16261,17789,19651,21767,23600,25565,27374,29613,32311,35479,38568,40137,39674,41288,43242,44250,46152,48426
"12000","Florida","5","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",15983,16719,17875,19210,20679,22326,24433,26604,30386,32488,34609,33933,34547,36146,37743,39495,41192,42620
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",20445,21401,22252,23710,24553,25090,26140,27712,29446,31153,32135,32315,31359,32310,33646,34374,35207,36397
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7411,7738,8137,8621,8860,8901,9268,9961,10727,11284,11457,11108,10429,10831,11499,11892,12218,12559
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2931,3144,3317,3475,3557,3678,3791,4078,4420,4517,4428,3929,3551,3681,3867,4097,4315,4479
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1219,1318,1382,1432,1465,1510,1493,1549,1620,1579,1522,1204,1081,1173,1236,1339,1431,1520
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",707,765,813,858,904,946,982,1078,1192,1237,1156,1043,926,939,982,1038,1089,1141
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",741,780,821,860,874,908,980,1083,1218,1274,1292,1225,1092,1104,1135,1185,1241,1261
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",265,281,302,325,313,313,336,368,389,426,457,458,451,465,513,536,553,556
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4479,4594,4820,5146,5303,5223,5477,5884,6307,6767,7029,7179,6878,7149,7632,7795,7903,8081
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1903,1968,2026,2141,2198,2134,2198,2327,2447,2542,2614,2710,2675,2700,2811,2829,2876,2917
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",755,764,784,816,803,786,805,843,861,906,922,900,867,915,968,1024,1047,1057
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",463,428,469,550,533,489,544,637,772,890,948,1000,711,833,1007,1046,1019,974
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1358,1434,1541,1639,1769,1814,1930,2077,2227,2430,2545,2569,2624,2700,2846,2896,2961,3134
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",13035,13663,14115,15089,15693,16189,16872,17751,18719,19869,20678,21207,20930,21479,22148,22481,22990,23838
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",13017,13594,14003,14930,15515,15995,16699,17578,18611,19704,20462,20872,20655,21206,21860,22236,22737,23546
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",3806,3976,4116,4313,4586,4679,4836,4996,5338,5736,6008,6242,6389,6479,6583,6590,6716,6803
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",3052,3140,3185,3390,3641,3933,4106,4329,4514,4740,4949,5122,5283,5426,5607,5773,5816,6035
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",708,731,749,807,778,738,758,780,809,847,848,822,737,735,761,791,824,890
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",688,703,727,793,788,789,842,918,964,1027,1074,1104,1061,1080,1125,1173,1216,1268
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1641,1667,1686,1765,1783,1820,1917,2072,2227,2329,2387,2393,2280,2344,2468,2609,2715,2859
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1575,1694,1813,1981,1918,1939,2021,2180,2378,2502,2609,2531,2275,2423,2492,2385,2510,2619
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","21","...","  Other services",1546,1684,1726,1880,2020,2098,2220,2303,2381,2524,2587,2658,2630,2720,2825,2915,2938,3073
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",18,69,113,159,179,194,173,173,108,165,216,335,275,273,288,246,253,292
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1071,1149,1247,1356,1443,1532,1610,1700,1811,1953,2100,2166,2127,2190,2263,2286,2355,2434
"12000","Florida","5","2","Per capita personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1052,1080,1134,1197,1264,1338,1437,1528,1703,1788,1884,1832,1852,1917,1975,2041,2102,2142
"Note: See the included footnote file."
All personal consumption expenditures (PCE) estimates are in millions of current dollars (not adjusted for inflation). Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates available as of December 2014.
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Product Division"
