"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",148154,158155,171230,186136,194435,202755,214063,226973,243834,258505,272125,276693,270333,280077,295675,305898,317246,331348
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",58622,61901,68558,73119,75275,77285,81254,86333,92779,98611,102608,101497,96071,101153,108327,112195,115430,119187
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",21682,23578,26371,27460,28392,29326,30634,32023,33096,34407,35479,31786,29005,30614,31943,33754,35260,36612
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",9600,10625,11744,12015,12770,13266,13123,13234,13458,13228,13464,10852,9815,10697,11364,12325,13105,13722
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",5543,5946,6588,6970,7177,7277,7694,8216,8569,9068,9059,8324,7508,7793,7803,8102,8530,8987
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",4141,4437,5171,5490,5527,5673,6433,6862,7190,7779,8311,7968,7213,7576,7840,8205,8290,8470
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",2399,2571,2867,2984,2918,3110,3383,3711,3879,4332,4646,4643,4469,4548,4936,5122,5335,5432
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",36940,38323,42187,45659,46883,47959,50620,54310,59683,64204,67129,69711,67066,70539,76384,78441,80170,82576
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",13260,13884,14873,15882,16433,16790,17466,18513,19679,20665,21780,22772,23171,23866,25503,26238,26639,27420
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",7336,7631,8294,8297,8323,8525,8564,8834,9410,9851,9898,9640,9315,9621,9997,10269,10706,10942
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",4582,4192,4760,6028,5845,5409,6231,7423,9717,10902,11511,12869,9387,10864,13383,13361,13148,12733
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",11762,12615,14259,15452,16281,17234,18360,19541,20877,22786,23939,24429,25194,26188,27502,28573,29677,31480
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",89532,96254,102672,113017,119161,125471,132810,140640,151055,159894,169517,175196,174261,178924,187349,193703,201817,212160
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",89035,95704,101766,111849,117437,123492,130708,138659,149713,158142,167270,172404,171884,176801,184973,190648,198329,208698
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",25487,27123,28407,31131,33327,34897,36633,38735,42233,44871,46708,49112,50403,51461,53050,53946,55332,57830
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",21131,22115,22580,24319,26215,28560,30665,32784,35317,36763,38856,39982,41462,42866,44483,46548,48450,50279
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",4182,4504,4858,5302,5083,4884,5395,5441,5699,6020,6374,6436,5898,5888,6197,6299,6610,7155
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",4473,4791,5389,5934,6132,6362,6561,7023,7626,8114,8936,9214,9020,9175,9688,10187,10592,11049
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",10323,10915,11691,12840,13095,13560,14538,15493,16591,17633,18256,18574,18196,18608,19483,20420,21187,22528
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",11327,12621,13959,15582,15325,15675,16353,17552,19259,20161,21521,21324,19836,20668,21824,21198,22659,23959
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",12111,13635,14881,16740,18260,19553,20563,21633,22990,24580,26619,27763,27068,28136,30248,32049,33499,35898
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",497,550,906,1168,1724,1979,2102,1980,1342,1752,2247,2792,2377,2123,2376,3055,3488,3462
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",10659,11852,12911,13938,15710,17176,18622,19959,20441,21959,23964,25472,26408,27022,28652,30565,32213,32789
"13000","Georgia","5","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",10162,11302,12006,12770,13986,15197,16520,17979,19100,20206,21718,22680,24031,24899,26276,27510,28725,29327
"13000","Georgia","5","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",19278,20112,21282,22624,23211,23830,24825,25883,27318,28234,29104,29111,28099,28831,30130,30840,31741,32815
"13000","Georgia","5","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7628,7872,8521,8887,8986,9084,9423,9845,10394,10770,10974,10678,9986,10413,11039,11311,11549,11804
"13000","Georgia","5","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2821,2998,3278,3338,3389,3447,3553,3652,3708,3758,3795,3344,3015,3151,3255,3403,3528,3626
"13000","Georgia","5","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1249,1351,1460,1460,1524,1559,1522,1509,1508,1445,1440,1142,1020,1101,1158,1243,1311,1359
"13000","Georgia","5","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",721,756,819,847,857,855,892,937,960,990,969,876,780,802,795,817,853,890
"13000","Georgia","5","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",539,564,643,667,660,667,746,783,806,850,889,838,750,780,799,827,829,839
"13000","Georgia","5","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",312,327,356,363,348,366,392,423,435,473,497,488,465,468,503,516,534,538
"13000","Georgia","5","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4807,4873,5243,5550,5597,5637,5870,6193,6686,7012,7180,7334,6971,7261,7784,7908,8021,8178
