"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",910929,960304,1017973,1086441,1126651,1164092,1214115,1275307,1338415,1394441,1447554,1477369,1452438,1495635,1557464,1598201,1638705,1696519
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",328284,341784,367234,389637,395994,405277,418949,438936,454404,470204,486516,488041,464022,486850,520044,537643,548482,559713
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",119557,127725,139104,144617,147175,153053,153964,159468,160491,159335,162132,152014,143161,149880,157609,165349,170089,175359
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",50878,53944,58774,58740,61306,62935,60822,59984,57560,52909,52946,46630,45023,48369,51493,54643,56794,60685
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",26618,28320,30597,33243,33402,34714,35447,37390,38304,38306,37990,35934,32925,33870,35368,36870,37663,38168
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",27241,29568,32456,34428,34721,36949,38260,41667,43468,45330,47111,45636,42334,43471,44591,46827,48056,48632
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",14820,15893,17277,18207,17746,18456,19435,20427,21158,22790,24084,23814,22880,24170,26157,27010,27576,27874
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",208728,214059,228130,245021,248819,252224,264985,279468,293913,310869,324384,336026,320861,336970,362435,372293,378393,384354
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",77090,78177,80992,84694,87530,89171,92237,96444,99562,103166,107449,111412,110540,112484,117528,119882,121638,122936
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",38679,40285,41966,43023,42316,41749,42355,42900,43792,44443,43895,43308,41699,43431,45140,46760,47391,47688
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",23489,21102,23772,29886,28251,26616,31192,35795,42442,47857,52705,58229,42177,50212,62104,62926,62391,60250
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",69470,74496,81401,87417,90722,94686,99201,104329,108118,115403,120334,123077,126445,130843,137663,142725,146973,153480
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",582645,618519,650739,696804,730657,758815,795166,836371,884011,924237,961038,989328,988416,1008784,1037420,1060558,1090223,1136806
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",554948,585549,615567,657540,687470,712532,747120,788104,833859,868951,905900,928932,928224,949108,978631,1000319,1027059,1070442
"93000","Great Lakes","3","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",153745,160585,169247,180187,192561,198935,207489,216212,232190,241566,248572,256776,259133,259272,263004,265448,270299,282201
