"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",26695,27332,28258,30051,31363,32577,34811,37415,40746,43783,46003,47697,47374,49052,51364,53545,55701,58232
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",9086,9019,9624,10259,10735,11104,11869,12896,13973,14828,15323,15655,15321,15923,16817,17529,18191,18705
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",2699,2741,3009,3265,3518,3845,4276,4726,5080,5264,5347,5154,4814,4999,5331,5663,5916,6123
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",886,932,1045,1161,1266,1471,1675,1747,1747,1676,1622,1339,1202,1229,1323,1430,1532,1614
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",616,615,670,721,797,852,954,1081,1219,1261,1268,1239,1138,1156,1189,1237,1271,1305
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",757,768,853,928,1024,1099,1185,1385,1533,1688,1781,1883,1811,1873,1932,2016,2100,2167
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",440,426,442,455,431,423,461,514,582,639,676,693,664,741,887,980,1013,1036
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",6387,6278,6615,6994,7217,7259,7593,8170,8892,9564,9976,10501,10507,10924,11486,11867,12275,12582
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",2621,2575,2694,2815,2985,3062,3136,3341,3611,3833,4025,4250,4430,4568,4707,4821,5020,5119
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",987,919,908,913,877,806,830,875,952,981,980,985,948,1012,1120,1208,1221,1229
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",515,453,484,590,541,513,594,712,850,997,1057,1202,867,989,1148,1137,1079,1007
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",2264,2331,2529,2676,2814,2879,3034,3243,3480,3753,3914,4064,4262,4355,4511,4701,4955,5227
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",17609,18313,18634,19791,20628,21473,22943,24519,26773,28955,30680,32042,32053,33129,34547,36015,37510,39527
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",16767,17330,17689,18720,19477,20203,21556,23088,25160,27028,28734,30069,30119,31294,32681,33879,35300,37169
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",4730,4980,5230,5577,5930,6194,6484,6879,7511,8298,9142,9908,10365,10897,11507,11817,12231,12609
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",3828,3861,3872,3980,4289,4541,4991,5168,5677,5913,6294,6695,6940,7104,7390,7655,7952,8470
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",886,931,966,1011,1053,1056,1107,1197,1291,1353,1347,1320,1196,1219,1273,1373,1457,1533
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",894,891,896,975,986,989,1043,1144,1247,1331,1383,1417,1360,1371,1408,1558,1657,1735
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1370,1345,1360,1417,1459,1502,1639,1838,2005,2164,2254,2248,2140,2242,2418,2644,2769,2928
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1964,2025,2163,2354,2274,2361,2487,2736,3007,3181,3420,3479,3326,3534,3630,3585,3791,4011
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",3094,3297,3203,3405,3486,3560,3804,4126,4421,4789,4894,5002,4792,4929,5056,5247,5442,5882
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",842,984,946,1072,1151,1270,1387,1431,1613,1927,1946,1973,1935,1835,1866,2136,2210,2358
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",2701,2946,2903,3128,3302,3568,3810,4034,4475,5015,5163,5264,5352,5330,5554,6005,6179,6455
"15000","Hawaii","8","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1859,1963,1958,2057,2151,2298,2424,2604,2862,3088,3217,3292,3417,3495,3687,3869,3969,4096
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",22032,22492,23348,24763,25582,26280,27823,29378,31519,33429,34965,35803,35178,35963,37268,38445,39533,41021
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7499,7422,7952,8454,8756,8958,9486,10126,10809,11321,11646,11751,11376,11674,12202,12586,12911,13177
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2228,2256,2486,2691,2870,3102,3417,3711,3930,4019,4064,3869,3575,3665,3868,4066,4199,4313
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",732,767,863,957,1033,1187,1339,1371,1351,1280,1233,1005,892,901,960,1026,1087,1137
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",508,506,554,594,650,687,763,849,943,963,964,930,845,847,863,888,902,920
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",624,632,705,765,836,887,947,1088,1186,1288,1354,1413,1344,1373,1402,1448,1491,1527
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",363,350,365,375,352,341,369,403,450,488,514,520,493,543,644,704,719,729
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",5271,5166,5465,5763,5887,5856,6069,6415,6879,7303,7582,7882,7802,8009,8334,8520,8712,8864
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",2163,2119,2226,2319,2435,2470,2506,2623,2793,2927,3059,3190,3289,3349,3415,3462,3563,3606
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",815,756,750,753,715,650,663,687,736,749,745,739,704,742,812,867,866,866
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",425,373,400,486,441,414,475,559,658,761,803,902,644,725,833,816,766,710
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1868,1918,2089,2205,2295,2322,2425,2546,2692,2866,2975,3051,3165,3193,3273,3375,3517,3682
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",14533,15070,15396,16309,16826,17322,18337,19252,20711,22108,23319,24052,23801,24289,25066,25859,26622,27845
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",13839,14260,14615,15426,15887,16297,17229,18129,19463,20636,21840,22571,22365,22943,23712,24325,25053,26183
"15000","Hawaii","8","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",3904,4098,4321,4595,4837,4997,5183,5402,5810,6336,6949,7437,7696,7989,8349,8484,8681,8882
