"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",55315,58434,61945,65752,67508,69091,72401,77058,81036,85315,88800,92468,92231,95252,100348,103090,105680,109551
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",20925,21771,23482,24845,25050,25329,26571,28568,29775,31500,32575,33724,32866,34252,37056,38318,39050,39877
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",7640,8196,8804,8987,9108,9331,9678,10328,10392,10693,10909,10591,10563,10989,11559,12226,12625,12931
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",3404,3674,3943,3897,4082,4069,3979,4085,3981,3806,3946,3612,3693,4030,4212,4513,4704,4905
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",1569,1672,1821,1913,1922,2033,2123,2282,2313,2371,2357,2342,2261,2266,2378,2489,2551,2558
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",1745,1892,2028,2119,2090,2181,2424,2714,2788,3036,3062,3076,3046,3140,3358,3563,3674,3755
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",923,958,1013,1058,1015,1048,1153,1247,1311,1481,1545,1561,1564,1553,1611,1661,1697,1714
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",13285,13576,14677,15858,15942,15998,16893,18240,19383,20807,21666,23132,22302,23263,25497,26092,26424,26946
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",4673,4841,5121,5310,5458,5414,5603,5936,6235,6558,6923,7323,7534,7487,8074,8225,8374,8615
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",2136,2202,2319,2366,2333,2309,2374,2442,2509,2565,2515,2576,2610,2631,2647,2773,2794,2832
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",2117,1912,2182,2729,2591,2394,2714,3293,3916,4487,4906,5631,4171,4883,6050,6079,6063,5922
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",4359,4620,5055,5452,5559,5882,6202,6569,6722,7197,7321,7603,7987,8262,8727,9015,9193,9576
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",34390,36662,38463,40907,42458,43762,45830,48490,51261,53815,56225,58745,59365,61000,63292,64772,66630,69674
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",32707,34696,36338,38635,39921,41171,43056,45825,48572,50960,53471,55835,56447,57958,60299,61666,63459,66213
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",8376,8755,9186,9831,10457,10693,11188,11744,12696,13440,13927,14594,14803,14984,15350,15673,16137,16918
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",7799,8360,8780,9349,10052,10755,11216,11938,12719,13303,13979,14675,15461,16000,16841,17447,17665,18173
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",1654,1787,1922,1976,1988,1938,1941,2040,2172,2307,2436,2494,2451,2455,2534,2579,2663,2849
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",2431,2538,2646,2574,2559,2584,2734,2933,3010,3190,3425,3556,3644,3713,3811,3977,4082,4211
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",2982,3126,3233,3496,3534,3680,3860,4083,4316,4539,4755,4988,4935,4956,5179,5464,5637,5862
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",4324,4620,4928,5468,5263,5359,5518,6131,6483,6715,7227,7490,6966,7323,7881,7679,8201,8552
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",5142,5509,5643,5941,6069,6162,6598,6957,7176,7466,7722,8037,8188,8528,8703,8847,9074,9647
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1683,1967,2126,2272,2537,2591,2775,2665,2689,2854,2755,2910,2918,3041,2994,3106,3171,3461
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",6067,6434,6703,6964,7541,7910,8248,8401,8669,8950,9066,9486,10116,10658,10868,11060,11334,11934
"19000","Iowa","4","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",4385,4467,4578,4692,5004,5319,5473,5736,5980,6096,6312,6577,7198,7616,7875,7954,8163,8473
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",19133,20130,21231,22448,23025,23547,24610,26089,27336,28604,29608,30652,30410,31227,32741,33515,34175,35258
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7238,7500,8048,8482,8544,8632,9032,9672,10044,10561,10861,11179,10837,11229,12090,12457,12628,12834
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2643,2823,3018,3068,3106,3180,3290,3497,3506,3585,3637,3511,3483,3603,3771,3975,4083,4162
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1177,1266,1351,1331,1392,1387,1352,1383,1343,1276,1316,1197,1218,1321,1374,1467,1521,1579
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",543,576,624,653,655,693,722,773,780,795,786,776,745,743,776,809,825,823
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",603,652,695,723,713,743,824,919,940,1018,1021,1020,1004,1029,1096,1158,1188,1208
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",319,330,347,361,346,357,392,422,442,496,515,517,516,509,526,540,549,552
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4595,4677,5031,5414,5437,5452,5742,6175,6538,6976,7224,7668,7354,7627,8319,8483,8545,8672
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1616,1668,1755,1813,1862,1845,1904,2010,2103,2199,2308,2427,2484,2455,2634,2674,2708,2773
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",739,759,795,808,796,787,807,827,846,860,839,854,861,863,864,901,904,912
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",732,659,748,932,884,816,923,1115,1321,1504,1636,1867,1375,1601,1974,1976,1961,1906
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1508,1592,1733,1861,1896,2005,2108,2224,2268,2413,2441,2520,2634,2709,2847,2931,2973,3082
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",11895,12630,13183,13966,14481,14914,15578,16417,17292,18043,18747,19473,19574,19998,20651,21058,21547,22424
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",11313,11952,12454,13190,13616,14031,14635,15515,16385,17086,17828,18508,18612,19001,19674,20048,20521,21310
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",2897,3016,3148,3356,3566,3644,3803,3976,4283,4506,4644,4838,4881,4912,5008,5095,5218,5445
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2698,2880,3009,3192,3428,3665,3812,4042,4290,4460,4661,4865,5098,5245,5495,5672,5712,5849
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",572,616,659,675,678,660,660,691,733,774,812,827,808,805,827,838,861,917
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",841,874,907,879,873,881,929,993,1015,1070,1142,1179,1201,1217,1243,1293,1320,1355
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1031,1077,1108,1194,1205,1254,1312,1382,1456,1522,1585,1654,1627,1625,1690,1776,1823,1887
"19000","Iowa","4","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1496,1591,1689,1867,1795,1826,1876,2076,2187,2251,2410,2483,2297,2401,2571,2497,2652,2752
