"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",21631,22962,24749,26867,27980,29167,30992,33636,37001,40298,42850,44225,43105,44981,47166,49065,51011,53206
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",8939,9267,10100,10947,11129,11304,12142,13233,14832,16298,17242,17177,15956,16626,17747,18589,19444,20251
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",3368,3598,3879,4112,4160,4345,4583,5067,5677,6049,6285,5783,5252,5333,5615,6091,6464,6710
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1546,1646,1727,1703,1752,1860,1896,2024,2128,2206,2344,1952,1727,1769,1821,1980,2133,2286
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",693,745,837,944,960,992,1036,1165,1372,1516,1491,1389,1212,1204,1218,1276,1362,1404
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",818,886,972,1085,1079,1108,1224,1409,1648,1735,1798,1785,1671,1762,1933,2170,2280,2314
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",310,321,343,380,369,384,426,469,529,591,652,658,643,599,644,665,689,705
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",5571,5669,6221,6835,6969,6958,7560,8166,9155,10249,10956,11394,10704,11293,12132,12498,12980,13541
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",2285,2356,2574,2716,2770,2689,2909,3079,3305,3613,3919,3970,3936,3917,4101,4275,4452,4644
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",774,783,809,864,886,881,919,956,1036,1108,1163,1176,1147,1174,1198,1282,1327,1368
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",820,727,822,1062,1007,959,1099,1262,1577,1896,2079,2373,1693,2098,2492,2509,2536,2490
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1692,1803,2016,2192,2307,2429,2632,2870,3237,3632,3796,3875,3929,4103,4342,4433,4664,5039
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",12692,13695,14649,15920,16851,17864,18849,20403,22169,24000,25608,27048,27149,28355,29419,30476,31566,32955
"16000","Idaho","7","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",12393,13339,14219,15465,16319,17288,18274,19882,21725,23516,25123,26369,26506,27635,28828,29852,30908,32195
