"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",262743,276964,291632,315060,326243,336221,349394,367074,387528,406351,426269,433357,426351,438357,456171,467555,479123,496313
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",89078,92240,98241,106587,107991,110278,113327,119929,125593,131387,137990,136285,128382,134213,143094,148448,151052,153294
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",33750,35899,39031,41857,42503,43963,43886,45784,46986,47236,49923,46091,42942,44851,47274,49370,50555,51817
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",13888,14861,16402,16544,17520,17728,17355,17414,17204,16155,16403,14274,13623,14264,15050,15835,16308,17313
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",7333,7685,8150,9315,9451,9853,10099,10548,11080,11165,11478,10693,9725,9950,10264,10628,10991,11110
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",7744,8215,8941,10005,9828,10543,10367,11254,11785,12461,13908,13165,12134,12783,13263,13947,14067,14076
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",4785,5139,5538,5993,5704,5839,6065,6567,6917,7454,8134,7958,7459,7853,8696,8959,9189,9318
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",55328,56340,59210,64730,65489,66315,69441,74145,78607,84152,88067,90194,85441,89362,95820,99078,100497,101477
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",19442,19632,20241,21919,22680,23134,24250,25781,26938,28620,30169,30685,29924,30285,31037,31630,31890,32134
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",11940,12462,12721,13536,13185,12908,13100,13604,14262,14467,14513,14337,13586,14176,14988,15382,15641,15751
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",5433,4789,5233,6400,6056,5676,6640,7751,9239,10680,11753,13250,9592,11258,13837,14140,13571,13028
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",18513,19458,21015,22876,23568,24597,25452,27010,28169,30385,31633,31923,32339,33642,35959,37927,39395,40564
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",173664,184725,193391,208473,218252,225943,236068,247145,261935,274963,288279,297072,297969,304145,313077,319107,328071,343019
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",165247,174691,182772,196470,205274,211793,221962,233184,247711,259095,272753,279167,279358,285753,294532,299791,307404,321429
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",48004,49901,52252,56012,59924,61525,64563,67011,71591,73650,76307,77836,79200,79503,81082,82126,83915,88092
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",34989,36417,38067,40585,43767,46831,49275,52056,55619,58550,63190,65449,68922,71213,73810,76081,77392,80454
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",11599,12209,12947,13722,13402,12675,13039,13352,13848,14323,14726,14776,13696,13841,14679,14914,15350,16526
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",9879,10415,10959,11674,11903,12183,12801,13880,14726,15722,16701,17066,16612,16966,17593,18117,18386,19024
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",15454,16643,16723,18053,18856,19408,20400,21771,23327,24810,26019,26424,25735,26210,27284,28419,28988,30022
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",20880,22407,24153,26809,25886,26101,26895,28721,30886,32319,34358,34186,31575,33061,33950,33249,35283,36420
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",24442,26698,27670,29616,31536,33070,34990,36393,37714,39720,41452,43429,43618,44960,46134,46885,48090,50891
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",8418,10034,10619,12003,12978,14150,14106,13961,14224,15869,15526,17906,18611,18391,18544,19316,20667,21590
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",30953,33884,35142,37718,40093,43418,44341,46018,48128,51318,52429,56219,59262,60786,62615,65190,68374,70498
"17000","Illinois","3","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",22535,23850,24523,25715,27115,29268,30235,32057,33904,35449,36903,38313,40651,42395,44071,45874,47707,48908
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",21562,22569,23597,25338,26124,26843,27827,29157,30732,32138,33575,33997,33317,34140,35476,36318,37169,38532
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7310,7516,7949,8572,8647,8804,9026,9526,9960,10391,10869,10691,10032,10453,11128,11531,11718,11901
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2770,2925,3158,3366,3403,3510,3495,3637,3726,3736,3932,3616,3356,3493,3676,3835,3922,4023
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1140,1211,1327,1331,1403,1415,1382,1383,1364,1278,1292,1120,1065,1111,1170,1230,1265,1344
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",602,626,659,749,757,787,804,838,879,883,904,839,760,775,798,826,853,863
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",636,669,723,805,787,842,826,894,935,986,1095,1033,948,996,1031,1083,1091,1093
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",393,419,448,482,457,466,483,522,549,590,641,624,583,612,676,696,713,723
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4540,4591,4791,5206,5244,5294,5530,5889,6234,6655,6937,7076,6677,6960,7452,7696,7796,7878
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1596,1600,1638,1763,1816,1847,1931,2048,2136,2264,2376,2407,2338,2359,2414,2457,2474,2495
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",980,1015,1029,1089,1056,1031,1043,1081,1131,1144,1143,1125,1062,1104,1166,1195,1213,1223
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",446,390,423,515,485,453,529,616,733,845,926,1039,750,877,1076,1098,1053,1011
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1519,1586,1700,1840,1887,1964,2027,2145,2234,2403,2492,2504,2527,2620,2796,2946,3056,3149
"17000","Illinois","3","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",14251,15053,15648,16766,17476,18039,18801,19631,20772,21747,22707,23305,23285,23687,24347,24787,25450,26631
