"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",114761,121294,128918,136854,142152,147018,153798,164123,173205,180892,187507,192568,188700,195660,204189,211216,215961,222696
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",44204,45969,49650,52350,53431,54706,57094,60694,63572,66002,67790,68628,64814,68149,72487,74905,75916,76837
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",15501,16598,18074,18650,18958,19768,20283,21284,21676,21502,21613,20215,19023,20099,20945,22065,22687,23369
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",6882,7393,8026,7937,8213,8508,8354,8493,8209,7707,7822,6637,6346,6830,7157,7552,7784,8270
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",3366,3577,3913,4208,4235,4400,4560,4826,5075,5155,5071,4872,4415,4632,4810,5062,5155,5187
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",3561,3850,4190,4441,4489,4735,5124,5611,5928,6004,5973,5954,5586,5752,5868,6262,6446,6532
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1692,1778,1945,2064,2021,2125,2244,2354,2464,2635,2747,2752,2675,2885,3110,3188,3301,3381
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",28703,29371,31575,33700,34474,34938,36811,39410,41896,44501,46178,48413,45791,48050,51542,52840,53229,53468
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",10714,10927,11366,11617,11821,11909,12333,13175,13900,14383,14802,15532,15527,15658,16329,16529,16837,16960
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",4732,4882,5181,5274,5288,5341,5407,5486,5598,5684,5634,5588,5396,5626,5863,6008,6030,6054
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",3748,3421,3844,4845,4888,4567,5350,6297,7488,8552,9288,10332,7309,8618,10402,10660,10534,9941
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",9509,10142,11183,11965,12478,13122,13721,14452,14910,15882,16454,16961,17559,18148,18948,19643,19828,20514
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",70557,75325,79269,84503,88721,92312,96704,103429,109633,114890,119717,123940,123886,127511,131702,136311,140046,145859
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",67641,71829,75556,80430,84370,87744,92360,98716,104490,109375,114495,118005,118134,121416,125579,129738,133281,138250
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",18235,19123,20171,21317,23016,23721,24674,25882,28039,29401,30431,31947,32528,32623,32954,33332,34012,35503
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",16017,17059,17764,18903,20565,22413,24130,26444,27900,29553,31750,32756,34145,35710,37560,39745,40654,41406
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",4157,4399,4774,5045,5150,5083,5158,5235,5473,5546,5679,5641,5162,5218,5559,5740,5952,6314
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",5146,5270,5472,5740,5800,5922,6281,6786,7018,7186,7527,7756,7543,7665,7771,8160,8415,8597
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",6878,7226,7708,8074,8333,8694,9087,9681,10191,10681,10947,11149,11000,11287,11761,12304,12501,12917
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",8692,9554,10352,11484,10981,10985,11375,12189,12908,13426,14026,14100,13020,13783,14379,14278,15229,15972
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",8517,9199,9313,9867,10526,10925,11655,12499,12960,13582,14135,14657,14736,15128,15596,16179,16519,17542
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",2916,3496,3713,4073,4351,4568,4344,4713,5143,5515,5222,5935,5752,6095,6123,6572,6764,7609
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",11271,12174,12656,13393,14160,14982,14716,16133,17527,18227,18340,19648,20129,21375,22126,23176,23812,25430
"18000","Indiana","3","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",8355,8679,8943,9320,9809,10414,10372,11420,12384,12713,13118,13713,14377,15280,16003,16603,17048,17821
"18000","Indiana","3","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",19271,20219,21327,22465,23198,23882,24820,26331,27586,28565,29392,29973,29214,30147,31334,32308,32867,33758
"18000","Indiana","3","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7423,7663,8213,8594,8720,8887,9214,9737,10125,10422,10626,10682,10034,10500,11123,11458,11554,11648
"18000","Indiana","3","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2603,2767,2990,3061,3094,3211,3273,3415,3452,3395,3388,3146,2945,3097,3214,3375,3453,3542
"18000","Indiana","3","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1156,1232,1328,1303,1340,1382,1348,1363,1307,1217,1226,1033,983,1052,1098,1155,1185,1254
"18000","Indiana","3","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",565,596,647,691,691,715,736,774,808,814,795,758,684,714,738,774,785,786
"18000","Indiana","3","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",598,642,693,729,733,769,827,900,944,948,936,927,865,886,900,958,981,990
"18000","Indiana","3","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",284,296,322,339,330,345,362,378,393,416,431,428,414,445,477,488,502,512
