"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"20000","Kansas","4","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",49033,52336,55798,59589,61823,63330,66423,70435,74074,78513,82446,85514,84292,86720,91222,94223,97132,100659
"20000","Kansas","4","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",19210,20270,21733,22747,23082,23053,23993,25301,26535,28044,29637,30255,28876,30063,32054,33252,34031,34836
"20000","Kansas","4","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",6881,7448,8008,8168,8378,8475,8684,9247,9311,9674,10278,9951,9438,9716,9982,10690,10954,11297
"20000","Kansas","4","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",2970,3204,3416,3408,3536,3592,3497,3531,3506,3470,3618,3253,3131,3367,3471,3873,4031,4209
"20000","Kansas","4","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",1426,1565,1662,1776,1809,1854,1995,2222,2236,2443,2586,2558,2409,2428,2489,2629,2649,2772
"20000","Kansas","4","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",1654,1785,1969,1974,2033,2031,2154,2404,2471,2537,2718,2786,2604,2618,2610,2718,2774,2810
"20000","Kansas","4","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",832,894,961,1011,1000,999,1038,1091,1098,1224,1355,1354,1294,1304,1413,1470,1500,1506
"20000","Kansas","4","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",12329,12822,13725,14579,14705,14577,15310,16054,17224,18370,19359,20304,19437,20347,22072,22561,23076,23539
"20000","Kansas","4","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",4773,4970,5246,5451,5513,5450,5727,5927,6496,6808,7223,7545,7504,7480,7984,8039,8062,8136
"20000","Kansas","4","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",1948,2104,2140,2204,2215,2184,2176,2133,2172,2303,2433,2462,2380,2467,2569,2663,2678,2698
"20000","Kansas","4","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",1496,1358,1536,1854,1761,1640,1905,2213,2671,3022,3257,3579,2625,3080,3845,3890,3969,3899
