"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",69197,73248,77742,83304,85986,89356,93731,99367,105626,111450,115280,118637,118602,123685,129546,134138,136953,140240
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",27250,28512,31034,33067,33416,34472,36083,38356,40319,42760,43858,44665,43428,45785,48678,50170,50336,50522
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",9223,9828,10687,11247,11109,11760,12008,12618,12784,12983,13285,12255,11800,12480,12975,13900,14138,14401
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",4161,4466,4824,4888,4868,5068,5048,5115,5000,4785,4835,4180,4062,4482,4657,5039,5174,5350
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",2066,2195,2362,2522,2461,2661,2744,2924,3056,3108,3152,2928,2781,2848,2899,3088,3113,3180
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",1943,2026,2241,2471,2452,2631,2764,3026,3126,3341,3439,3324,3204,3247,3375,3692,3734,3750
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1053,1140,1260,1366,1328,1400,1452,1553,1602,1748,1859,1823,1753,1903,2044,2081,2117,2121
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",18027,18684,20347,21819,22308,22712,24075,25738,27534,29777,30573,32410,31629,33306,35703,36270,36198,36121
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",6773,7069,7485,7768,8001,8146,8500,9087,9548,9930,10384,11055,11390,11641,12229,12459,12492,12543
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",2775,2912,3154,3170,3150,3130,3182,3206,3305,3464,3464,3404,3302,3375,3525,3583,3588,3655
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",2463,2214,2426,3069,2897,2760,3292,3893,4734,5741,5700,6530,4778,5575,6797,6751,6544,6160
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",6015,6489,7283,7812,8260,8676,9100,9552,9948,10642,11024,11421,12159,12715,13152,13477,13574,13763
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",41947,44736,46707,50237,52570,54884,57648,61011,65308,68690,71422,73972,75174,77899,80868,83968,86617,89718
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",40469,42890,44842,48078,50292,52562,55141,58555,62643,65465,68277,70723,71911,74453,77428,79943,82235,85142
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",10239,10726,11316,12111,12931,13355,13958,14733,15985,16714,17432,18367,18822,19150,19532,20012,20926,21759
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",11012,11611,12043,12894,14026,15178,15778,16842,18045,18860,19805,20491,21580,22594,23937,25284,25455,25825
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",2085,2239,2394,2547,2451,2457,2707,2680,2746,2581,2645,2642,2421,2420,2565,2577,2601,2691
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",2802,2865,3030,3138,3180,3282,3518,3746,3885,4069,4269,4473,4503,4568,4663,4859,4927,5078
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",4413,4722,4766,4920,5091,5349,5644,6054,6399,6772,6974,7161,7283,7490,7789,8175,8436,8713
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",5155,5566,6041,6779,6543,6634,6849,7415,8033,8363,8802,8864,8357,8876,9216,9055,9616,10138
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",4764,5161,5252,5688,6069,6307,6688,7086,7549,8105,8350,8724,8945,9356,9724,9981,10274,10937
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1478,1846,1866,2159,2278,2322,2507,2456,2664,3225,3145,3249,3263,3446,3440,4025,4382,4576
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",6188,6912,7045,7629,8021,8420,8899,9276,10013,11172,11396,11905,12431,13163,13526,14377,15202,15674
"21000","Kentucky","5","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",4710,5066,5179,5470,5743,6099,6393,6820,7349,7947,8251,8656,9168,9718,10086,10352,10820,11098
"21000","Kentucky","5","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",17506,18379,19348,20574,21137,21848,22766,23966,25253,26415,27082,27655,27473,28434,29644,30601,31129,31775
"21000","Kentucky","5","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",6894,7154,7724,8167,8214,8429,8764,9251,9639,10134,10303,10412,10060,10526,11139,11445,11441,11447
"21000","Kentucky","5","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2333,2466,2660,2778,2731,2875,2917,3043,3056,3077,3121,2857,2733,2869,2969,3171,3214,3263
"21000","Kentucky","5","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1053,1121,1201,1207,1197,1239,1226,1234,1195,1134,1136,974,941,1030,1066,1150,1176,1212
"21000","Kentucky","5","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",523,551,588,623,605,651,666,705,731,737,740,683,644,655,663,704,707,721
"21000","Kentucky","5","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",492,508,558,610,603,643,671,730,747,792,808,775,742,746,772,842,849,850
"21000","Kentucky","5","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",266,286,314,337,326,342,353,375,383,414,437,425,406,437,468,475,481,481
"21000","Kentucky","5","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4561,4688,5064,5389,5484,5553,5847,6208,6583,7057,7182,7555,7326,7657,8170,8274,8228,8184
