"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"22000","Louisiana","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",75444,79465,83251,87777,91248,94725,99646,105522,110377,116451,122775,126543,126184,131542,138016,143522,148398,153342
"22000","Louisiana","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",28976,30335,32085,33618,34281,35380,37249,39146,40978,44711,46650,47394,45543,47608,50961,53037,54001,54450
"22000","Louisiana","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",10209,11062,11716,12086,12444,13171,13819,14550,15180,16917,17342,16199,15265,15702,16577,17630,18196,18534
"22000","Louisiana","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",4731,5229,5555,5642,5879,6125,6247,6313,6507,6689,6676,5661,5409,5820,6272,6923,7335,7554
"22000","Louisiana","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",2211,2356,2515,2611,2721,2935,3085,3278,3404,4280,4267,3971,3678,3635,3758,3892,3949,3991
"22000","Louisiana","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",2077,2203,2280,2382,2413,2635,2897,3245,3476,3953,4191,4332,3986,3908,4029,4203,4265,4314
"22000","Louisiana","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1191,1274,1366,1450,1431,1476,1590,1714,1792,1995,2207,2235,2192,2339,2518,2612,2647,2675
"22000","Louisiana","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",18766,19272,20369,21532,21837,22209,23431,24597,25797,27794,29308,31195,30278,31906,34384,35407,35805,35915
"22000","Louisiana","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",7716,7880,8143,8268,8411,8454,8859,9193,9443,9914,10387,10935,11123,11218,11794,12036,12182,12305
"22000","Louisiana","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",3278,3464,3602,3659,3661,3702,3825,3915,3970,4191,4322,4383,4307,4411,4568,4662,4768,4801
"22000","Louisiana","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",2350,2140,2283,2864,2688,2514,2907,3372,4085,4936,5496,6325,4822,5774,7086,7237,7063,6618
