"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"25000","Massachusetts","1","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",158124,167891,178275,193428,203645,209532,219640,232941,246019,258426,266872,275864,271920,282663,292964,301676,310105,323916
"25000","Massachusetts","1","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",53082,55331,60070,65313,67054,68048,70944,76113,80314,81439,83032,84238,80832,86167,90911,93666,95676,98285
"25000","Massachusetts","1","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",18875,20279,22265,24684,25301,26014,26912,28663,30070,29499,29339,28141,26738,29287,30429,31729,32617,33433
"25000","Massachusetts","1","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",6247,6809,7350,7846,8382,8851,9294,9382,9272,8551,8437,7347,7264,7767,8084,8419,8923,9430
"25000","Massachusetts","1","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",3868,4223,4792,5368,5669,5880,6014,6784,7130,7093,6915,6644,5919,6164,6412,6667,6893,7038
"25000","Massachusetts","1","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",5809,6103,6665,7778,7609,7627,7664,8191,9134,9317,9205,9235,8732,9838,10191,10677,10742,10880
"25000","Massachusetts","1","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",2951,3144,3458,3692,3640,3657,3940,4307,4534,4538,4781,4916,4823,5518,5742,5967,6059,6084
"25000","Massachusetts","1","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",34207,35053,37805,40629,41753,42033,44033,47450,50244,51941,53693,56098,54093,56880,60482,61937,63058,64852
"25000","Massachusetts","1","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",12140,12432,13464,14036,14753,15130,15311,16401,17017,17691,18398,19207,19121,19580,20857,21403,21800,22388
"25000","Massachusetts","1","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",7320,7572,7929,8256,8243,7938,8251,8639,8836,8396,8446,8555,8276,8454,8618,8946,9113,9225
