"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",113966,120744,128818,139299,147401,154887,164009,175239,187156,198238,207568,212547,211283,217973,226166,233002,239485,247780
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",39833,42038,45015,48667,50940,53098,56284,60160,62867,65407,66947,65617,62410,65278,68685,72012,73387,74496
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",14218,15455,16899,18314,19403,21013,21956,23601,24386,24741,25020,22719,21181,21992,22941,24482,25121,25594
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",5804,6269,6921,7494,8174,8829,9062,9190,9037,8535,8661,7147,6751,7420,7730,8433,8625,8944
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",3246,3473,3833,4106,4403,4842,5101,5736,6103,6294,6165,5700,5226,5330,5480,5702,5779,5841
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",3379,3739,4018,4402,4510,4890,5205,5866,6234,6574,6677,6385,5832,5961,6147,6573,6757,6795
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1790,1974,2127,2312,2316,2452,2588,2810,3012,3337,3517,3488,3371,3280,3583,3774,3961,4014
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",25614,26583,28116,30354,31536,32084,34328,36559,38481,40666,41926,42897,41230,43286,45744,47530,48266,48901
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",9305,9576,9945,10569,11133,11170,12267,12736,13006,13523,14096,14590,14535,15057,15482,15827,16042,16314
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",5101,5454,5669,5845,5899,5891,5875,6240,6611,6810,6717,6570,6369,6513,6807,7107,7143,7196
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",2639,2301,2532,3202,3152,3072,3690,4359,5232,5954,6391,6807,4943,5663,6592,6996,6975,6656
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",8569,9252,9970,10738,11353,11951,12495,13225,13631,14379,14722,14931,15383,16053,16863,17599,18107,18735
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",74134,78706,83803,90632,96461,101789,107725,115079,124289,132831,140622,146931,148873,152696,157481,160990,166099,173284
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",72719,77234,81982,88511,94101,98837,104673,112426,120813,128465,136085,141804,144000,148061,152910,156193,160960,167760
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",23267,24607,26077,27694,29488,30633,32108,34273,37291,40033,42790,45447,47225,48048,49207,50231,52329,54663
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",15637,16267,16954,17992,19989,21801,23412,25528,27044,28454,30225,31998,33319,34259,35803,37243,37827,39082
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",3842,4023,4406,4819,4990,4963,5274,5554,5800,6011,6099,6065,5794,6033,6244,6365,6628,6899
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",4411,4584,4863,5352,5644,5939,6342,6773,7230,7590,8164,8127,8097,8208,8321,8447,8573,8783
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",6552,6824,7342,7697,8126,8511,8611,9372,10156,11050,11753,12167,12028,12269,12773,13479,13883,14461
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",8914,9852,10855,12146,11960,12354,13011,14223,15427,16147,16949,17033,16292,17318,17891,17467,18289,19174
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",10096,11076,11485,12811,13904,14637,15916,16703,17865,19180,20105,20968,21245,21924,22670,22960,23431,24698
"24000","Maryland","2","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1414,1472,1821,2121,2360,2952,3052,2653,3476,4366,4537,5127,4873,4635,4571,4797,5139,5525
