"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"23000","Maine","1","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",26153,28046,30010,31824,33599,35358,37520,40092,42410,44551,46526,47942,47456,48944,50528,51591,52855,54730
"23000","Maine","1","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",10028,10758,11615,12141,12727,13304,14035,15092,15790,16494,17312,17736,17028,17797,18686,18878,19180,19722
"23000","Maine","1","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",3201,3484,3865,4050,4308,4636,4804,5076,5219,5266,5448,5211,5062,5137,5265,5394,5554,5745
"23000","Maine","1","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1394,1500,1688,1718,1808,1922,1985,2003,1948,1834,1838,1625,1629,1727,1787,1871,1925,2052
"23000","Maine","1","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",600,659,740,798,865,941,937,1023,1110,1165,1196,1192,1123,1139,1156,1178,1213,1235
"23000","Maine","1","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",767,852,940,1019,1124,1213,1289,1395,1448,1485,1558,1541,1473,1462,1501,1517,1549,1568
"23000","Maine","1","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",440,473,497,515,511,560,593,655,712,783,856,853,837,809,822,828,867,890
"23000","Maine","1","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",6827,7274,7750,8091,8419,8668,9232,10016,10571,11228,11864,12525,11966,12661,13421,13484,13626,13977
"23000","Maine","1","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",2709,3008,3158,3173,3303,3347,3484,3681,3682,3813,4129,4322,4422,4515,4640,4716,4820,4969
"23000","Maine","1","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",1137,1167,1150,1137,1158,1191,1182,1265,1305,1339,1341,1294,1243,1272,1265,1269,1293,1311
