"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",1007553,1064226,1131593,1214156,1273756,1327914,1401519,1481805,1569195,1651385,1725569,1775306,1756676,1819091,1894892,1948041,2005264,2086931
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",335811,350149,377514,403455,419275,434389,457273,480696,503589,523304,538891,542688,517765,544659,578724,597320,612531,630398
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",109744,118664,129880,138715,145390,154824,162451,170730,175117,177797,181810,172031,161795,169746,178125,185655,191909,197063
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",41153,44391,48193,50433,53790,57557,59271,60501,58945,55600,56760,48749,46860,51036,54126,57676,60019,62664
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",25404,27308,30343,33198,34858,36917,39041,41660,43950,45921,46000,44886,41029,42198,43993,45397,46439,47140
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",27402,29878,32609,34903,36679,39049,41291,44107,46372,48581,49699,49246,45959,47051,47735,49185,50572,51372
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",15784,17087,18735,20181,20062,21301,22848,24462,25849,27695,29351,29150,27947,29462,32271,33397,34878,35887
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",226067,231486,247634,264741,273886,279565,294822,309966,328472,345507,357081,370657,355970,374913,400599,411665,420622,433335
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",76217,77194,81374,85303,90158,92369,97647,101515,107038,111229,116181,121770,120951,124997,130022,132659,135328,138748
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",50170,51916,54943,56922,55805,55954,57138,58611,60691,62636,63003,62132,59589,62537,66844,69374,71300,73162
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",20781,17980,19538,24528,23890,22512,26993,32200,38720,43503,47051,53270,39642,45741,55278,55220,54451,52621
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",78899,84396,91779,97988,104032,108729,113044,117640,122023,128139,130846,133485,135787,141639,148455,154411,159542,168804
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",671742,714077,754079,810701,854480,893525,944246,1001109,1065606,1128080,1186678,1232618,1238911,1274432,1316169,1350720,1392733,1456532
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",646882,684452,721815,774346,813428,848346,896317,951490,1011929,1068442,1124918,1164083,1170407,1206701,1249938,1281919,1320593,1380319
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",187980,196961,207391,219385,234771,242877,253795,266711,286470,303055,318454,333695,340562,345246,353785,358952,367938,382170
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",150096,157607,163258,172363,186290,200858,214418,229349,242731,253591,266514,277455,288867,300449,313413,325775,333984,348089
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",44889,47908,50892,54857,56093,55031,56834,59719,62089,64753,66444,66895,64156,65172,68392,70455,73410,77136
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",38517,40800,43987,46968,48957,50959,54442,58388,61525,66155,70662,72528,70908,71844,74441,77244,80452,83533
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",55436,57823,61149,66216,67381,70008,73889,79244,84436,90172,95439,98792,96850,100660,106028,111607,115814,122275
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",80484,86227,93623,103964,100147,102452,106658,114570,123054,128709,136692,136627,129689,137860,142389,140095,147069,154289
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",89479,97126,101516,110594,119789,126161,136281,143510,151624,162008,170712,178092,179375,185472,191490,197791,201927,212827
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",24860,29625,32264,36355,41052,45179,47929,49618,53677,59638,61760,68536,68504,67731,66231,68801,72140,76213
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",109121,116736,122779,131585,143215,155811,165843,177560,189698,202732,212673,221114,228655,234127,237985,247330,256676,266267
"92000","Mideast","2","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",84262,87112,90515,95230,102163,110632,117914,127941,136020,143094,150913,152579,160150,166395,171754,178529,184536,190054
"92000","Mideast","2","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",22105,23225,24543,26175,27322,28349,29797,31419,33218,34888,36348,37230,36640,37734,39086,40003,41006,42553
"92000","Mideast","2","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7368,7642,8188,8698,8994,9274,9722,10192,10660,11055,11351,11381,10799,11298,11937,12266,12526,12854
