"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",204488,214662,228698,241942,249671,256626,266125,278564,289227,299575,306086,312881,306965,315146,329036,336987,345440,358916
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",74449,77717,84610,88808,90377,92085,93961,97960,99703,102382,104093,105978,101920,106680,114037,117272,119732,123571
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",26080,27853,30785,31331,31849,33145,32336,32972,32024,31198,30503,29458,28013,29385,31124,32898,33671,34794
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",10685,11172,12173,12023,12640,13242,11909,11132,9969,8637,8019,7462,7487,8346,9141,9908,10324,11284
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",6022,6467,7146,7649,7545,7718,7664,8100,8036,7899,7531,7198,6625,6865,7162,7607,7726,7815
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",6251,6940,7882,7890,8017,8424,8786,9563,9719,10022,10074,9924,9200,9345,9587,9954,10165,10212
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",3121,3273,3584,3769,3647,3761,3977,4177,4300,4640,4879,4874,4701,4830,5234,5428,5456,5483
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",48369,49864,53825,57476,58528,58940,61625,64987,67679,71184,73590,76521,73907,77295,82912,84374,86061,88777
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",17746,18063,19082,19702,20439,20729,21109,21973,22111,22335,22903,23659,23789,24315,25399,25825,25856,26276
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",8634,8817,9319,9473,9233,9034,9042,9113,9092,9015,8805,8669,8453,8831,9055,9357,9379,9431
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",5394,4880,5419,7038,6596,6174,7230,7997,9518,10558,11189,12646,9108,10913,13531,13175,13522,13271
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",16594,18104,20005,21264,22261,23004,24244,25904,26958,29276,30693,31547,32558,33235,34927,36017,37305,39800
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",130039,136946,144088,153135,159294,164541,172164,180604,189524,197193,201992,206903,205045,208466,214999,219715,225707,235345
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",123498,129175,135705,143914,149065,153755,160478,168588,177160,183219,188075,192510,191130,195120,201932,206260,211850,221186
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",34099,35756,37834,39838,42429,44380,46021,47935,51527,53953,54634,56524,56550,56319,56520,56784,57563,59804
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",28164,28905,29569,31254,33196,35234,37485,40397,42894,45344,48011,50188,52713,54641,57725,60123,61321,63131
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",11715,11784,12765,13581,13403,13071,13250,13781,13659,13332,13104,13210,11998,12176,13145,13474,13769,14605
"26000","Michigan","3","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",9298,9697,10111,10594,10489,10759,11198,11744,12148,12414,12740,12862,12427,12458,12870,13319,14129,15041
