"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",109346,115574,125167,136079,142085,147991,154960,163646,169465,176835,183457,188452,185405,191398,200661,207189,214284,222922
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",38610,40672,44245,48507,50188,51266,53149,56458,57573,58178,59636,61254,58608,61332,66156,68639,70183,71452
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",14928,16233,17850,19323,20102,21054,21396,22655,22426,22091,22480,21943,21187,22041,23326,24494,25261,25818
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",5960,6418,6886,6972,7361,7534,7265,7230,6770,6230,6217,5464,5402,5837,6292,6826,7096,7493
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",3044,3311,3732,4208,4246,4552,4724,5135,5061,5117,5050,4888,4470,4540,4748,4995,5171,5292
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",3602,3940,4427,5001,5273,5643,5894,6532,6680,6675,6961,7171,6781,6964,7199,7407,7584,7614
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",2322,2565,2805,3142,3222,3325,3513,3758,3915,4069,4252,4419,4534,4700,5087,5266,5411,5418
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",23681,24439,26395,29184,30086,30213,31753,33803,35148,36087,37156,39312,37420,39291,42830,44145,44922,45635
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",8688,8983,9612,10229,10944,11132,11324,11916,11987,11869,12236,12915,13183,13235,14052,14631,14897,14923
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",4356,4504,4676,5268,5187,5005,5166,5441,5498,5441,5416,5472,5290,5537,5758,5959,6120,6190
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",3165,2921,3293,4081,3913,3619,4305,4969,5981,6810,7237,8203,5914,6919,8660,8703,8633,8508
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",7473,8031,8815,9606,10043,10456,10958,11477,11682,11967,12266,12722,13034,13600,14360,14851,15272,16013
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",70737,74902,80922,87572,91897,96725,101811,107189,111892,118657,123821,127198,126797,130066,134505,138550,144101,151470
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",67742,71811,76963,82706,86530,91006,95815,101031,106126,112285,117237,120231,120105,123145,127736,131585,136800,143749
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",17665,18575,19727,21252,22882,23811,25240,26765,29118,30902,32274,33671,34111,34269,34903,35563,37209,38983
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",16702,17432,18616,19864,21450,23693,24621,25869,26982,28943,30385,30832,32136,33382,34679,36601,37789,39348
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",5014,5145,5568,6018,5897,5762,5827,6182,6246,6341,6484,6526,5994,5960,6358,6543,6875,7433
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",5453,5850,6068,6020,5996,6438,7011,7232,7410,8159,8562,8845,8603,9046,9495,9849,10240,10864
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",5912,6272,6762,7134,7436,7755,8231,8741,9179,9702,10074,10264,10053,10191,10766,11221,11505,12105
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",7642,8465,9328,10385,10146,10307,10918,11757,12435,12900,13750,13856,12761,13686,14362,14244,15073,15809
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",9354,10071,10894,12032,12725,13240,13968,14484,14757,15340,15709,16236,16446,16611,17173,17564,18109,19206
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",2995,3091,3958,4867,5367,5718,5996,6158,5766,6372,6584,6966,6692,6921,6769,6965,7301,7721
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",11898,11904,13849,15882,17047,18254,19184,20305,20365,21316,22049,22845,23219,24221,24631,25163,26095,27025
"27000","Minnesota","4","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",8903,8813,9891,11015,11680,12536,13188,14147,14599,14945,15465,15878,16527,17300,17863,18198,18794,19304
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",22956,24011,25683,27582,28515,29487,30664,32165,33101,34247,35231,35916,35107,36042,37521,38507,39521,40849
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",8105,8450,9079,9832,10072,10215,10517,11097,11246,11267,11453,11674,11097,11549,12370,12757,12944,13093
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",3134,3373,3663,3917,4034,4195,4234,4453,4380,4278,4317,4182,4012,4151,4362,4552,4659,4731
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1251,1333,1413,1413,1477,1501,1438,1421,1322,1207,1194,1041,1023,1099,1177,1269,1309,1373
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",639,688,766,853,852,907,935,1009,989,991,970,932,846,855,888,928,954,970
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",756,818,908,1014,1058,1124,1166,1284,1305,1293,1337,1367,1284,1311,1346,1377,1399,1395
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",487,533,576,637,647,662,695,739,765,788,817,842,859,885,951,979,998,993
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4972,5077,5416,5915,6038,6020,6283,6644,6865,6989,7135,7492,7086,7399,8009,8204,8285,8362
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1824,1866,1972,2073,2196,2218,2241,2342,2341,2299,2350,2461,2496,2492,2628,2719,2748,2735
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",914,936,959,1068,1041,997,1022,1069,1074,1054,1040,1043,1002,1043,1077,1107,1129,1134
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",664,607,676,827,785,721,852,977,1168,1319,1390,1563,1120,1303,1619,1617,1592,1559
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1569,1668,1809,1947,2015,2083,2168,2256,2282,2318,2356,2425,2468,2561,2685,2760,2817,2934
"27000","Minnesota","4","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",14850,15561,16604,17750,18443,19272,20146,21068,21856,22980,23779,24242,24009,24493,25150,25750,26577,27756
