"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"29000","Missouri","4","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",112017,117938,125215,132466,138079,144207,150245,156744,164555,170798,178392,185138,183922,188730,196877,203229,207766,212542
"29000","Missouri","4","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",44727,46146,49215,50723,52435,54634,56435,58386,60958,62360,63966,66271,63690,65501,69587,71805,72572,72927
"29000","Missouri","4","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",15452,16541,17840,18283,19232,20364,20986,21471,21875,21714,21902,21218,20394,20427,21156,22138,22609,23138
"29000","Missouri","4","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",6661,7213,7717,7672,8262,8548,8499,8382,8280,7849,7929,6891,6724,7217,7519,8050,8222,8582
"29000","Missouri","4","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",2871,3065,3354,3596,3678,3990,4250,4487,4734,4762,4779,4655,4249,4254,4479,4639,4738,4790
"29000","Missouri","4","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",4240,4458,4802,4962,5211,5617,5870,6117,6265,6307,6269,6675,6439,6057,6026,6257,6371,6436
"29000","Missouri","4","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1680,1804,1966,2053,2081,2208,2367,2484,2596,2795,2924,2996,2982,2899,3132,3192,3278,3330
"29000","Missouri","4","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",29275,29605,31376,32440,33203,34270,35449,36915,39083,40647,42064,45053,43296,45074,48432,49668,49963,49789
"29000","Missouri","4","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",9311,9499,9806,10015,10305,10710,11056,11651,12317,12564,13251,14055,14388,14796,15390,15500,15686,15712
"29000","Missouri","4","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",4263,4411,4595,4464,4484,4755,4908,4947,5096,5225,5189,5170,5142,5176,5438,5606,5733,5761
