"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",42166,44848,47964,50986,53146,55362,58218,61891,65897,70263,72542,74725,73951,77196,80775,83130,85543,87985
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",16935,17916,19774,20519,20905,21381,22568,23984,25686,27980,28179,28632,27272,28957,30905,31866,32581,33033
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",5568,5984,6629,6777,6871,7160,7379,7733,8202,8865,8703,7939,7335,7703,8049,8481,8870,9098
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",2714,2979,3283,3235,3386,3464,3423,3411,3436,3450,3422,2849,2559,2813,3004,3265,3530,3644
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",1198,1251,1396,1494,1446,1520,1570,1674,1837,2130,2040,1916,1783,1786,1834,1911,1931,1961
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",1100,1154,1288,1342,1351,1452,1606,1796,1999,2250,2142,2078,1932,1974,2016,2083,2149,2191
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",556,599,662,705,687,725,780,852,930,1035,1099,1096,1061,1130,1195,1221,1260,1303
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",11367,11933,13146,13742,14035,14221,15189,16251,17484,19115,19476,20693,19937,21254,22856,23385,23711,23935
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",4455,4685,4991,4930,5057,5053,5270,5587,5918,6302,6356,6742,6868,7061,7406,7475,7489,7515
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",1853,1947,2118,2138,2129,2162,2247,2290,2397,2549,2464,2488,2454,2532,2618,2670,2702,2777
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",1575,1458,1669,2077,2022,1917,2230,2581,3105,3660,3916,4442,3251,3879,4711,4761,4649,4321
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",3485,3843,4368,4597,4826,5089,5442,5794,6064,6604,6741,7021,7364,7783,8120,8480,8871,9321
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",25231,26932,28190,30468,32240,33980,35650,37907,40211,42283,44363,46092,46679,48239,49870,51264,52962,54952
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",24709,26308,27476,29629,31290,32789,34435,36751,38947,40926,42927,44679,45305,46778,48341,49593,51268,53139
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",6908,7345,7659,8219,8814,9033,9484,9961,10760,11350,11632,12198,12350,12505,12714,13005,13415,13998
"28000","Mississippi","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",7151,7552,7643,8149,8873,9597,10169,11158,11578,12450,13351,14027,14717,15120,15636,16048,16388,16642
