"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",16212,17156,18305,19585,20655,21896,23261,25039,26940,28931,31038,32417,31665,32889,34456,35981,37628,39426
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",6216,6491,7028,7534,7909,8508,9051,9832,10547,11436,12455,13006,12118,12603,13289,13808,14319,14979
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",2238,2368,2572,2767,2948,3256,3530,3838,4047,4319,4692,4577,4180,4281,4387,4630,5004,5301
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",953,1010,1099,1152,1250,1348,1371,1408,1394,1388,1467,1290,1251,1375,1428,1564,1673,1779
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",475,498,545,592,638,721,788,893,985,1066,1167,1163,1017,1008,1019,1070,1145,1204
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",569,610,660,731,769,876,1016,1142,1243,1367,1483,1520,1362,1359,1411,1468,1627,1748
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",241,250,268,293,292,311,356,394,426,499,576,604,551,539,529,527,558,570
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",3978,4123,4456,4767,4961,5251,5521,5995,6500,7116,7762,8429,7938,8322,8902,9178,9315,9678
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1632,1713,1771,1790,1828,1918,2052,2179,2315,2509,2740,2895,2888,2913,3085,3170,3245,3390
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",566,567,595,606,618,643,676,714,751,790,824,827,802,839,865,894,914,927
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",540,495,581,748,768,752,749,947,1208,1426,1672,2053,1490,1690,1983,2046,1974,1978
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1240,1349,1510,1623,1747,1938,2044,2154,2225,2392,2526,2653,2758,2880,2969,3069,3182,3384
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",9996,10665,11277,12050,12745,13388,14210,15206,16393,17495,18584,19411,19547,20286,21167,22173,23309,24447
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",9546,10161,10719,11456,12116,12686,13450,14482,15688,16690,17764,18603,18694,19466,20356,21282,22413,23498
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",2611,2738,2895,3083,3309,3404,3555,3845,4274,4543,4753,5018,5059,5167,5312,5508,5915,6198
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",2182,2351,2542,2724,3005,3249,3436,3651,3928,4125,4484,4786,5091,5348,5661,6020,6327,6606
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",449,474,525,563,588,583,636,645,674,712,768,766,705,714,767,795,843,903
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",527,537,566,592,595,614,662,721,776,854,934,970,993,1032,1101,1164,1214,1288
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1152,1193,1243,1341,1374,1463,1550,1658,1775,1902,2036,2113,2077,2102,2211,2345,2458,2587
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1121,1227,1311,1445,1420,1446,1548,1685,1836,1938,2090,2136,1982,2134,2247,2250,2379,2486
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",1504,1642,1638,1708,1825,1927,2062,2276,2425,2617,2699,2814,2786,2970,3057,3201,3277,3430
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",450,503,558,594,630,702,761,724,705,805,820,808,853,820,811,891,896,949
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1621,1746,1844,1922,2018,2204,2269,2311,2386,2625,2750,2742,2924,2960,3017,3211,3278,3401
"30000","Montana","7","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1172,1243,1286,1328,1389,1501,1508,1586,1681,1820,1930,1934,2071,2141,2206,2320,2382,2453
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",18219,19223,20395,21670,22773,24018,25294,26923,28657,30367,32174,33200,32180,33202,34537,35796,37077,38518
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",6986,7273,7830,8337,8720,9332,9842,10572,11219,12004,12911,13320,12315,12723,13320,13737,14109,14634
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2515,2653,2865,3062,3250,3572,3839,4127,4305,4534,4864,4688,4248,4321,4397,4606,4930,5178
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1071,1132,1224,1275,1378,1479,1490,1514,1483,1457,1521,1321,1271,1388,1432,1556,1649,1738
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",534,558,607,655,703,791,857,961,1048,1119,1209,1191,1033,1018,1021,1064,1128,1176
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",640,684,735,808,848,961,1105,1228,1322,1435,1537,1557,1384,1372,1414,1460,1603,1708
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",270,280,299,324,322,341,387,424,453,523,597,619,560,544,530,525,550,557
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4470,4620,4965,5275,5470,5760,6003,6446,6914,7470,8046,8633,8067,8401,8923,9131,9179,9455
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1834,1919,1973,1981,2016,2104,2231,2343,2463,2633,2840,2965,2935,2941,3092,3154,3198,3312
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",636,635,663,670,681,705,735,768,799,829,855,847,815,847,867,889,900,906
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",607,554,647,828,847,825,815,1019,1285,1497,1734,2103,1515,1706,1987,2035,1945,1932
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1393,1511,1682,1796,1926,2126,2222,2316,2367,2511,2618,2717,2803,2907,2976,3053,3136,3306
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",11233,11950,12565,13334,14053,14686,15452,16351,17438,18363,19264,19880,19865,20479,21217,22059,22968,23884
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",10728,11386,11943,12676,13359,13915,14625,15572,16688,17519,18414,19052,18998,19652,20404,21173,22085,22957
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",2934,3068,3226,3411,3648,3734,3866,4135,4547,4768,4927,5139,5142,5216,5324,5479,5828,6055
"30000","Montana","7","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2452,2634,2832,3015,3313,3564,3737,3926,4179,4330,4648,4901,5174,5399,5674,5989,6234,6454
