"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",142269,149398,161220,173664,180219,185344,194517,207951,223657,237744,253009,260070,257586,270023,281726,294126,305556,318760
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",58296,61133,67248,71981,73204,74034,77174,82151,88535,93239,98742,99167,93369,99769,105286,110933,115614,119970
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",21532,23310,25894,27182,27442,28263,29228,31021,32602,33203,34641,32066,29383,30633,31880,34137,36322,38088
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",9527,10304,11406,11719,11910,12362,12290,12671,12835,12419,12965,10875,9978,10963,11440,12423,13212,13925
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",5278,5717,6279,6729,6756,6908,7033,7551,8270,8560,8790,8314,7353,7314,7477,7838,8122,8406
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",4553,4951,5613,5836,5904,6097,6752,7413,7876,8301,8643,8643,7904,8021,8276,9021,9879,10548
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",2175,2338,2596,2897,2872,2896,3153,3386,3620,3923,4243,4234,4147,4334,4686,4856,5109,5209
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",36763,37824,41353,44799,45762,45770,47946,51130,55934,60035,64100,67101,63987,69136,73406,76796,79292,81882
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",13711,14088,15219,16064,16545,16758,17065,17722,19059,19812,21342,22629,22208,22851,23391,24976,25926,26586
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",6604,6900,7362,7686,7755,7428,7582,7774,8270,8586,8873,8640,8393,8781,9124,9424,9851,10029
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",4577,4089,4533,5908,5711,5370,6289,7475,9013,10258,10816,12212,8999,10771,12999,13312,13200,12812
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",11872,12747,14239,15141,15751,16214,17009,18159,19592,21380,23070,23619,24387,26732,27892,29084,30314,32455
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",83973,88264,93973,101683,107015,111310,117344,125801,135122,144506,154268,160903,164217,170254,176441,183193,189942,198790
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",82103,88085,93769,101265,106412,110628,116771,125466,134813,143786,153492,159496,162510,168260,174674,180933,187399,196350
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",22813,24230,25659,27555,29486,30838,32392,34253,37048,39340,41646,43545,45276,46592,47937,49308,51457,53983
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",20328,21459,22612,24571,27208,29169,31258,34173,36390,38698,40894,42749,45273,46673,48646,51013,52515,54421
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",3600,3901,4289,4634,4562,4417,4542,4759,5005,5233,5504,5359,4952,5042,5291,5399,5685,6049
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",4765,5167,5614,5846,6029,6060,6318,6784,7251,7936,8737,9138,9232,9477,9945,10474,10756,11191
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",8935,9412,10019,10912,11040,11566,12266,13322,14337,15515,16740,17191,16991,17555,18163,19107,19670,20658
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",11282,12303,13549,14967,14532,14652,15245,16743,18366,19283,20617,20823,19772,21015,21438,21647,22427,23758
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",10379,11614,12027,12780,13555,13927,14750,15432,16415,17781,19355,20692,21013,21905,23255,23985,24889,26290
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1871,179,204,418,603,682,573,335,309,719,775,1407,1707,1994,1766,2260,2543,2440
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",9183,9924,10308,11097,12163,13200,13817,14671,15865,17543,18826,20354,21479,22861,23469,24398,25724,26037
"37000","North Carolina","5","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",7312,9745,10104,10678,11560,12519,13244,14336,15555,16824,18051,18947,19773,20866,21703,22138,23181,23597
"37000","North Carolina","5","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",18581,19131,20281,21489,21951,22260,23095,24313,25692,26661,27748,27936,27259,28247,29190,30172,31024,32056
"37000","North Carolina","5","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7614,7828,8459,8907,8916,8892,9163,9605,10170,10456,10829,10652,9881,10437,10909,11380,11739,12065
"37000","North Carolina","5","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2812,2985,3257,3363,3342,3395,3470,3627,3745,3723,3799,3444,3109,3204,3303,3502,3688,3830
"37000","North Carolina","5","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1244,1319,1435,1450,1451,1485,1459,1481,1474,1393,1422,1168,1056,1147,1185,1274,1341,1400
"37000","North Carolina","5","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",689,732,790,833,823,830,835,883,950,960,964,893,778,765,775,804,825,845
"37000","North Carolina","5","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",595,634,706,722,719,732,802,867,905,931,948,928,836,839,858,925,1003,1061
"37000","North Carolina","5","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",284,299,327,358,350,348,374,396,416,440,465,455,439,453,486,498,519,524
"37000","North Carolina","5","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4801,4844,5202,5543,5574,5497,5693,5978,6425,6732,7030,7208,6771,7232,7606,7878,8051,8234
