"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"38000","North Dakota","4","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",12692,13228,13773,14591,15291,15998,16792,17867,18945,20076,21276,22537,22728,24710,27371,30471,32855,35302
"38000","North Dakota","4","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",5037,5122,5381,5743,5987,6228,6587,7047,7457,7994,8421,8801,8625,9459,10808,12123,13179,13957
"38000","North Dakota","4","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",1914,1965,2044,2152,2296,2449,2560,2709,2790,2952,3148,3009,3081,3362,3768,4283,4581,4790
"38000","North Dakota","4","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",860,825,860,883,964,991,996,1014,1002,972,1038,998,1066,1226,1377,1568,1695,1795
"38000","North Dakota","4","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",398,422,430,450,467,496,521,564,611,640,669,655,657,706,790,939,996,1042
"38000","North Dakota","4","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",453,496,522,568,612,690,741,810,831,928,978,895,907,963,1087,1225,1302,1338
"38000","North Dakota","4","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",203,222,232,250,253,272,302,321,347,412,464,460,451,468,514,551,588,616
"38000","North Dakota","4","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",3124,3157,3337,3591,3691,3779,4027,4338,4668,5042,5274,5793,5543,6097,7040,7840,8598,9168
"38000","North Dakota","4","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1093,1097,1149,1179,1219,1265,1323,1403,1445,1513,1558,1645,1692,1740,1880,2047,2219,2368
"38000","North Dakota","4","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",546,559,552,555,554,560,571,581,606,659,680,718,697,759,835,953,1009,1073
