"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",32711,34405,36496,38961,40954,42237,44785,47709,50654,53022,55523,57520,56853,59317,62573,64694,66840,69346
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",12514,12957,13944,14649,15163,15371,16164,17524,18534,19415,20454,21103,20212,21656,23248,24203,24810,25438
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",4689,4961,5331,5443,5616,5791,5918,6338,6523,6636,6885,6621,6502,6980,7235,7698,8003,8283
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1914,2074,2311,2336,2561,2704,2690,2752,2629,2519,2659,2425,2445,2742,2910,3142,3251,3420
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",1314,1334,1354,1378,1374,1362,1392,1528,1626,1648,1619,1614,1564,1638,1606,1725,1818,1878
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",886,937,1019,1058,1030,1077,1149,1299,1451,1571,1655,1638,1574,1648,1710,1798,1857,1901
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",575,617,647,671,651,649,687,759,817,898,952,945,918,952,1008,1033,1077,1084
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",7825,7996,8613,9206,9546,9580,10245,11185,12011,12779,13568,14483,13711,14676,16013,16505,16807,17156
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",2851,2928,3089,3191,3289,3279,3382,3658,3811,3962,4231,4454,4428,4471,4658,4739,4800,5004
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",1308,1344,1387,1429,1424,1398,1436,1496,1544,1552,1579,1576,1568,1628,1700,1737,1777,1822
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",1129,1023,1159,1436,1437,1367,1678,2055,2498,2850,3154,3612,2682,3217,3959,4012,4039,3895
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",2537,2700,2978,3149,3397,3535,3749,3978,4157,4415,4605,4841,5032,5360,5697,6018,6191,6434
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",20196,21448,22552,24312,25792,26866,28622,30185,32119,33606,35069,36417,36641,37662,39325,40490,42031,43907
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",19551,20599,21674,23321,24709,25662,27327,28865,30832,32241,33733,35001,35256,36227,37969,39247,40625,42409
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",5159,5395,5644,6043,6546,6670,6922,7235,7855,8253,8541,8821,9008,9058,9399,9680,10049,10579
"31000","Nebraska","4","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",4352,4660,4914,5406,5999,6523,7104,7639,8288,8743,9124,9636,9949,10344,10860,11297,11497,11677
