"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",331265,352074,374571,402794,423361,439817,462625,492493,521726,548672,568761,585856,576584,596073,617227,631834,648864,675424
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",113260,118040,127803,137316,141732,145845,152452,163396,172382,176993,181587,183762,174784,183912,194256,199195,204057,209861
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",38242,41402,45395,49186,51025,53619,55927,59560,62061,61577,62112,59215,55804,59353,61604,64076,66384,68460
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",14185,15473,16858,17633,18798,19912,20852,21063,20774,19392,19343,16776,16370,17435,18165,19000,19991,21109
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",8013,8710,9671,10832,11494,12247,12718,14104,14776,14911,14740,14225,12734,13111,13553,14083,14608,14930
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",10318,11081,12185,13601,13787,14253,14592,15800,17324,17761,17960,18035,16887,17990,18540,19240,19758,20256
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",5725,6138,6682,7120,6946,7207,7765,8593,9187,9513,10069,10179,9813,10818,11346,11752,12027,12165
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",75018,76638,82408,88130,90707,92225,96525,103836,110321,115416,119475,124546,118980,124559,132652,135119,137673,141401
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",27117,27873,29730,30924,32499,33519,33895,36129,37481,39069,40970,42679,42625,43577,45956,46956,47782,49115
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",15036,15402,16038,16635,16474,16230,16652,17488,18088,17891,17694,17541,16700,17210,17388,18057,18371,18527
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",8750,7685,8170,10281,10187,9582,11672,13651,16391,18135,19210,21954,16497,18694,22061,21293,21224,20937
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",24114,25678,28470,30291,31547,32895,34306,36567,38362,40321,41601,42373,43157,45079,47247,48814,50295,52822
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",218005,234034,246768,265478,281630,293972,310173,329096,349344,371679,387174,402095,401800,412161,422971,432639,444808,465563
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",209982,224052,235874,253555,268064,278973,294378,312800,331879,351674,367557,379270,379004,389806,400637,409992,421452,440636
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",63782,67118,70839,75003,80643,83046,86929,91197,98260,104064,107457,112009,112795,113151,114366,115470,117722,121846
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",49022,52124,53195,56655,61275,66304,70452,75763,80112,85693,91403,95513,99118,103596,107171,110564,113122,117685
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",11484,12156,13408,14328,14742,14436,15168,15862,16487,17047,17384,17374,16659,16970,17875,18291,19192,20328
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",11676,12701,13739,14663,15313,15846,17055,18402,19486,20746,22327,22671,22018,22535,23304,24273,25207,26367
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",19027,20082,21279,23049,23692,24693,26136,27856,29084,30537,31784,32581,32098,33092,34523,36181,37484,39431
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",24501,26443,28914,32361,31841,32500,33820,36344,38896,40961,43094,43079,40797,43297,44657,44345,46248,48693
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",30491,33428,34501,37496,40558,42148,44819,47375,49554,52627,54107,56042,55518,57164,58741,60868,62479,66286
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",8023,9982,10894,11923,13566,14999,15795,16296,17464,20005,19616,22825,22796,22355,22334,22647,23355,24927
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",32791,35752,37665,39886,43635,47740,50698,54029,57893,62686,64289,67903,70649,71905,73795,76791,79076,82367
"91000","New England","1","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",24768,25770,26771,27963,30069,32741,34902,37733,40429,42681,44673,45078,47853,49550,51460,54143,55721,57440
"91000","New England","1","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",24282,25636,27069,28875,30152,31143,32620,34666,36698,38515,39831,40854,40031,41205,42487,43339,44322,46008
"91000","New England","1","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",8302,8595,9236,9844,10094,10327,10749,11501,12125,12424,12717,12815,12135,12713,13372,13663,13939,14295
