"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",28414,30355,32582,35228,37082,38812,41551,44674,47589,50004,51838,53376,52611,53928,56326,57679,59373,61874
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",10437,10918,11946,12838,13401,13884,14861,15831,16611,17099,17395,17709,16753,17287,18617,19196,19792,20445
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",3330,3675,4050,4277,4497,4778,5137,5381,5560,5524,5532,5289,4914,5069,5276,5569,5865,6112
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1444,1597,1718,1756,1894,2003,2115,2043,2039,1929,1896,1661,1626,1715,1772,1886,2040,2178
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",665,729,802,875,919,1013,1148,1245,1256,1266,1202,1168,1069,1115,1146,1207,1252,1285
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",681,768,886,977,1033,1070,1122,1259,1378,1376,1433,1457,1280,1294,1320,1364,1426,1479
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",539,581,646,670,651,692,752,835,887,953,1001,1003,938,945,1038,1112,1147,1170
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",7107,7243,7895,8560,8904,9106,9724,10450,11051,11575,11862,12421,11839,12217,13341,13627,13927,14332
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",2689,2723,2918,3116,3269,3367,3494,3729,3804,3936,4058,4246,4329,4320,4562,4677,4756,4823
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",1493,1541,1656,1674,1678,1685,1715,1789,1818,1830,1750,1709,1616,1682,1666,1760,1828,1834
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",887,800,864,1118,1160,1116,1413,1598,1932,2162,2333,2655,1948,2204,2627,2531,2572,2574
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",2038,2179,2457,2653,2797,2939,3102,3334,3496,3646,3722,3810,3946,4011,4487,4658,4771,5101
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",17977,19436,20636,22390,23681,24928,26690,28843,30978,32905,34444,35667,35858,36641,37709,38483,39581,41429
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",17195,18472,19604,21227,22366,23504,25135,27148,29135,30828,32322,33288,33487,34269,35267,35832,36832,38515
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",5560,5896,6256,6630,7093,7368,7727,8203,8897,9483,9845,10296,10383,10421,10555,10611,10764,11141
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",3635,3836,4068,4300,4668,5181,5715,6308,6941,7327,7974,8306,8652,8876,9138,9190,9381,9786
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",978,1062,1174,1274,1311,1289,1372,1441,1493,1562,1569,1598,1516,1523,1597,1608,1687,1788
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",1022,1076,1148,1247,1320,1386,1530,1715,1796,1929,2065,2041,2060,2100,2179,2251,2356,2421
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1586,1694,1739,1910,2021,2123,2261,2435,2539,2660,2726,2743,2742,2799,2895,3005,3110,3270
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",2038,2255,2452,2796,2743,2805,2913,3182,3405,3575,3740,3715,3499,3713,3871,3876,4076,4307
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",2377,2654,2767,3069,3210,3352,3618,3863,4063,4291,4404,4590,4634,4837,5033,5292,5459,5803
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",782,964,1032,1163,1316,1424,1556,1695,1843,2078,2122,2379,2371,2372,2443,2651,2748,2915
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",2734,3072,3213,3458,3772,4092,4377,4789,5181,5594,5818,6211,6408,6568,6862,7241,7469,7775
"33000","New Hampshire","1","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1952,2107,2181,2295,2456,2668,2821,3094,3338,3516,3696,3832,4036,4196,4420,4590,4721,4861
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",23889,25171,26662,28412,29536,30583,32466,34628,36650,38218,39495,40563,39975,40963,42733,43653,44890,46633
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",8775,9054,9776,10354,10674,10940,11611,12271,12793,13068,13253,13458,12729,13131,14124,14528,14964,15409
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2800,3047,3315,3450,3582,3765,4014,4171,4282,4222,4215,4019,3733,3851,4002,4215,4435,4607
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1214,1324,1406,1416,1509,1578,1652,1584,1571,1475,1445,1262,1236,1303,1344,1428,1542,1642
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",559,605,656,705,732,798,897,965,967,968,916,887,813,847,869,913,946,968
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",573,637,725,788,823,843,877,976,1061,1052,1092,1107,972,983,1002,1032,1078,1115
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",453,482,528,540,518,545,588,647,683,728,763,762,713,718,788,842,868,882
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",5975,6006,6461,6904,7092,7176,7598,8100,8511,8846,9038,9439,8996,9280,10121,10313,10530,10802
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",2261,2258,2388,2513,2604,2653,2730,2890,2930,3009,3091,3227,3290,3281,3461,3540,3596,3635
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",1255,1277,1355,1350,1336,1328,1340,1387,1400,1399,1333,1299,1228,1278,1264,1332,1382,1383
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",746,664,707,901,924,879,1104,1239,1488,1653,1777,2018,1480,1674,1993,1916,1944,1940
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1714,1807,2011,2140,2228,2315,2423,2585,2692,2787,2836,2895,2998,3047,3404,3525,3607,3844
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",15114,16117,16887,18058,18862,19642,20854,22357,23857,25150,26242,27105,27246,27832,28609,29125,29926,31225
"33000","New Hampshire","1","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",14457,15318,16042,17120,17814,18520,19639,21043,22437,23562,24625,25297,25444,26030,26756,27119,27848,29028
