"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",199413,211503,224566,242535,256641,272807,289047,304133,320833,339317,351456,357893,352309,361371,372917,382966,392593,406652
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",67622,70498,76451,82436,87016,92402,97490,101188,105155,109761,111993,110908,104843,109545,114801,117956,120602,123869
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",23588,25707,28371,30555,32151,35192,37447,38540,39615,41052,40796,38283,35666,37486,38957,40350,41843,42836
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",8389,9009,9790,10408,11183,12113,12359,12564,12157,11569,11796,10221,9721,10787,11605,12392,13140,13579
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",5441,5956,6747,7427,7761,8152,9335,9196,9835,10857,10008,9575,8653,8861,9019,9189,9355,9520
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",5719,6379,6970,7418,7834,8940,9383,10006,10565,11270,11369,11034,10233,10506,10582,10789,11146,11413
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",4039,4363,4864,5302,5374,5987,6370,6774,7057,7357,7624,7452,7058,7333,7752,7980,8202,8324
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",44034,44791,48081,51881,54865,57210,60044,62648,65540,68708,71197,72625,69178,72059,75844,77606,78760,81033
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",15543,15552,16320,17094,19139,19930,20883,21970,22828,23575,24616,25486,24979,25655,26195,26600,27114,27772
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",10318,10428,11042,11554,11182,11357,11598,11739,12096,12369,12653,12273,11692,12084,12495,13160,13237,13485
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",3938,3379,3563,4316,4244,3909,4789,5714,7102,8215,9084,10020,7415,8502,10623,10867,10714,10308
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",14235,15432,17156,18917,20300,22014,22773,23226,23514,24548,24844,24846,25092,25818,26531,26978,27695,29468
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",131791,141005,148115,160100,169626,180405,191557,202945,215678,229557,239463,246985,247466,251826,258116,265010,271991,282783
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",125586,133876,140529,151440,160038,169689,179550,190184,201603,213980,223398,230159,229865,234503,241162,246600,252967,262548
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",40745,42750,45331,47558,50907,53152,55802,59170,62937,67296,70742,73927,74848,75425,76890,77574,78962,81586
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",25722,27444,27685,29758,31919,35079,37287,39685,42366,44260,46020,47918,49490,50835,52613,54727,55848,57730
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",10012,10838,11339,12215,12526,12521,12804,13119,13564,14149,14053,13551,12979,12711,13418,13757,14386,14957
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",7384,7767,8387,8986,9721,10601,11265,11900,12516,13455,14402,15039,14602,14665,15209,15778,16276,16497
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",10314,10675,11057,11721,12090,12765,13654,14450,15205,16217,16607,16856,16347,16667,17009,17686,18262,19031
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",16180,17380,18750,21176,20503,21160,21984,23482,25040,26265,27504,27413,25736,27140,27945,27369,28720,30440
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",15229,17022,17981,20026,22370,24411,26754,28378,29975,32338,34070,35455,35863,37061,38078,39709,40513,42307
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",6205,7129,7586,8660,9588,10716,12007,12761,14075,15577,16065,16826,17601,17323,16954,18410,19024,20235
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",23516,25385,26535,28691,31002,34100,36909,39959,43053,46002,47467,49078,51510,52652,53437,55842,57363,59803
"34000","New Jersey","2","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",17311,18256,18949,20032,21414,23385,24902,27198,28978,30425,31402,32252,33909,35328,36483,37432,38339,39568
"34000","New Jersey","2","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",24263,25521,26863,28768,30219,31897,33605,35223,37082,39175,40500,41085,40238,41048,42173,43146,44055,45496
"34000","New Jersey","2","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",8228,8507,9145,9778,10246,10804,11334,11719,12154,12672,12906,12732,11974,12443,12983,13289,13533,13858
"34000","New Jersey","2","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2870,3102,3394,3624,3786,4115,4354,4463,4579,4740,4701,4395,4073,4258,4406,4546,4695,4793
"34000","New Jersey","2","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1021,1087,1171,1235,1317,1416,1437,1455,1405,1336,1359,1173,1110,1225,1312,1396,1475,1519
"34000","New Jersey","2","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",662,719,807,881,914,953,1085,1065,1137,1253,1153,1099,988,1006,1020,1035,1050,1065
