"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",31620,33507,35546,37752,39484,41387,43869,47470,50959,54365,57436,60150,59475,61719,64603,66724,68393,70790
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",12098,12647,13721,14528,14941,15536,16484,17914,19096,20492,21711,22438,21126,22054,23488,24286,24919,25456
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",4323,4590,4974,5134,5330,5615,5798,6338,6601,6792,7147,6801,6181,6222,6449,6845,7094,7250
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1826,1974,2127,2180,2345,2504,2481,2605,2690,2639,2739,2341,2072,2187,2330,2549,2693,2812
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",1011,1067,1139,1193,1192,1238,1309,1430,1498,1580,1653,1588,1396,1398,1446,1530,1561,1581
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",923,964,1079,1109,1141,1193,1267,1470,1572,1647,1739,1836,1696,1642,1623,1684,1731,1746
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",562,585,629,652,651,681,741,833,841,926,1016,1037,1016,996,1050,1082,1109,1111
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",7775,8056,8747,9394,9612,9921,10685,11576,12495,13700,14564,15636,14945,15832,17039,17441,17826,18205
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",2858,2963,3133,3214,3274,3290,3494,3717,4002,4344,4664,4941,4958,5028,5324,5373,5425,5508
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",1164,1185,1260,1253,1292,1350,1428,1500,1468,1527,1578,1575,1564,1600,1617,1679,1701,1703
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",1115,1024,1147,1469,1395,1385,1619,1940,2391,2731,2938,3465,2533,2881,3491,3494,3485,3413
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",2639,2884,3207,3459,3650,3896,4144,4418,4634,5097,5385,5656,5891,6323,6607,6895,7214,7581
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",19522,20860,21825,23225,24543,25851,27385,29555,31864,33874,35724,37712,38349,39665,41115,42439,43473,45334
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",18912,20052,20915,22231,23468,24737,26172,28340,30509,32341,34239,36186,36824,38095,39611,40831,41847,43656
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",5339,5600,5861,6237,6678,6894,7233,7740,8366,8899,9241,9720,9865,10042,10372,10654,11050,11421
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",4392,4594,4728,4898,5307,5943,6327,7243,7885,8198,8759,9514,10250,10700,11222,11702,11829,12231
"35000","New Mexico","6","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",1099,1177,1239,1341,1412,1426,1462,1491,1583,1623,1712,1738,1566,1601,1648,1693,1759,1786
