"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",35663,38492,42908,47004,50475,53634,58070,64703,71734,78365,83224,85066,81700,83705,87484,90780,93985,97860
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",13949,14916,16907,18448,19790,20711,22666,25621,28504,31012,32149,31896,29186,30109,32157,33636,34934,36324
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",5069,5621,6423,7009,7638,8175,8794,10013,11187,11686,11659,10555,9168,9346,9919,10658,11411,11894
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1913,2142,2442,2612,2902,3140,3202,3617,3894,3877,3843,3014,2449,2528,2729,3139,3449,3656
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",1242,1346,1545,1741,1861,2051,2235,2572,2942,3073,2930,2683,2326,2344,2403,2487,2610,2735
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",1347,1479,1652,1830,2029,2083,2314,2613,2972,3156,3152,3076,2705,2708,2758,2862,3041,3145
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",567,655,784,825,845,901,1043,1211,1379,1580,1735,1783,1688,1767,2029,2171,2311,2359
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",8881,9295,10484,11439,12152,12536,13872,15607,17317,19326,20490,21341,20018,20763,22239,22978,23523,24430
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",3619,3719,4044,4322,4607,4708,5089,5631,5982,6590,7045,7335,7125,7127,7440,7555,7658,7891
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",1161,1296,1493,1522,1587,1631,1806,2038,2280,2471,2582,2665,2535,2736,2984,3138,3252,3330
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",1001,917,1080,1329,1294,1237,1479,1845,2376,2816,2873,3218,2244,2607,3163,3242,3180,3066
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",3099,3362,3867,4267,4663,4960,5498,6093,6679,7450,7990,8122,8114,8293,8651,9043,9433,10143
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",21714,23576,26001,28556,30686,32923,35404,39082,43229,47353,51074,53170,52514,53596,55327,57144,59051,61536
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",21143,23058,25329,27871,29951,32071,34551,38232,42298,45843,49313,50956,50356,51638,53405,55055,56818,59171
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",6917,7498,8054,8745,9740,10363,10896,11865,13159,14637,16002,17029,17743,18166,18349,18846,19264,19623
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",3994,4383,4800,5276,5927,6772,7356,8250,8893,9540,10495,11123,11533,11773,12397,12938,13413,14010
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",1292,1382,1553,1716,1712,1692,1845,2059,2180,2324,2382,2345,2078,2047,2191,2283,2403,2487
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",1300,1397,1593,1825,1863,1932,2165,2351,2664,2842,3053,3063,2915,3086,3444,3665,3827,4027
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",2107,2201,2470,2606,2713,2784,3023,3373,3823,4166,4390,4370,3996,4098,4323,4411,4549,4788
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",2976,3287,3706,4189,4163,4298,4692,5311,6127,6456,6934,6764,5988,6220,6307,6287,6633,7078
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",2557,2910,3152,3513,3832,4231,4574,5023,5452,5877,6056,6262,6104,6248,6394,6624,6729,7158
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",571,519,672,685,734,852,853,850,931,1510,1762,2214,2157,1958,1922,2089,2233,2365
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",2823,3023,3320,3420,3650,4013,4387,4722,5383,6178,6802,7478,7401,7298,7462,7964,8378,8695
"32000","Nevada","8","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",2252,2505,2648,2735,2916,3162,3533,3872,4452,4667,5040,5264,5244,5340,5540,5875,6145,6329
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",20216,20771,22178,23284,24054,24673,25822,27577,29494,31064,31996,32057,30432,30962,32180,32948,33668,34469
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7907,8049,8739,9138,9431,9528,10079,10920,11720,12293,12360,12020,10871,11137,11829,12208,12514,12794
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2873,3033,3320,3472,3640,3761,3910,4268,4600,4632,4482,3978,3415,3457,3649,3868,4088,4189
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1084,1156,1262,1294,1383,1444,1424,1542,1601,1537,1477,1136,912,935,1004,1139,1236,1288
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",704,726,799,863,887,944,994,1096,1210,1218,1126,1011,866,867,884,903,935,963
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",763,798,854,907,967,958,1029,1114,1222,1251,1212,1159,1007,1002,1014,1039,1089,1108
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",321,353,405,409,403,415,464,516,567,626,667,672,629,653,746,788,828,831
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",5034,5016,5419,5667,5791,5767,6168,6652,7120,7661,7878,8042,7457,7680,8180,8340,8427,8605
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",2052,2007,2090,2141,2196,2166,2263,2400,2460,2612,2708,2764,2654,2636,2737,2742,2743,2780
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",658,700,771,754,756,750,803,869,937,979,993,1004,944,1012,1097,1139,1165,1173
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",567,495,558,658,617,569,658,786,977,1116,1105,1213,836,964,1164,1177,1139,1080
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1757,1814,1999,2114,2222,2282,2445,2597,2746,2953,3072,3061,3022,3068,3182,3282,3379,3573
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",12309,12722,13439,14145,14623,15145,15743,16657,17774,18771,19636,20037,19561,19825,20351,20740,21154,21675
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",11985,12442,13092,13806,14273,14753,15364,16295,17391,18172,18959,19202,18757,19100,19644,19982,20354,20841
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",3921,4046,4163,4332,4642,4767,4845,5057,5410,5802,6152,6417,6609,6719,6749,6840,6901,6912
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2264,2365,2481,2614,2824,3115,3271,3516,3656,3782,4035,4192,4296,4355,4560,4696,4805,4935
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",732,746,803,850,816,778,820,877,896,921,916,884,774,757,806,829,861,876
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",737,754,823,904,888,889,963,1002,1095,1126,1174,1154,1086,1142,1267,1330,1371,1418
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1194,1188,1277,1291,1293,1280,1344,1437,1572,1651,1688,1647,1488,1516,1590,1601,1630,1686
"32000","Nevada","8","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1687,1774,1916,2075,1984,1977,2086,2264,2519,2559,2666,2549,2230,2301,2320,2282,2376,2493
