"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",412421,435412,463769,496495,518273,535432,562955,595605,632211,664060,695777,717323,710033,739205,773000,794283,822169,863447
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",129956,135458,145743,155155,161225,165113,172321,181782,192504,200386,207539,210839,201259,213370,229207,237562,246284,256986
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",37040,40018,43992,47265,49639,52194,54604,57567,59417,60417,63178,60710,56822,59779,63232,65773,68331,70475
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",12351,13391,14591,15319,16350,17500,18347,18729,18543,17563,18064,15643,14917,15930,16937,17923,18601,19428
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",9278,10002,11231,12402,13066,13822,14159,15445,16138,16747,17687,17610,16092,16634,17644,18248,18891,19204
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",10067,10851,11795,12644,13381,13736,14410,15089,15875,16447,17059,17104,15926,16203,16258,16640,17131,17538
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",5343,5774,6374,6901,6841,7135,7689,8304,8861,9659,10368,10353,9887,11013,12393,12962,13708,14305
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",92917,95441,101752,107889,111586,112919,117717,124215,133088,139969,144361,150129,144437,153591,165975,171789,177953,186511
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",27673,27963,29638,30901,32385,33232,34432,36101,39088,40456,42085,44151,44190,46241,48993,50247,51634,53528
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",22293,23139,24600,25511,25174,25275,25667,26535,27590,29011,29129,28867,27426,29287,32141,33524,35094,36501
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",6926,5979,6544,8380,8112,7676,9217,10731,12707,14125,15263,17715,13144,15054,18063,17521,17479,17018
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",36025,38359,40969,43097,45915,46736,48400,50848,53703,56377,57884,59395,59676,63008,66778,70496,73746,79465
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",282465,299953,318025,341341,357048,370319,390634,413823,439707,463675,488238,506485,508774,525835,543793,556721,575885,606460
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",273460,288849,306096,327817,341705,353417,373028,395346,419610,441850,465983,480785,482524,500030,518997,532163,549352,578564
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",78626,82236,86536,91579,98060,101137,105555,109997,118307,124119,129873,135458,138038,140228,143433,144921,147722,153698
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",64632,68148,71219,74757,80115,85695,91413,97249,101580,105672,110753,114270,119039,125005,130250,134441,139045,145831
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",20142,21505,22791,24472,24788,24102,24931,26568,27803,29211,30618,31455,30494,31203,32800,34008,35525,37742
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",15004,15937,17581,18735,19323,19555,20697,22456,23594,25824,27512,27882,26576,26986,28148,29294,30972,32961
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",22951,24120,26134,28805,28518,29286,31158,33655,36031,38763,41459,43415,42338,44513,47645,50415,52652,56622
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",33665,35679,38751,42611,40469,41221,42811,45889,49418,51477,55396,55026,52579,56163,57953,57227,59767,62494
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",38440,41225,43084,46856,50432,52423,56462,59532,62877,66784,70372,73279,73460,75932,78767,81857,83669,89216
"36000","New York","2","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",9005,11104,11929,13524,15342,16902,17607,18477,20097,21824,22255,25700,26250,25804,24796,24559,26533,27896
