"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",223129,235720,249373,265807,275845,286136,299027,310952,325442,335986,349327,354712,348798,360200,374819,385974,396012,409653
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",81924,85787,91187,96470,97626,100526,104828,107542,110444,112597,117099,116211,110658,116975,125869,131233,133889,136207
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",29964,32022,34316,35524,35984,37542,38269,39345,39584,39276,39798,36583,34225,35678,37931,40180,41125,42309
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",13183,13848,14917,14901,15250,15606,15491,15316,14864,13711,13906,12160,11546,12547,13477,14276,14942,15910
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",6806,7259,7681,8243,8232,8595,8758,9181,9252,9188,9112,8540,7806,7919,8484,8923,8966,9067
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",6192,6769,7243,7758,7901,8438,8819,9579,10140,10682,10952,10219,9385,9322,9624,10351,10503,10571
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",3784,4147,4474,4623,4601,4903,5202,5269,5328,5696,5828,5665,5489,5890,6346,6629,6715,6762
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",51960,53765,56871,60946,61642,62984,66559,68197,70860,73321,77301,79628,76433,81297,87938,91054,92764,93898
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",19478,19753,20000,20923,21844,22506,23473,23748,24257,24613,25722,27221,27058,27841,29669,30582,31478,31790
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",9346,9976,10316,10255,10094,9963,10187,10007,10094,10424,10149,9857,9479,9874,10169,10877,11123,11175
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",5787,5209,6073,7589,6829,6521,7615,8650,10093,11061,12944,13412,9953,12179,15439,16008,15903,15413
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",17348,18827,20481,22179,22876,23994,25284,25792,26417,27223,28486,29138,29942,31403,32661,33587,34260,35519
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",141206,149933,158186,169337,178219,185611,194199,203410,214999,223388,232228,238501,238140,243226,248951,254741,262123,273446
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",134690,142090,149766,159874,167440,174000,181917,191527,202349,209707,218015,223119,223012,228070,234354,240174,247044,257493
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",35615,37087,39106,41679,44327,45530,47323,49369,53101,55309,56966,59125,59252,59109,59909,60357,61352,63840
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",32670,34058,35701,37903,41470,45366,48076,51665,55168,57316,59773,62185,65446,67952,70390,74143,76080,78795
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",9419,10006,10627,11596,11522,11212,11272,11508,11701,11673,11892,11596,10753,10773,11258,11455,11833,12583
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",9792,10292,11042,11609,11842,12061,12569,13279,13839,14231,15117,15029,14469,14630,14813,15338,15678,16408
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",13784,14372,14943,15637,16016,16616,17297,18099,18645,19145,19977,20252,19926,20432,21432,22739,23491,24513
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",17075,18362,19755,21464,20670,20803,21602,22883,24371,25231,26399,26211,24449,25778,27053,26551,28358,29787
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",16336,17914,18593,19984,21593,22413,23778,24723,25523,26802,27891,28722,28717,29396,29498,29592,30253,31567
"39000","Ohio","3","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",6516,7843,8420,9463,10779,11610,12282,11883,12650,13682,14213,15382,15128,15155,14597,14566,15078,15954
