"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",56412,59607,63008,67300,70553,72316,76075,80405,86393,92363,97054,101715,100583,105385,112032,116950,120691,125131
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",22514,23401,24977,26506,27213,27361,28528,30064,32237,34510,36347,37705,36011,38023,40949,42759,44305,45206
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",8447,9173,9941,10217,10485,10680,11117,11735,12386,12870,13820,13255,12665,13135,13732,14577,15136,15444
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",4103,4445,4849,4887,5120,5245,5315,5353,5363,5267,5662,5061,4911,5264,5538,6147,6507,6651
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",1645,1802,1951,2033,2069,2108,2240,2424,2666,2864,3023,3033,2886,2900,2997,3069,3110,3200
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",1793,1976,2113,2184,2203,2219,2378,2666,2961,3161,3398,3422,3167,3212,3281,3362,3445,3502
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",907,951,1028,1113,1093,1108,1184,1293,1396,1578,1737,1739,1701,1759,1915,1999,2074,2090
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",14067,14227,15037,16289,16729,16682,17411,18329,19851,21640,22527,24451,23346,24888,27218,28182,29170,29762
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",5007,5078,5238,5382,5490,5383,5567,5790,6155,6465,6844,7276,7426,7620,8037,8138,8537,8875
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",2500,2521,2638,2796,2818,2828,2898,2968,3146,3303,3367,3403,3360,3487,3676,3844,3946,3965
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",2093,1862,1935,2546,2603,2367,2603,3010,3714,4611,4821,5824,4287,5069,6354,6724,6919,6798
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",4466,4766,5225,5564,5817,6104,6343,6562,6836,7261,7495,7948,8274,8712,9151,9476,9768,10125
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",33898,36207,38031,40794,43339,44954,47547,50341,54156,57853,60708,64010,64571,67362,71083,74191,76385,79925
"40000","Oklahoma","6","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",33224,35278,36925,39642,41874,43256,45977,48878,52867,56381,59320,62726,63239,66019,69742,72618,74743,78410
