"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",68853,72897,77979,83356,86196,90022,94207,101112,107822,115275,121146,123617,120562,124039,129897,133872,138574,145973
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",25742,26888,29040,30623,31054,32023,33221,36067,38601,41538,43280,42783,39837,41342,43878,45420,47197,49161
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",9724,10475,11512,11679,11678,12228,12474,13441,14304,15042,15521,14036,12624,12940,13405,14185,15041,15771
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",4022,4356,4693,4619,4664,4824,4609,4751,4891,4826,4867,3923,3484,3631,3748,4046,4294,4541
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",2241,2390,2671,2731,2706,2803,2947,3273,3596,3891,3976,3720,3262,3388,3451,3635,3855,4082
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",2545,2749,3068,3239,3237,3474,3752,4146,4420,4743,4977,4724,4259,4450,4561,4770,5081,5292
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",916,980,1080,1091,1071,1125,1166,1271,1396,1581,1701,1670,1619,1472,1644,1733,1811,1856
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",16018,16413,17527,18945,19376,19795,20748,22626,24297,26496,27759,28747,27213,28402,30473,31235,32157,33390
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",6445,6667,6940,7319,7683,7988,8421,9146,9641,10421,11099,11484,11245,11486,12082,12285,12651,13132
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",2940,3001,3074,3152,3146,3162,3139,3357,3583,3806,3761,3616,3475,3659,3898,4091,4221,4318
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",2018,1804,1985,2540,2257,2021,2282,2765,3315,3797,4128,4641,3295,3741,4425,4396,4393,4231
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",4615,4940,5529,5935,6290,6625,6906,7358,7758,8473,8771,9007,9198,9516,10068,10464,10893,11708
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",43110,46009,48940,52733,55141,57999,60986,65045,69221,73737,77866,80834,80725,82697,86019,88452,91377,96812
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",41827,44449,47281,50701,53006,55636,58536,62531,66825,71004,75039,77371,77310,79270,82531,84895,88025,92917
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",13335,14237,15101,16099,17243,18220,18921,19957,21257,22259,23201,24040,24715,25106,25680,25951,26853,28040
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",8111,8592,9166,9857,10883,12204,12884,13996,15208,16344,17646,18506,19249,19941,21135,21909,22657,23797
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",2761,2904,3164,3323,3351,3261,3386,3513,3720,4009,4279,4258,3837,3767,3872,3990,4175,4454
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",3202,3304,3484,3641,3698,3750,3949,4244,4535,4830,5184,5326,5169,5307,5628,6048,6230,6640
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",4481,4670,4995,5305,5362,5565,5912,6299,6807,7269,7668,7814,7497,7635,7974,8417,8812,9413
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",4950,5375,5809,6478,6283,6312,6571,7057,7529,7988,8515,8515,7987,8374,8678,8604,9155,9765
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",4986,5368,5562,5998,6186,6325,6913,7465,7770,8304,8546,8912,8855,9139,9565,9976,10144,10808
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1284,1560,1659,2032,2135,2362,2449,2515,2396,2733,2827,3463,3415,3427,3488,3558,3352,3895
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",6028,6489,6796,7574,7949,8621,8978,9601,9845,10593,11229,12211,12514,12907,13336,13458,13373,14400
"41000","Oregon","8","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",4744,4930,5138,5543,5814,6259,6529,7086,7449,7861,8403,8747,9100,9480,9849,9901,10022,10504
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",20837,21744,22976,24304,24855,25622,26557,28327,29841,31403,32545,32801,31655,32326,33586,34338,35278,36767
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7791,8020,8556,8929,8955,9115,9365,10104,10683,11316,11627,11352,10460,10774,11345,11650,12015,12382
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2943,3125,3392,3405,3367,3480,3516,3765,3959,4098,4170,3724,3315,3372,3466,3638,3829,3972
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1217,1299,1383,1347,1345,1373,1299,1331,1354,1315,1308,1041,915,946,969,1038,1093,1144
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",678,713,787,796,780,798,831,917,995,1060,1068,987,857,883,892,932,981,1028
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",770,820,904,944,933,989,1058,1161,1223,1292,1337,1253,1118,1160,1179,1223,1294,1333
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",277,292,318,318,309,320,329,356,386,431,457,443,425,384,425,445,461,467
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4848,4896,5164,5524,5587,5634,5849,6339,6725,7218,7457,7628,7145,7402,7879,8012,8186,8410
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1950,1989,2045,2134,2215,2273,2374,2562,2668,2839,2982,3047,2953,2993,3124,3151,3221,3308
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",890,895,906,919,907,900,885,941,992,1037,1010,960,912,953,1008,1049,1075,1088
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",611,538,585,740,651,575,643,775,918,1034,1109,1231,865,975,1144,1128,1118,1066
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1397,1474,1629,1730,1814,1885,1947,2061,2147,2308,2356,2390,2415,2480,2603,2684,2773,2949
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",13047,13724,14420,15375,15900,16508,17192,18223,19158,20087,20918,21449,21195,21552,22241,22688,23263,24385
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",12658,13259,13931,14783,15285,15835,16501,17518,18495,19343,20159,20530,20299,20659,21339,21775,22409,23403
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",4036,4247,4449,4694,4972,5186,5334,5591,5883,6064,6233,6379,6489,6543,6640,6656,6836,7063
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2455,2563,2701,2874,3138,3474,3632,3921,4209,4452,4741,4910,5054,5197,5465,5620,5768,5994
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",836,866,932,969,966,928,954,984,1029,1092,1150,1130,1008,982,1001,1023,1063,1122
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",969,986,1027,1062,1066,1067,1113,1189,1255,1316,1393,1413,1357,1383,1455,1551,1586,1673
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1356,1393,1472,1547,1546,1584,1667,1765,1884,1980,2060,2073,1969,1990,2062,2159,2243,2371
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1498,1603,1712,1889,1812,1797,1852,1977,2084,2176,2287,2259,2097,2182,2244,2207,2331,2460
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","21","...","  Other services",1509,1601,1639,1749,1784,1800,1949,2091,2151,2262,2296,2365,2325,2382,2473,2559,2582,2722
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",388,465,489,592,616,672,690,705,663,744,759,919,897,893,902,913,853,981
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1824,1936,2003,2208,2292,2454,2531,2690,2725,2886,3017,3240,3286,3364,3448,3452,3405,3627
"41000","Oregon","8","2","Per capita personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1436,1470,1514,1616,1676,1781,1841,1985,2062,2141,2257,2321,2389,2471,2546,2540,2551,2646
"Note: See the included footnote file."
All personal consumption expenditures (PCE) estimates are in millions of current dollars (not adjusted for inflation). Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates available as of December 2014.
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Product Division"
