"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",248278,261665,277253,296305,309684,320981,339358,357580,376511,394583,412343,426513,422480,437128,455954,468272,479054,493704
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",87166,90625,97820,104134,106614,109615,116151,121518,126203,130246,134370,137361,132323,138739,147112,150085,151847,154056
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",30792,33082,35826,37599,39019,40803,42478,44669,45108,44933,45977,43981,42231,44318,46436,48139,49476,50703
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",12819,13836,14888,15129,15930,16775,17107,17584,16826,15687,15961,13824,13596,14837,15648,16555,17207,18096
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",6746,7109,7675,8341,8690,9103,9385,10089,10576,10682,10813,10720,9932,10231,10622,10958,11038,11147
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",7158,7745,8537,9147,9542,9911,10568,11272,11701,12220,12455,12677,12124,12531,12846,13217,13534,13549
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",4068,4391,4726,4981,4857,5014,5418,5724,6005,6343,6748,6761,6578,6719,7320,7409,7698,7911
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",56374,57543,61994,66535,67595,68812,73673,76849,81095,85313,88392,93381,90092,94421,100676,101946,102372,103353
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",20912,21250,22415,23577,24162,24572,26414,26835,28093,29413,30953,32862,32543,33160,34277,34811,35146,35538
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",10984,11392,12038,12396,11958,11827,12337,12384,12601,12636,12651,12579,12375,12845,13450,13564,13742,13863
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",6337,5579,6118,7675,7516,7044,8333,10249,12270,13642,14653,16895,12866,15082,18285,18047,17470,16903
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",18142,19321,21423,22886,23959,25369,26590,27381,28131,29622,30135,31044,32309,33334,34665,35524,36014,37049
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",161112,171040,179433,192172,203070,211366,223207,236062,250308,264337,277973,289152,290157,298388,308842,318187,327207,339648
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",153453,161844,169321,181096,190513,198092,209278,221697,235630,247909,260642,270349,272199,280244,290818,299335,308040,319460
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",39714,41474,43219,45978,49315,50715,52820,55344,59381,62501,65265,68505,69716,70499,72682,74295,76582,79386
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",38882,40335,41763,44042,47818,51224,54765,58785,63032,66081,69671,72731,75675,78229,81861,85773,87265,90419
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",9746,10322,11068,11961,12338,12092,12444,13027,13417,13797,14036,14154,13319,13609,14267,14607,15052,15631
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",10581,11328,11888,12519,12827,13390,14604,15686,16419,17437,18539,19281,19352,19664,20354,21257,22095,22661
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",13641,14212,14490,15682,16215,16930,17768,18790,19805,20693,22002,22583,22382,23259,24494,25770,26594,27511
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",19308,20680,22403,24791,24003,24403,25417,27259,29148,30557,32358,32517,30721,32623,33770,33285,35222,36856
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",21581,23493,24490,26123,27996,29339,31460,32806,34428,36843,38771,40578,41033,42361,43391,44347,45229,46995
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",7660,9196,10111,11076,12557,13275,13929,14365,14678,16428,17331,18803,17959,18144,18023,18852,19167,20189
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",27713,30038,31762,33623,36742,39308,40991,43392,45469,48586,51367,53805,54571,56343,57562,58949,60077,62249
"42000","Pennsylvania","2","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",20054,20842,21651,22547,24185,26033,27062,29027,30791,32158,34036,35002,36613,38199,39538,40097,40910,42060
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",20304,21368,22607,24121,25180,26030,27424,28812,30242,31539,32820,33817,33353,34389,35778,36670,37481,38609
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7129,7401,7976,8477,8669,8889,9386,9791,10137,10411,10695,10891,10446,10915,11544,11753,11880,12048
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2518,2702,2921,3061,3173,3309,3433,3599,3623,3592,3659,3487,3334,3487,3644,3770,3871,3965
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1048,1130,1214,1232,1295,1360,1382,1417,1351,1254,1270,1096,1073,1167,1228,1296,1346,1415
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",552,581,626,679,707,738,758,813,849,854,861,850,784,805,834,858,864,872
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",585,632,696,745,776,804,854,908,940,977,991,1005,957,986,1008,1035,1059,1060
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",333,359,385,405,395,407,438,461,482,507,537,536,519,529,574,580,602,619
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4610,4699,5055,5416,5496,5580,5954,6192,6514,6819,7035,7404,7112,7428,7900,7983,8009,8083
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1710,1735,1828,1919,1965,1993,2135,2162,2256,2351,2464,2606,2569,2609,2690,2726,2750,2779
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",898,930,982,1009,972,959,997,998,1012,1010,1007,997,977,1011,1055,1062,1075,1084
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",518,456,499,625,611,571,673,826,986,1090,1166,1340,1016,1187,1435,1413,1367,1322
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1484,1578,1747,1863,1948,2057,2149,2206,2260,2368,2399,2461,2551,2622,2720,2782,2818,2897
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",13176,13967,14631,15644,16511,17141,18037,19021,20105,21129,22125,22926,22907,23475,24234,24917,25600,26562
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",12549,13216,13807,14742,15490,16064,16912,17863,18926,19816,20745,21435,21489,22047,22820,23440,24101,24983
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",3248,3387,3524,3743,4010,4113,4268,4459,4770,4996,5195,5432,5504,5546,5703,5818,5992,6208
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",3180,3294,3405,3585,3888,4154,4426,4737,5063,5282,5545,5767,5974,6154,6423,6717,6828,7071
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",797,843,902,974,1003,981,1006,1050,1078,1103,1117,1122,1052,1071,1120,1144,1178,1222
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",865,925,969,1019,1043,1086,1180,1264,1319,1394,1476,1529,1528,1547,1597,1665,1729,1772
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1116,1161,1182,1277,1318,1373,1436,1514,1591,1654,1751,1791,1767,1830,1922,2018,2081,2151
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1579,1689,1827,2018,1952,1979,2054,2196,2341,2442,2575,2578,2425,2567,2650,2607,2756,2882
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","21","...","  Other services",1765,1919,1997,2127,2276,2379,2542,2643,2765,2945,3086,3217,3239,3333,3405,3473,3539,3675
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",626,751,824,902,1021,1077,1126,1157,1179,1313,1379,1491,1418,1427,1414,1476,1500,1579
"42000","Pennsylvania","2","2","Per capita personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",2266,2453,2590,2737,2987,3188,3312,3496,3652,3884,4088,4266,4308,4433,4517,4616,4700,4868
