"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",384992,406523,433907,463876,482871,500724,524712,554043,580735,607820,634613,657438,651039,673070,707418,732178,754871,781803
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",146279,152291,163745,173323,178204,182371,189812,200769,208893,216069,223838,230903,222018,232079,249491,259324,265156,270169
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",53451,57373,62084,64660,67128,69955,71835,75541,76240,76828,78957,76620,74397,76999,80674,85412,88095,90509
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",22695,24377,26175,26254,27920,28640,28164,28260,27403,26060,26730,23828,23656,25780,27193,29482,30583,32113
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",11011,11768,12798,13791,13985,14797,15538,16779,17198,17637,17751,17406,16274,16528,17223,18210,18756,19181
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",12981,13930,15231,16160,16734,17738,18760,20502,21188,21835,22511,23141,22218,22286,22929,23965,24600,24927
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",6764,7298,7880,8455,8489,8780,9373,9999,10450,11296,11965,12245,12248,12405,13328,13755,14156,14288
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",92828,94918,101661,108663,111076,112416,117976,125228,132653,139241,144881,154284,147622,155079,168817,173912,177061,179660
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",32583,33538,35275,36681,38110,38672,39899,42087,43980,45031,47254,49868,50714,51255,54225,55404,56312,57102
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",15113,15682,16240,16859,16761,16779,17219,17634,18067,18400,18473,18653,18381,18922,19700,20480,20921,21207
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",12704,11607,13061,16075,15554,14624,17216,20339,24644,28069,30365,34758,25497,30141,37290,38205,38460,37616
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",32428,34091,37085,39048,40652,42341,43642,45168,45962,47742,48789,51005,53030,54761,57602,59823,61367,63736
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",238713,254232,270162,290553,304667,318353,334901,353273,371842,391750,410775,426534,429021,440991,457927,472854,489715,511634
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",229699,243864,258129,276827,289456,302180,317752,336043,355301,373474,392663,407266,410524,421718,438680,453270,469258,489970
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",59448,62510,65741,70554,75738,78016,81629,86104,93115,98463,102380,107018,108881,110163,112826,115841,120669,126359
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",56176,59388,62378,66363,72188,78572,83037,88045,93300,97616,104056,109189,114782,119425,125245,131230,133901,137711
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",14429,15130,16342,17195,17202,16842,16850,17399,17934,18562,19143,19372,18235,18269,19135,19712,20556,21893
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",16275,17159,18229,19030,19152,20277,21525,22732,23341,25176,26664,27048,27118,27711,28900,30420,31616,33156
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",22157,23318,24490,25958,26650,27800,29313,31205,32898,34748,36253,37302,37143,37874,39535,41281,42381,44449
"94000","Plains","4","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",28724,31191,33825,37431,36317,36800,38844,41839,44611,46278,49574,50711,47089,49935,52745,52224,55695,58098
