"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"44000","Rhode Island","1","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",21155,22234,23410,25581,26658,28163,30166,32131,34041,35573,36808,37647,37049,37978,38973,39632,40584,41969
"44000","Rhode Island","1","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",6301,6451,7135,7997,8173,8717,9335,9874,10330,10535,10660,10566,10034,10347,10792,11020,11257,11501
"44000","Rhode Island","1","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",1882,2026,2290,2581,2691,2995,3199,3361,3442,3445,3362,3096,2933,3062,3180,3291,3405,3529
"44000","Rhode Island","1","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",749,835,931,1042,1108,1230,1299,1275,1250,1156,1132,949,934,992,1019,1045,1102,1185
"44000","Rhode Island","1","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",405,429,486,558,581,663,706,762,790,811,778,730,661,674,703,739,756,779
"44000","Rhode Island","1","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",438,449,517,573,619,680,731,807,859,911,868,839,786,795,808,831,855,864
"44000","Rhode Island","1","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",289,313,357,407,383,422,463,517,543,567,583,578,552,600,651,676,692,701
"44000","Rhode Island","1","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4420,4426,4845,5417,5482,5723,6136,6513,6887,7090,7299,7470,7101,7285,7612,7729,7852,7971
"44000","Rhode Island","1","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1708,1727,1845,2010,2032,2161,2249,2341,2437,2538,2642,2705,2666,2714,2812,2847,2884,2928
"44000","Rhode Island","1","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",761,774,861,953,913,935,969,1031,1053,1085,974,941,861,888,906,980,986,988
"44000","Rhode Island","1","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",534,465,503,624,625,606,795,885,1024,1029,1053,1198,886,969,1155,1123,1128,1109
