"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",177394,190510,206490,225041,236679,245314,257260,275416,296089,317540,337138,348365,340628,351302,369197,383955,399927,420864
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",66616,70805,78083,84129,86743,88635,92938,100427,108526,116759,124773,126630,118654,122392,129763,135636,140798,146533
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",24624,26801,29513,31853,32707,34042,34781,37568,40159,42242,44826,42003,38128,38607,39960,42590,45272,47268
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",9577,10409,11377,11998,12742,13385,13202,13701,13894,13932,14945,12832,11718,12145,12610,13722,14741,15709
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",5889,6375,6997,7662,7947,8213,8346,9222,10100,10863,11381,10895,9571,9614,9868,10361,10952,11451
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",6506,7193,8094,8883,8793,9081,9631,10756,11974,12713,13353,13094,11880,12138,12534,13359,14154,14587
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",2652,2825,3045,3310,3224,3363,3603,3889,4191,4733,5146,5183,4958,4710,4949,5149,5425,5522
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",41993,44004,48570,52275,54037,54593,58156,62859,68366,74518,79947,84626,80527,83785,89802,93046,95525,99265
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",15636,16582,17997,18577,19264,19333,20477,21867,23367,24802,26831,28404,28448,28696,29953,31033,31668,32886
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",7107,7423,7864,8111,8244,8260,8528,8866,9357,9921,10242,10222,9899,10142,10671,11174,11575,11833
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",5436,4933,5616,7238,7098,6576,7412,8771,10619,12370,13773,15888,11330,13098,15802,16277,15984,15503
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",13814,15067,17093,18350,19430,20425,21738,23356,25024,27425,29101,30113,30849,31849,33377,34562,36297,39042
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",110778,119705,128408,140913,149935,156679,164323,174989,187564,200780,212366,221735,221974,228911,239435,248319,259130,274331
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",108327,116782,124927,136874,145308,151610,159003,169742,182430,194813,206330,214966,215475,222284,232833,241365,251896,266074
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",34222,36394,38717,41547,45145,46746,48594,51612,55752,58733,60912,63592,65128,66097,69000,71097,74460,77805
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",20625,21989,23153,25394,28301,31377,33478,36357,38972,41444,44690,47539,49793,51491,53813,56223,57764,60437
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",7481,7947,8398,9081,9073,8819,9033,9365,9916,10511,11180,11334,10368,10445,10915,11298,11868,12693
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",6906,7624,8451,9364,9717,9944,10405,10949,11684,12946,13914,14310,14396,15087,15980,17035,17994,19147
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",12306,12850,13580,14864,15394,16032,16605,17703,18862,20295,21757,22744,21974,22485,23846,25209,26391,28134
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",12828,14304,15878,17957,17818,18070,18795,20280,22339,23749,25455,25875,23955,25368,26726,26681,28739,30559
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",13958,15674,16749,18668,19861,20621,22094,23476,24905,27132,28422,29573,29861,31309,32553,33822,34681,37299
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",2451,2923,3481,4039,4627,5069,5319,5248,5134,5968,6035,6769,6498,6627,6601,6954,7234,8257
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",14514,15735,17016,18441,20110,21889,22665,23755,25095,27281,28793,29919,31173,32574,33274,34317,35527,37657
"97000","Rocky Mountain","7","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",12063,12812,13536,14403,15483,16819,17345,18507,19961,21314,22758,23150,24675,25947,26672,27364,28294,29400
"97000","Rocky Mountain","7","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",20283,21362,22705,24279,25096,25641,26589,28082,29692,31162,32397,32835,31557,32087,33309,34207,35125,36467
"97000","Rocky Mountain","7","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7617,7939,8586,9076,9198,9264,9606,10240,10883,11458,11990,11935,10993,11179,11707,12084,12366,12697
"97000","Rocky Mountain","7","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2815,3005,3245,3437,3468,3558,3595,3831,4027,4145,4308,3959,3532,3526,3605,3794,3976,4096
"97000","Rocky Mountain","7","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1095,1167,1251,1294,1351,1399,1364,1397,1393,1367,1436,1209,1086,1109,1138,1222,1295,1361
"97000","Rocky Mountain","7","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",673,715,769,827,843,858,863,940,1013,1066,1094,1027,887,878,890,923,962,992
