"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",68757,73216,78554,83889,86942,90453,95572,102551,109853,117257,123977,128727,127531,135399,141309,145501,150894,155991
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",27336,28848,31732,33669,33953,34844,36900,40096,43210,46139,48415,49338,46718,49814,52854,54584,56089,57358
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",9276,10126,11245,11817,11720,12119,12641,13560,14358,14973,15563,14247,13002,13920,14412,15267,16074,16592
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",4147,4538,5001,5204,5220,5524,5532,5517,5587,5547,5754,4780,4394,4903,5144,5625,5992,6230
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",2199,2389,2662,2845,2747,2781,2940,3310,3575,3844,3868,3567,3141,3231,3308,3470,3662,3794
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",1898,2099,2362,2453,2483,2461,2661,3034,3450,3645,3817,3778,3432,3595,3611,3781,3939,4065
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1031,1101,1220,1314,1270,1353,1507,1698,1746,1936,2123,2122,2036,2191,2348,2390,2480,2502
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",18060,18722,20487,21852,22234,22725,24259,26537,28852,31166,32852,35091,33716,35894,38442,39317,40015,40767
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",6773,7079,7584,7877,8067,8047,8213,8890,9710,10086,10652,11560,11758,12191,12441,12626,12966,13314
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",3562,3687,3940,3906,3870,3998,4238,4494,4315,4569,4697,4682,4519,4619,4795,4935,5038,5146
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",2440,2203,2451,3172,2981,2909,3488,4167,5176,6035,6381,7254,5334,6388,7940,8147,8028,7656
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",5286,5752,6512,6897,7315,7772,8320,8985,9651,10476,11123,11595,12105,12696,13266,13610,13982,14650
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",41421,44367,46821,50220,52989,55609,58672,62455,66642,71118,75561,79389,80813,85585,88455,90917,94805,98633
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",40601,43308,45796,49027,51379,53745,56874,60806,65086,69205,73504,76974,78152,82675,85608,87802,91448,95318
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",10866,11546,12165,12985,13799,14330,15045,15957,17307,18340,19327,20277,21038,21714,22231,22853,23600,24648
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",9777,10309,10883,11703,12866,13971,14839,15907,16981,18060,19330,20622,21771,24086,24998,25430,26770,27397
"45000","South Carolina","5","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",1681,1837,2073,2205,2225,2208,2289,2449,2549,2577,2670,2686,2497,2537,2606,2673,2798,2984
