"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",13879,14608,15512,16437,17131,17870,19105,20584,22006,23261,24719,25808,25609,26943,28364,29283,30314,31481
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",5256,5352,5745,6111,6299,6490,6912,7486,8059,8578,9149,9495,9142,9816,10581,10984,11331,11681
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",1947,2029,2207,2304,2396,2491,2613,2793,2923,3068,3355,3288,3231,3485,3649,3883,4062,4252
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",927,969,1042,1085,1153,1202,1238,1266,1236,1214,1323,1185,1195,1361,1412,1510,1584,1710
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",391,400,445,470,489,510,533,561,617,657,691,693,664,697,734,793,834,849
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",402,421,463,478,486,500,529,627,704,781,868,900,867,897,940,996,1039,1073
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",228,239,255,270,268,279,313,340,366,417,474,510,505,529,563,583,605,620
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",3309,3322,3538,3807,3902,3999,4299,4692,5137,5510,5795,6208,5911,6331,6932,7101,7270,7429
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1194,1218,1253,1306,1383,1422,1484,1595,1688,1757,1832,1931,1985,2045,2187,2222,2273,2343
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",555,557,571,573,563,569,588,594,641,654,662,679,694,723,753,790,810,830
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",547,494,563,718,703,699,845,1017,1233,1409,1522,1723,1264,1486,1797,1843,1871,1855
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1013,1053,1151,1210,1254,1310,1382,1486,1575,1690,1778,1874,1968,2076,2194,2246,2316,2401
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",8623,9256,9767,10327,10832,11380,12193,13098,13947,14683,15569,16312,16466,17127,17783,18299,18983,19800
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",8301,8806,9308,9840,10283,10787,11568,12436,13297,13995,14914,15648,15835,16478,17173,17658,18327,19102
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",2003,2097,2209,2369,2531,2612,2709,2876,3101,3264,3464,3641,3706,3779,3932,4147,4381,4546
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",2096,2214,2383,2519,2734,3020,3274,3509,3805,4044,4308,4663,4987,5268,5498,5720,5860,6088
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",387,410,440,449,467,463,485,525,548,568,597,619,607,626,659,681,719,754
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",534,551,559,564,569,587,643,700,749,805,875,885,891,920,934,962,1000,1041
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",890,922,1001,1068,1080,1166,1228,1311,1377,1480,1550,1614,1623,1662,1707,1769,1824,1909
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1067,1178,1287,1429,1396,1388,1530,1652,1759,1751,1969,2060,1917,2079,2276,2187,2337,2401
"46000","South Dakota","4","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",1323,1433,1429,1442,1506,1553,1698,1864,1957,2082,2150,2166,2103,2146,2167,2192,2206,2364
