"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",1247719,1324053,1414626,1522149,1588175,1651691,1742495,1866324,2004719,2132844,2236784,2288824,2257006,2353414,2470422,2555684,2639438,2741732
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",482185,508140,552695,589692,604718,620131,652189,701008,753994,800960,830752,830913,790133,834380,890895,925818,950775,976293
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",175848,190855,208595,219220,224602,234862,244611,262171,278034,288299,293645,268334,248186,260568,273232,290132,303480,314572
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",77413,84553,91912,94695,98290,102932,103182,106391,108882,106828,107777,88931,82073,90104,95302,103643,109611,115327
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",41356,44645,48743,51931,53375,56142,58768,64230,69738,73886,72860,67730,61380,62643,64850,68084,70785,73502
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",38255,41433,45794,48745,49587,51528,56420,62697,68741,73728,76378,74894,69015,70597,72704,76500,79606,81605
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",18824,20224,22145,23850,23350,24259,26240,28853,30673,33856,36631,36780,35717,37224,40377,41906,43478,44137
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",306337,317285,344100,370472,380116,385270,407578,438837,475960,512662,537107,562579,541947,573813,617662,635686,647295,661721
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",117827,122290,129632,136145,140381,141488,146762,155627,165848,173909,182665,192767,194150,199233,209239,214281,218325,222832
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",55222,57643,61070,62500,62465,62531,63966,66777,69560,72877,74041,72994,70776,73923,77380,80367,82500,83962
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",37526,34168,38186,48117,46007,43285,50207,59635,73530,84769,90265,101049,73747,87237,106649,108809,106703,102155
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",95763,103184,115212,123710,131263,137965,146642,156797,167022,181107,190135,195769,203275,213420,224394,232228,239767,252772
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",765533,815913,861931,932457,983457,1031559,1090306,1165316,1250725,1331883,1406032,1457910,1466872,1519034,1579527,1629866,1688662,1765439
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",754845,804014,847778,915486,963813,1009368,1068341,1143741,1230853,1307318,1379634,1426387,1436731,1488383,1548435,1594680,1650717,1725423
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",212119,224979,236790,253837,272066,282939,296672,313798,340807,364211,382734,401476,414108,424004,436499,445707,462145,480717
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",186296,194930,201846,216054,235449,256011,272566,293867,314136,331876,350290,365924,382604,398250,415799,433097,443774,459616
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",36140,38547,41290,44559,43996,42772,45029,46985,49308,51542,53046,52559,48506,49293,51749,53409,55713,59147
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",42025,43985,46907,50416,51552,53225,56787,61714,65794,70580,75626,78317,77255,79294,82579,86508,89404,93469
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",85223,89099,93646,100160,102489,106960,114342,123833,133526,142128,148981,152439,150202,155143,163045,172054,178452,187704
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",96640,105591,115153,127598,124937,127480,133930,146037,160628,169027,179974,179659,167505,178317,185157,182280,193270,203558
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",96402,106883,112147,122862,133325,139979,149014,157508,166653,177954,188982,196013,196551,204082,213607,221625,227958,241213
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",10688,11899,14153,16971,19644,22191,21966,21575,19872,24565,26398,31524,30142,30651,31092,35186,37946,40016
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",87304,96104,102462,110481,120265,131417,137954,147115,156895,170694,181939,193367,199566,208066,216425,226754,237661,244944
"95000","Southeast","5","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",76616,84205,88309,93509,100621,109225,115988,125541,137023,146129,155541,161844,169425,177416,185333,191568,199715,204929
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",18719,19579,20631,21902,22586,23214,24214,25559,27037,28413,29384,29703,29005,29952,31163,31950,32727,33696
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7234,7514,8060,8485,8600,8716,9063,9600,10169,10670,10913,10783,10154,10619,11238,11574,11789,11999
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2638,2822,3042,3154,3194,3301,3399,3590,3750,3841,3858,3482,3189,3316,3447,3627,3763,3866
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1161,1250,1340,1363,1398,1447,1434,1457,1468,1423,1416,1154,1055,1147,1202,1296,1359,1417
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",620,660,711,747,759,789,817,880,941,984,957,879,789,797,818,851,878,903
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",574,613,668,701,705,724,784,859,927,982,1003,972,887,898,917,956,987,1003
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",282,299,323,343,332,341,365,395,414,451,481,477,459,474,509,524,539,542
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4596,4692,5018,5331,5406,5415,5664,6010,6419,6829,7056,7301,6965,7303,7792,7947,8026,8133
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1768,1808,1891,1959,1996,1989,2039,2131,2237,2317,2400,2502,2495,2536,2639,2679,2707,2739
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",828,852,891,899,888,879,889,915,938,971,973,947,910,941,976,1005,1023,1032
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",563,505,557,692,654,608,698,817,992,1129,1186,1311,948,1110,1345,1360,1323,1255
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1437,1526,1680,1780,1867,1939,2038,2147,2253,2413,2498,2541,2612,2716,2831,2903,2973,3107
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",11485,12065,12570,13417,13986,14498,15151,15959,16868,17743,18471,18920,18851,19333,19925,20376,20938,21697
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",11325,11889,12364,13173,13707,14186,14846,15664,16600,17416,18124,18511,18463,18943,19533,19936,20467,21206
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",3182,3327,3453,3652,3869,3977,4123,4297,4596,4852,5028,5210,5322,5396,5506,5572,5730,5908
"95000","Southeast","5","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2795,2882,2944,3109,3348,3598,3788,4025,4237,4421,4602,4749,4917,5069,5245,5414,5502,5649
