"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",553742,595139,639759,695295,734016,761786,800317,854104,923446,989142,1045334,1080226,1066373,1112860,1183656,1236775,1287371,1353920
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",212684,225494,245777,265934,276068,282937,295845,317899,348270,371996,393348,398043,378108,398664,432473,456615,474564,494226
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",78462,86918,95846,103314,107162,110747,112811,120265,128554,136010,143055,133516,123220,128187,136502,147819,154433,160644
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",36095,40291,44564,47470,50969,52208,51702,52605,53855,54065,57006,48694,44560,48099,51939,59169,62535,66563
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",16706,18262,20272,22121,22543,23632,24065,26180,28851,31105,32145,31101,28647,29235,31049,32109,33413,34836
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",16713,18747,20562,22340,22540,23469,24715,27994,31080,33852,35183,35007,31792,32344,32947,34830,36029,36441
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",8948,9618,10448,11384,11110,11438,12329,13487,14769,16988,18721,18714,18222,18509,20567,21710,22456,22804
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",134222,138576,149931,162620,168905,172190,183034,197634,219716,235987,250293,264527,254888,270477,295970,308796,320131,333582
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",48608,50073,53414,55794,58470,59132,62166,66852,72036,76870,81586,86454,86757,89514,95298,98382,101743,105806
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",25306,26382,27760,29248,29345,29633,30665,31661,34186,36767,37999,37684,37303,38894,41855,44122,45303,45517
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",17125,15394,16898,21672,21541,20102,23251,27831,36843,38915,43298,48673,36166,42537,53725,56271,57297,57570
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",43184,46727,51860,55905,59549,63322,66953,71289,76651,83435,87411,91716,94662,99532,105092,110021,115788,124689
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",341058,369644,393982,429361,457948,478849,504471,536205,575176,617145,651987,682183,688265,714196,751184,780160,812807,859694
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",333786,360626,383478,417080,443714,462887,487563,518984,559073,598764,633430,663479,669597,693900,730821,758019,790622,835953
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",98815,104771,110102,118768,128360,132255,139003,147524,159252,171048,177931,185528,189742,192455,200353,204815,214346,225602
"96000","Southwest","6","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",75132,80054,83218,88940,98608,109033,116401,124816,134451,142019,151637,162154,171606,180839,190366,198444,204393,214356
