"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",104685,110754,118095,125886,129265,133545,139555,147958,156848,166556,173695,177027,174586,183553,193274,199180,204537,211871
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",41430,43830,47695,50309,50308,50771,52688,55971,59230,62243,65384,65418,62168,66477,71356,73198,74291,76226
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",15564,16907,18409,19037,19188,19547,20026,21094,21839,22395,23008,20700,19135,20772,21738,22700,23364,24212
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",7135,7704,8390,8396,8523,8827,8672,8681,8691,8354,8588,6927,6260,7122,7612,8236,8462,9092
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",3388,3648,3932,4185,4164,4205,4365,4699,4999,5226,5308,4961,4516,4756,4916,5086,5300,5429
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",3471,3838,4224,4396,4467,4443,4750,5243,5565,6052,6106,5865,5605,5914,5997,6087,6210,6285
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1570,1717,1863,2060,2034,2071,2239,2470,2584,2763,3006,2947,2754,2980,3214,3291,3392,3405
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",25866,26922,29286,31272,31120,31224,32662,34877,37391,39848,42376,44718,43033,45704,49618,50498,50926,52015
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",9394,9777,10437,10800,10765,10699,11019,11537,12210,12998,14096,15013,15554,16086,17202,17302,17339,17636
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",5013,5314,5467,5516,5531,5409,5334,5558,5794,5949,6094,5903,5573,5893,6186,6407,6529,6625
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",3325,2981,3401,4313,3695,3417,3857,4655,5661,6385,7012,8103,5658,6602,8203,8460,8092,8022
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",8134,8850,9980,10643,11130,11699,12453,13128,13727,14516,15174,15700,16248,17123,18026,18329,18967,19732
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",63255,66925,70400,75577,78957,82775,86866,91987,97617,104313,108311,111609,112418,117076,121919,125982,130247,135645
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",62394,65916,69190,73920,77221,80583,84900,90092,95946,102030,106201,109128,110164,114710,119640,123201,127027,132443
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",16961,18083,19073,20344,21803,22595,23491,24615,26486,27997,28991,30343,30955,31637,32663,33111,34329,35874
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",16712,17072,17467,18596,20118,21639,23041,24898,26423,28411,29539,30253,31671,33234,34804,36240,36682,37734
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",2709,2841,3053,3224,3142,3014,3173,3300,3493,3670,3686,3657,3376,3454,3641,3737,3905,4084
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",3552,3580,3678,3879,4017,4306,4678,4921,5108,5665,5775,5935,5806,6054,6392,6754,6900,7421
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",7023,7238,7668,7914,8004,8357,8873,9387,10084,10644,11220,11293,11227,11720,12265,13019,13478,13961
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",8028,9033,9807,10827,10410,10573,11047,11966,12827,13280,14081,14205,13392,14372,14932,14912,15885,16635
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",7409,8069,8443,9136,9727,10099,10597,11003,11525,12363,12910,13443,13737,14239,14943,15427,15848,16734
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",861,1008,1209,1657,1736,2191,1966,1895,1671,2283,2110,2480,2253,2366,2279,2781,3219,3202
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",7045,7671,8257,9293,9860,11165,11382,12066,12661,14106,14689,15618,16099,16920,17293,18254,19483,19751
"47000","Tennessee","5","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",6183,6663,7048,7636,8124,8974,9416,10171,10989,11823,12580,13138,13846,14554,15014,15473,16264,16549
"47000","Tennessee","5","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",19036,19884,20944,22071,22478,23041,23864,25032,26180,27355,28125,28336,27686,28876,30207,30856,31480,32350
"47000","Tennessee","5","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7534,7869,8459,8820,8748,8760,9010,9469,9886,10223,10587,10471,9859,10458,11152,11339,11434,11639
"47000","Tennessee","5","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2830,3035,3265,3338,3337,3372,3425,3569,3645,3678,3726,3313,3034,3268,3397,3517,3596,3697
"47000","Tennessee","5","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1298,1383,1488,1472,1482,1523,1483,1469,1451,1372,1391,1109,993,1120,1190,1276,1302,1388
"47000","Tennessee","5","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",616,655,697,734,724,726,746,795,834,858,860,794,716,748,768,788,816,829
