"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",374650,404061,435047,474657,502730,520514,544468,577577,622235,662922,699533,724466,717957,750700,802829,841728,879703,929576
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",142946,152216,166198,180128,187399,191554,198906,212287,232493,246212,261041,265539,254209,269432,294425,313308,326655,342126
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",53017,59079,65446,70801,73587,75740,76258,80469,85660,90521,96165,90911,84708,88601,94733,103604,108570,113451
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",24855,28006,31124,33511,36129,36807,36018,36213,36737,36886,39187,34120,31509,34157,36982,42560,44863,48156
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",10994,12006,13546,14816,15075,15819,15809,16946,18513,19934,21076,20828,19540,20073,21277,22147,23320,24416
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",11070,12506,13672,14718,14881,15454,16198,18371,20541,22313,23287,23322,21291,21761,22204,23759,24664,24884
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",6098,6561,7104,7756,7502,7660,8233,8939,9869,11388,12616,12641,12368,12611,14270,15139,15723,15996
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",89929,93137,100751,109327,113812,115815,122648,131818,146832,155691,164876,174629,169501,180830,199692,209704,218085,228674
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",32612,33574,35885,37772,39784,40165,42084,45077,48310,51286,54277,57736,58315,60486,65096,67973,70794,73821
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",18018,18928,19858,20898,20835,20861,21492,21970,23851,25776,26663,26456,26322,27491,29969,31771,32608,32742
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",10977,9860,10858,13945,14013,13138,15279,18495,25116,25099,28219,31379,23656,28197,35994,37823,38676,39364
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",28322,30775,34151,36712,39181,41650,43793,46277,49556,53530,55717,59058,61208,64657,68633,72137,76007,82747
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",231704,251845,268850,294529,315331,328959,345563,365290,389743,416710,438492,458926,463748,481268,508403,528420,553048,587450
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",226648,245610,261627,285837,305227,317537,333058,352656,377813,403640,425759,446592,451353,467648,494599,513529,538504,571703
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",67785,71758,75331,81312,88079,90568,95357,101017,108873,116555,120307,124515,126690,127672,133381,136237,143719,151802
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",50853,54495,56555,60516,67586,74672,78844,83837,89328,94298,100649,107648,114328,120736,127328,132629,137099,144704
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",13487,14772,16081,17703,17728,17082,16917,17130,17823,18780,19591,20300,19102,19541,21160,22650,24104,26133
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",13440,14836,16485,18224,19357,20334,20981,22102,22935,24727,26608,27522,27563,28412,29886,31527,32804,34697
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",24044,25687,27390,29965,30902,31745,33541,36058,38965,42303,44778,47216,47979,49703,53311,57101,59809,63910
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",29198,32422,35651,40082,40098,40112,42046,45177,50627,54146,58024,60848,55827,60437,64877,65728,70679,75583
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",27841,31640,34135,38035,41477,43024,45373,47336,49261,52832,55804,58543,59864,61148,64655,67658,70290,74875
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",5056,6235,7223,8692,10104,11422,12504,12634,11930,13070,12732,12334,12395,13620,13804,14891,14544,15747
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",28333,31306,33536,36803,40409,44472,48635,51852,55076,58709,61073,64237,68770,73528,76528,81587,82959,86338
"48000","Texas","6","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",23277,25071,26313,28111,30306,33050,36131,39218,43146,45638,48340,51902,56375,59908,62724,66695,68415,70591
"48000","Texas","6","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",18979,20045,21162,22663,23581,23998,24714,25792,27317,28379,29353,29802,28948,29736,31290,32257,33189,34484
