"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",5557762,5899792,6303893,6789177,7099701,7380019,7760899,8255300,8789586,9299424,9745473,10008303,9840449,10196850,10682155,11044057,11386572,11860250
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",2003806,2105478,2283640,2449635,2521834,2594547,2716926,2895537,3075755,3231229,3356541,3370357,3191925,3357470,3589317,3732509,3831035,3942739
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",715530,779295,855570,912571,941515,985367,1017526,1079823,1127231,1156115,1184633,1102283,1023319,1070692,1125327,1191861,1237810,1280215
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",293083,320205,350730,363227,383289,401347,401518,409312,409954,394950,400573,339630,317058,341955,363458,395763,416673,440185
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",160491,173579,191185,208106,214940,225868,235161,254311,271273,283597,283458,268714,244311,250417,260672,271383,280200,287938
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",174632,191360,210922,230858,234934,244772,259193,284088,305023,324101,335780,329331,303775,312735,320981,336605,346845,354614
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",87324,94151,102733,110380,108352,113380,121654,132112,140981,153467,164822,164608,158175,165585,180216,188109,194092,197478
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",1288276,1326183,1428070,1537064,1580319,1609180,1699400,1815714,1948524,2075114,2171908,2268074,2168606,2286778,2463990,2540648,2593225,2662524
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",474776,487437,515530,540579,564003,575052,599581,632604,668217,700260,737331,772884,769958,788899,829146,848789,865985,886536
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",247496,257805,271097,280832,277868,278836,285347,297485,310659,320213,323692,319506,306498,320558,338946,354287,362506,368863
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",147662,132355,146545,184516,177985,167900,196412,232733,283770,319650,345546,389148,284500,333415,409558,416885,412991,401139
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",418342,448586,494898,531137,560463,587392,618060,652892,685878,734991,765339,786536,807650,843906,886340,920687,951744,1005986
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",3553956,3794314,4020253,4339542,4577867,4785472,5043973,5359763,5713831,6068195,6388932,6637946,6648524,6839380,7092838,7311548,7555536,7917511
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",3448368,3670507,3882024,4181501,4398785,4587130,4838461,5153391,5503563,5829010,6140152,6355802,6372507,6564030,6817839,7018678,7251623,7595165
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",1009822,1065472,1123133,1198556,1287492,1333584,1394121,1469083,1583621,1682374,1758184,1839073,1880993,1908992,1959856,1995376,2057402,2142565
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",790949,832046,863590,918425,996564,1082873,1154646,1240115,1322285,1394226,1481787,1556486,1627380,1690701,1764711,1835856,1880713,1953980
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",214308,227631,244091,263548,264704,258159,265464,276562,289385,302056,312216,311715,289694,292922,308124,319486,333852,354543
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",208318,220205,238056,254392,262290,271404,289178,312103,328899,351945,375845,384491,375999,385051,400558,419776,434672,455499
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",343428,361836,380330,408782,419663,436311,461897,496424,530642,566252,595634,612466,600334,617711,649504,685129,710233,750880
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",429244,467277,509124,566284,552822,562584,588472,635347,689633,724208,768491,771483,718956,763238,795799,789303,837741,882745
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",452299,496040,523700,571514,615250,642215,684683,723757,759098,807949,847995,880088,879151,905415,939287,973752,997011,1054953
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",105588,123807,138229,158041,179082,198342,205512,206372,210268,239185,248780,282144,276017,275350,274999,292870,303913,322346
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",502624,542521,576319,621641,676441,737060,774643,818994,868456,932226,983141,1040912,1072564,1105893,1139563,1192997,1233214,1278344
"00000","United States"," ","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",397036,418714,438090,463600,497359,538718,569131,612622,658188,693041,734361,758768,796547,830543,864564,900127,929301,955998
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",20384,21387,22591,24061,24914,25658,26752,28194,29743,31166,32352,32912,32077,32962,34268,35160,35977,37196
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7349,7633,8184,8682,8850,9021,9365,9889,10408,10829,11143,11083,10405,10853,11514,11883,12104,12365
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2624,2825,3066,3234,3304,3426,3507,3688,3814,3875,3933,3625,3336,3461,3610,3794,3911,4015
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1075,1161,1257,1287,1345,1395,1384,1398,1387,1324,1330,1117,1034,1105,1166,1260,1317,1381
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",589,629,685,738,754,785,811,869,918,950,941,884,796,810,836,864,885,903
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",641,694,756,818,824,851,893,970,1032,1086,1115,1083,990,1011,1030,1072,1096,1112
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",320,341,368,391,380,394,419,451,477,514,547,541,516,535,578,599,613,619
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4725,4808,5118,5447,5546,5595,5858,6201,6594,6955,7210,7458,7069,7392,7904,8088,8194,8350
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1741,1767,1848,1916,1979,1999,2067,2160,2261,2347,2448,2542,2510,2550,2660,2702,2736,2780
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",908,935,972,995,975,969,984,1016,1051,1073,1075,1051,999,1036,1087,1128,1145,1157
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",542,480,525,654,625,584,677,795,960,1071,1147,1280,927,1078,1314,1327,1305,1258
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1534,1626,1774,1882,1967,2042,2130,2230,2321,2463,2541,2586,2633,2728,2843,2931,3007,3155
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",13035,13755,14407,15380,16064,16638,17387,18305,19335,20337,21209,21829,21673,22109,22754,23277,23872,24831
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",12648,13306,13912,14819,15436,15948,16678,17600,18624,19536,20384,20901,20773,21219,21872,22345,22912,23820
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",3704,3862,4025,4248,4518,4637,4806,5017,5359,5638,5837,6048,6132,6171,6287,6352,6501,6720
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2901,3016,3095,3255,3497,3765,3980,4235,4474,4673,4919,5118,5305,5465,5661,5845,5942,6128
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",786,825,875,934,929,898,915,945,979,1012,1036,1025,944,947,988,1017,1055,1112
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",764,798,853,902,920,944,997,1066,1113,1180,1248,1264,1226,1245,1285,1336,1373,1429
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1260,1312,1363,1449,1473,1517,1592,1695,1796,1898,1977,2014,1957,1997,2084,2181,2244,2355
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1574,1694,1825,2007,1940,1956,2028,2170,2334,2427,2551,2537,2344,2467,2553,2513,2647,2768
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","21","...","  Other services",1659,1798,1877,2025,2159,2233,2360,2472,2569,2708,2815,2894,2866,2927,3013,3100,3150,3309
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",387,449,495,560,628,690,708,705,712,802,826,928,900,890,882,932,960,1011
"00000","United States"," ","2","Per capita personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1843,1967,2065,2203,2374,2563,2670,2797,2939,3124,3264,3423,3496,3575,3656,3798,3896,4009
