"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",39268,41866,44694,47896,49873,52092,54528,59367,64923,71004,76121,78725,77108,79220,82768,86407,90599,95369
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",15443,16421,17970,18624,18794,19449,20528,22801,25044,27628,30213,30387,28379,28937,30211,31774,33255,34838
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",5898,6257,6783,7043,7092,7541,7674,8495,9413,10097,11084,10185,9085,9135,9479,10213,11007,11576
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",2292,2439,2523,2627,2699,2914,2837,3008,3182,3319,3648,3184,2879,2962,3156,3487,3832,4052
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",1476,1566,1678,1759,1766,1835,1887,2128,2332,2624,2917,2695,2351,2357,2355,2507,2639,2747
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",1541,1632,1934,1976,1940,2048,2161,2517,2991,3104,3360,3155,2738,2806,2925,3082,3325,3558
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",589,620,648,681,688,744,789,841,908,1050,1158,1151,1117,1010,1043,1137,1210,1219
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",9544,10163,11186,11581,11702,11908,12854,14307,15631,17530,19129,20202,19294,19802,20732,21561,22248,23261
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",3541,3922,4182,4134,4079,4122,4355,4804,5111,5599,6155,6611,6552,6586,6621,6834,6897,7184
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",1711,1756,1841,1846,1863,1907,1991,2087,2210,2412,2544,2528,2517,2514,2627,2831,2947,3044
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",1188,1109,1280,1660,1567,1429,1620,1968,2369,2817,3109,3498,2454,2800,3458,3737,3700,3629
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",3105,3376,3883,3941,4193,4450,4888,5448,5942,6702,7320,7565,7772,7902,8026,8159,8704,9404
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",23825,25445,26725,29272,31079,32643,34000,36566,39879,43376,45909,48338,48729,50283,52557,54633,57344,60531
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",23141,24656,25859,28274,29941,31371,32768,35372,38668,41926,44361,46554,46911,48439,50805,52800,55472,58556
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",7519,8008,8492,9092,9876,10219,10616,11396,12375,13229,13768,14449,14998,15223,15797,16182,16861,17530
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",4356,4539,4561,5058,5586,6234,6696,7444,8232,8929,9482,10223,10762,11032,11470,11993,12597,13236
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",1561,1694,1798,1891,1878,1862,1958,1974,2156,2282,2444,2473,2256,2213,2284,2371,2526,2671
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",1599,1717,1857,2078,2251,2404,2369,2481,2642,2883,3041,3121,3172,3450,3818,4192,4524,4768
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",2368,2484,2590,2816,2921,3080,3138,3317,3564,3913,4189,4443,4286,4403,4650,4971,5173,5534
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",2753,3030,3339,3729,3696,3773,3903,4237,4738,5146,5651,5772,5300,5621,5924,5898,6410,6761
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",2984,3185,3222,3610,3734,3799,4088,4523,4961,5544,5787,6072,6137,6498,6863,7192,7382,8055
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",684,789,866,998,1138,1272,1231,1194,1212,1450,1548,1785,1818,1844,1752,1833,1872,1975
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",3359,3491,3644,3961,4336,4768,4684,4787,5060,5716,6190,6657,7143,7489,7345,7559,7694,7930
"49000","Utah","7","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",2675,2703,2778,2963,3198,3496,3452,3593,3848,4266,4642,4872,5325,5645,5593,5726,5822,5955
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",18525,19329,20284,21339,21838,22407,23104,24720,26416,28115,29303,29562,28313,28555,29399,30263,31211,32406
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7285,7581,8155,8298,8229,8366,8698,9494,10190,10939,11630,11411,10420,10430,10731,11128,11456,11838
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2783,2889,3078,3138,3105,3244,3251,3537,3830,3998,4267,3824,3336,3293,3367,3577,3792,3934
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1081,1126,1145,1170,1182,1253,1202,1252,1295,1314,1404,1195,1057,1068,1121,1221,1320,1377
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",697,723,762,784,773,789,800,886,949,1039,1123,1012,863,850,836,878,909,933
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",727,754,878,881,849,881,916,1048,1217,1229,1293,1185,1005,1011,1039,1080,1145,1209
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",278,286,294,303,301,320,334,350,370,416,446,432,410,364,370,398,417,414
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4503,4692,5077,5160,5124,5122,5446,5957,6360,6941,7364,7586,7084,7137,7364,7552,7664,7904
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1671,1811,1898,1842,1786,1773,1845,2000,2079,2217,2369,2482,2406,2374,2352,2394,2376,2441
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",807,811,836,823,816,820,844,869,899,955,979,949,924,906,933,991,1015,1034
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",560,512,581,740,686,615,686,819,964,1115,1197,1314,901,1009,1228,1309,1274,1233
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1465,1559,1762,1756,1836,1914,2071,2269,2418,2654,2818,2841,2854,2848,2851,2858,2998,3195
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",11239,11748,12128,13042,13609,14041,14406,15226,16226,17175,17673,18152,17893,18124,18668,19135,19755,20569
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",10917,11384,11736,12597,13111,13494,13884,14729,15733,16601,17077,17481,17225,17460,18046,18493,19110,19897
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",3547,3697,3854,4051,4324,4396,4498,4745,5035,5238,5300,5426,5507,5487,5611,5668,5808,5957
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2055,2096,2070,2254,2446,2682,2837,3100,3350,3535,3650,3839,3952,3976,4074,4200,4340,4498
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",737,782,816,843,822,801,830,822,877,903,941,929,828,798,811,831,870,907
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",754,793,843,926,986,1034,1004,1033,1075,1142,1170,1172,1165,1243,1356,1468,1558,1620
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1117,1147,1175,1255,1279,1325,1330,1381,1450,1550,1612,1668,1574,1587,1652,1741,1782,1881
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1299,1399,1515,1661,1618,1623,1654,1764,1928,2037,2175,2167,1946,2026,2104,2066,2208,2297
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","21","...","  Other services",1408,1470,1462,1608,1635,1634,1732,1883,2018,2195,2228,2280,2253,2342,2438,2519,2543,2737
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",323,364,393,445,498,547,522,497,493,574,596,670,668,665,622,642,645,671
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1585,1612,1654,1765,1899,2051,1984,1993,2059,2263,2383,2500,2623,2699,2609,2647,2651,2695
"49000","Utah","7","2","Per capita personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1262,1248,1261,1320,1400,1504,1463,1496,1566,1689,1787,1830,1955,2035,1987,2005,2006,2023
"Note: See the included footnote file."
All personal consumption expenditures (PCE) estimates are in millions of current dollars (not adjusted for inflation). Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates available as of December 2014.
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Product Division"
