"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",139381,149044,162263,176516,185262,193593,206013,222420,239774,253772,266912,274873,272194,281830,294726,304866,312884,323164
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",52036,55020,60904,65764,67715,70087,74118,80121,85486,90026,92478,93362,88890,93394,99441,102984,104162,105529
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",18178,19984,22374,24146,25003,26242,27609,30125,31610,32243,32580,30462,28646,29770,31157,32754,33463,34070
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",7429,8145,8936,9554,10178,10813,11133,11890,11933,11385,11574,9723,9303,10026,10373,11145,11483,11861
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",4378,4745,5355,5676,5985,6556,6906,7610,8119,8282,8098,7648,6983,7143,7515,7828,7963,8098
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",4046,4595,5330,5993,5981,5844,6299,6981,7625,8219,8304,8443,7910,8058,8332,8615,8688,8693
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",2325,2500,2752,2923,2859,3028,3271,3644,3933,4357,4604,4648,4449,4543,4936,5166,5329,5417
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",33858,35036,38530,41619,42713,43845,46509,49996,53876,57784,59898,62900,60244,63624,68284,70230,70700,71460
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",12062,12376,13225,14045,14547,15123,15658,16520,17611,18655,19502,20599,20603,21346,22483,23089,23304,23602
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",6650,6970,7554,7565,7575,7683,7959,8464,8800,9140,9089,8987,8658,9051,9353,9674,9740,9818
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",4081,3732,4208,5354,5255,5020,5954,7024,8668,9729,10366,11671,8524,9986,11912,11961,11529,10891
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",11065,11958,13543,14655,15336,16019,16938,17989,18797,20259,20941,21643,22459,23241,24537,25507,26126,27149
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",87344,94023,101359,110752,117547,123506,131895,142299,154288,163746,174434,181512,183303,188436,195285,201882,208721,217635
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",86307,92557,99721,108921,115412,120939,129095,139574,151463,160249,170810,177147,179275,184692,191371,196942,203331,211881
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",26969,28390,30058,32148,34406,36031,37859,40407,43889,46713,49724,52729,55227,56598,58895,61202,63999,67196
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",16836,17673,18869,20232,22134,24112,26059,28368,30805,32671,34627,36777,38695,40113,42025,43673,44648,45951
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",4190,4475,4967,5380,5367,5292,5657,6113,6535,6749,6900,6820,6483,6653,7063,7327,7494,7703
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",4247,4761,5257,5819,6087,6453,6943,7660,8361,8956,9814,9817,9666,9915,9879,10119,10222,10466
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",8928,9274,9891,10812,11197,11661,12578,13778,14906,15972,16707,17239,16984,17460,18272,19093,19425,20164
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",11342,12187,13424,15006,14745,15110,16125,17637,19519,20520,21959,21891,20763,22111,23037,22804,24018,25141
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",13795,15799,17256,19524,21477,22280,23874,25610,27448,28667,31077,31873,31455,31843,32199,32723,33526,35261
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1037,1467,1638,1831,2135,2568,2800,2725,2825,3497,3625,4364,4029,3744,3914,4940,5391,5754
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",10764,12039,12617,13339,14526,16128,17610,18853,20296,21830,23127,25026,25972,26306,27632,29181,30648,31704
"51000","Virginia","5","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",9727,10573,10979,11509,12391,13560,14810,16127,17471,18333,19502,20662,21943,22561,23718,24241,25257,25949
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",20410,21598,23180,24841,25737,26567,27964,29753,31645,33070,34436,35089,34342,35117,36340,37209,37832,38813
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7620,7973,8700,9255,9407,9618,10061,10718,11282,11732,11931,11918,11215,11637,12261,12569,12595,12674
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2662,2896,3196,3398,3473,3601,3748,4030,4172,4202,4203,3889,3614,3709,3842,3998,4046,4092
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1088,1180,1277,1345,1414,1484,1511,1590,1575,1484,1493,1241,1174,1249,1279,1360,1388,1425
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",641,688,765,799,831,900,937,1018,1072,1079,1045,976,881,890,927,955,963,973
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",592,666,761,843,831,802,855,934,1006,1071,1071,1078,998,1004,1027,1051,1050,1044
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",340,362,393,411,397,416,444,487,519,568,594,593,561,566,609,631,644,651
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4958,5077,5504,5857,5934,6017,6313,6688,7110,7530,7728,8030,7601,7928,8420,8572,8549,8582
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1766,1793,1889,1977,2021,2075,2125,2210,2324,2431,2516,2630,2599,2660,2772,2818,2818,2835
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",974,1010,1079,1065,1052,1054,1080,1132,1161,1191,1173,1147,1092,1128,1153,1181,1178,1179
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",598,541,601,753,730,689,808,940,1144,1268,1337,1490,1075,1244,1469,1460,1394,1308
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1620,1733,1935,2062,2131,2198,2299,2406,2481,2640,2702,2763,2834,2896,3025,3113,3159,3261
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",12790,13625,14479,15586,16330,16949,17904,19035,20362,21339,22505,23171,23127,23480,24079,24640,25237,26138
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",12638,13412,14246,15328,16033,16597,17523,18671,19990,20883,22037,22614,22619,23013,23596,24037,24586,25447
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",3949,4114,4294,4524,4780,4945,5139,5405,5792,6087,6415,6731,6968,7052,7262,7470,7738,8070
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2465,2561,2696,2847,3075,3309,3537,3795,4066,4258,4467,4695,4882,4998,5182,5330,5399,5519
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",613,648,710,757,746,726,768,818,862,879,890,871,818,829,871,894,906,925
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",622,690,751,819,846,886,942,1025,1104,1167,1266,1253,1220,1235,1218,1235,1236,1257
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1307,1344,1413,1522,1555,1600,1707,1843,1967,2081,2156,2201,2143,2176,2253,2330,2349,2422
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1661,1766,1918,2112,2048,2074,2189,2359,2576,2674,2833,2795,2620,2755,2840,2783,2904,3020
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","21","...","  Other services",2020,2289,2465,2748,2984,3058,3241,3426,3622,3736,4009,4069,3969,3968,3970,3994,4054,4235
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",152,213,234,258,297,352,380,365,373,456,468,557,508,467,483,603,652,691
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1576,1745,1802,1877,2018,2213,2390,2522,2679,2845,2984,3195,3277,3278,3407,3561,3706,3808
"51000","Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1424,1532,1568,1620,1721,1861,2010,2157,2306,2389,2516,2638,2769,2811,2924,2959,3054,3117
"Note: See the included footnote file."
All personal consumption expenditures (PCE) estimates are in millions of current dollars (not adjusted for inflation). Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates available as of December 2014.
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Product Division"
