"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",13277,14012,14844,15911,16888,17672,18591,19905,21161,22199,23024,23839,23634,24520,25529,26050,27010,28050
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",4591,4726,5086,5459,5829,6135,6341,6833,7262,7458,7669,7985,7672,8016,8557,8732,9050,9390
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",1462,1587,1740,1857,2002,2172,2238,2424,2470,2399,2447,2346,2265,2341,2439,2547,2676,2809
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",687,756,817,851,917,984,1030,1084,1044,961,968,857,827,888,943,981,1029,1103
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",285,305,342,390,432,476,492,556,576,573,578,574,527,522,537,561,569,577
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",339,364,410,432,472,522,513,558,604,607,632,646,650,647,661,696,757,800
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",151,162,171,184,180,191,203,226,245,259,268,269,261,284,298,309,321,329
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",3128,3139,3346,3601,3827,3963,4103,4409,4792,5058,5222,5639,5408,5675,6118,6185,6374,6581
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1242,1266,1340,1367,1485,1568,1563,1639,1757,1845,1942,2092,2151,2224,2307,2378,2451,2571
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",509,503,513,537,531,522,524,533,556,565,547,530,505,516,520,521,534,535
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",484,423,461,602,629,613,730,887,1050,1153,1198,1427,1102,1246,1476,1424,1401,1368
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",893,947,1032,1095,1182,1259,1286,1351,1429,1495,1535,1590,1649,1689,1815,1863,1988,2107
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",8686,9286,9758,10452,11058,11537,12251,13072,13899,14741,15355,15854,15961,16504,16972,17318,17960,18660
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",8236,8711,9142,9763,10279,10780,11460,12264,13032,13747,14373,14798,14850,15365,15869,16183,16773,17413
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",2229,2353,2495,2643,2815,2930,3049,3237,3496,3737,3962,4144,4239,4271,4353,4439,4516,4578
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",1646,1748,1908,2063,2318,2553,2782,3013,3237,3432,3625,3734,3863,4112,4261,4376,4546,4682
"50000","Vermont","1","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",331,357,392,420,454,466,505,537,560,567,570,570,541,544,576,583,605,639
