"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",121390,134872,145074,156488,160996,166819,175724,188141,199967,213388,226318,233984,231405,238874,250342,261132,271542,284456
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",42015,47216,51036,54743,54714,56100,59674,62948,67673,72677,77257,77108,72796,75789,80954,84174,87719,90874
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",15074,18461,20198,21539,20971,21692,22810,23401,24867,26374,28609,26458,24458,25103,26152,28126,30028,31550
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",5640,6620,7218,7611,7316,7688,7747,7982,8194,7962,8351,7066,6652,6916,7226,7617,8313,8720
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",3550,4212,4536,4755,4806,4981,5289,5709,6087,6629,6939,6657,5745,5885,5977,6227,6626,6847
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",4291,5810,6534,7196,6899,7032,7670,7437,7871,8975,10234,9732,9256,9481,9878,10985,11699,12537
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1593,1819,1910,1976,1950,1989,2104,2273,2716,2808,3086,3003,2805,2821,3072,3297,3390,3446
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",26940,28756,30837,33205,33743,34409,36865,39547,42805,46303,48647,50650,48338,50686,54802,56048,57691,59324
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",10847,11409,11986,12741,13185,13659,14526,15548,16821,17926,18837,19835,19595,20037,21218,21525,22325,22798
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",4657,5260,5309,5279,5262,5124,5197,5469,5871,6246,6489,6163,5649,6271,6973,7221,7365,7477
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",3245,2973,3251,4225,3794,3478,4156,4833,5670,6343,6708,7482,5377,6162,7402,7387,7334,6991
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",8191,9113,10292,10960,11503,12148,12986,13698,14443,15788,16614,17170,17717,18216,19209,19915,20667,22057
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",79375,87656,94038,101745,106281,110719,116050,125193,132295,140711,149062,156876,158609,163085,169388,176958,183822,193582
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",76887,84595,90695,98262,102560,106490,111559,120658,127795,135495,143709,151021,152540,157090,163729,170586,176710,186571
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",25093,26618,28298,30114,32551,33928,35051,36843,39344,41356,42980,45358,47056,48086,49464,50946,53150,55451
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",15238,17192,18572,19225,21075,23027,24844,26767,28565,30065,32850,35443,37577,39123,41271,42683,43571,45823
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",5900,6527,6862,7565,7407,7137,7253,7542,7943,8301,8909,8995,8246,8038,8286,8634,9008,9481
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",4368,4779,5239,6063,6076,6218,6654,7919,7868,8357,9047,9520,9414,9711,10231,11112,11495,12277
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",7529,8451,8803,9228,9304,9397,10029,10771,11780,13232,13341,13618,13166,13477,14189,15198,15576,16354
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",9535,10545,11529,12853,12475,12728,13354,14695,15708,16644,18148,18467,17118,18054,18731,18898,20098,21453
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",9224,10484,11390,13213,13673,14056,14374,16120,16587,17539,18433,19620,19963,20601,21557,23115,23812,25731
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",2488,3061,3344,3483,3721,4229,4490,4535,4500,5216,5353,5855,6069,5995,5659,6372,7112,7011
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",10557,11555,12247,12768,13520,14839,15917,16855,17682,19229,20389,21224,22380,22957,23157,24729,26590,26740
"53000","Washington","8","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",8069,8494,8904,9285,9799,10610,11426,12320,13182,14013,15036,15369,16311,16962,17498,18357,19478,19729
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",21391,23376,24831,26476,26897,27563,28788,30450,31957,33495,35025,35656,34707,35431,36696,37865,38938,40282
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7404,8184,8735,9262,9141,9269,9776,10188,10815,11408,11956,11750,10918,11241,11866,12206,12579,12869
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2656,3200,3457,3644,3503,3584,3737,3787,3974,4140,4428,4032,3668,3723,3833,4078,4306,4468
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",994,1147,1235,1288,1222,1270,1269,1292,1309,1250,1292,1077,998,1026,1059,1105,1192,1235
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",626,730,776,805,803,823,866,924,973,1041,1074,1014,862,873,876,903,950,970
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",756,1007,1118,1217,1153,1162,1257,1204,1258,1409,1584,1483,1388,1406,1448,1593,1678,1775
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",281,315,327,334,326,329,345,368,434,441,478,458,421,418,450,478,486,488
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4747,4984,5278,5618,5637,5685,6039,6401,6841,7268,7529,7718,7250,7518,8033,8127,8273,8401
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1911,1977,2051,2156,2203,2257,2380,2516,2688,2814,2915,3023,2939,2972,3110,3121,3201,3228
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",821,912,909,893,879,847,851,885,938,980,1004,939,847,930,1022,1047,1056,1059
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",572,515,556,715,634,575,681,782,906,996,1038,1140,806,914,1085,1071,1052,990
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1443,1579,1762,1854,1922,2007,2127,2217,2308,2478,2571,2617,2657,2702,2816,2888,2964,3124
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",13987,15193,16095,17214,17756,18294,19012,20262,21142,22087,23069,23906,23789,24190,24829,25660,26359,27414
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",13549,14662,15523,16625,17134,17595,18276,19528,20423,21268,22240,23014,22878,23301,24000,24736,25339,26421
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",4422,4613,4843,5095,5438,5606,5742,5963,6288,6492,6652,6912,7058,7132,7250,7387,7622,7853
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2685,2980,3179,3253,3521,3805,4070,4332,4565,4719,5084,5401,5636,5803,6050,6189,6248,6489
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",1040,1131,1175,1280,1237,1179,1188,1221,1269,1303,1379,1371,1237,1192,1215,1252,1292,1343
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",770,828,897,1026,1015,1027,1090,1282,1257,1312,1400,1451,1412,1440,1500,1611,1648,1739
"53000","Washington","8","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1327,1465,1507,1561,1554,1553,1643,1743,1883,2077,2065,2075,1975,1999,2080,2204,2234,2316
