"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",105807,111663,119353,126777,132740,138090,145771,154594,163013,171637,178365,183850,181624,186271,193249,196469,202169,208940
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",38629,40072,43547,45422,46568,47682,49739,52812,55092,57835,59543,60938,58248,60834,64558,65784,67893,69803
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",14262,15352,16898,17254,17881,18636,19189,20082,20221,20124,20295,19667,18958,19867,20335,20837,22051,23070
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",6240,6670,7256,7334,7683,7851,7712,7628,7314,6699,6797,6097,6020,6382,6668,7071,7437,7909
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",3091,3333,3706,3829,3939,4148,4366,4735,4861,4899,4798,4631,4354,4504,4647,4650,4825,4990
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",3493,3794,4200,4334,4487,4809,5164,5659,5897,6161,6204,6374,6029,6269,6249,6312,6875,7241
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",1439,1556,1736,1758,1773,1829,1947,2060,2150,2364,2496,2564,2555,2712,2770,2805,2915,2931
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",24367,24719,26649,28168,28687,29046,30549,32729,34871,37712,39248,41271,39290,40967,44224,44947,45842,46733
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",9710,9802,10303,10534,10748,10894,11072,11767,12356,13214,13854,14315,14243,14386,15094,15316,15577,15777
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",4027,4149,4428,4486,4516,4504,4621,4690,4746,4853,4794,4858,4786,4924,5065,5136,5218,5277
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",3126,2804,3202,4015,3882,3678,4357,5100,6104,7007,7531,8589,6214,7244,8897,8944,8861,8597
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",7505,7965,8716,9133,9540,9971,10500,11172,11664,12638,13069,13508,14047,14414,15168,15550,16187,17083
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",67178,71591,75806,81356,86172,90408,96032,101783,107921,113802,118822,122912,123376,125437,128691,130685,134276,139137
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",63872,67765,71769,76853,81322,85239,90403,96090,102150,107555,112562,116131,116589,118748,122233,124356,127480,132083
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",17792,18717,19883,21341,22864,23778,24909,26015,27932,29253,30235,31344,31603,31718,32538,32849,33458,34962
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",15386,16333,17344,18667,20607,22550,24449,26490,28283,29947,31648,33392,34690,35302,36456,37701,38294,39015
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",3621,3885,4179,4417,4586,4463,4570,4803,5063,5293,5473,5443,5278,5325,5421,5511,5715,5998
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",4340,4508,4688,4837,5097,5308,5609,5947,6257,6680,7158,7330,7239,7358,7691,7849,8088,8320
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",5894,6116,6421,6912,6983,7228,7732,8253,8675,9209,9574,9718,9588,9853,10156,10556,10779,11192
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",8026,8716,9434,10410,10172,10390,10825,11634,12414,12918,13650,13626,12927,13560,14067,13842,14696,15401
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",8813,9489,9819,10269,11013,11521,12309,12947,13525,14256,14825,15278,15263,15632,15903,16047,16450,17194
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",3306,3826,4037,4503,4851,5169,5629,5693,5771,6247,6259,6781,6786,6689,6458,6329,6796,7054
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",11546,12239,12726,13651,14507,15510,16461,17269,18045,18914,19312,20330,21000,21448,21627,21448,22555,23200
"55000","Wisconsin","3","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",8240,8412,8688,9148,9656,10342,10832,11576,12274,12667,13052,13549,14214,14759,15169,15119,15759,16146
"55000","Wisconsin","3","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",20092,21078,22381,23591,24550,25360,26604,28037,29392,30772,31790,32592,32037,32741,33851,34318,35203,36290
"55000","Wisconsin","3","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7335,7564,8166,8452,8613,8757,9078,9578,9933,10369,10612,10803,10274,10693,11309,11491,11822,12124
