"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",29850,31237,32994,34969,36399,38211,39854,42305,44353,46459,48273,50267,50931,53286,55674,57257,58548,59785
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",11778,12173,12940,13658,13859,14375,14809,15734,16296,17025,17653,18357,18159,19292,20441,20993,21268,21478
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",3869,4091,4322,4485,4578,4859,4946,5260,5247,5249,5376,5203,5112,5425,5585,5894,5993,6034
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1829,1940,2058,2071,2194,2299,2300,2331,2228,2124,2174,1944,1916,2136,2247,2431,2485,2504
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",830,854,906,960,939,1022,1046,1122,1144,1155,1155,1153,1110,1126,1149,1190,1195,1199
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",771,830,878,946,954,1020,1052,1213,1240,1268,1289,1340,1337,1371,1373,1439,1466,1482
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",438,467,480,507,491,519,548,594,635,702,758,765,749,792,817,834,847,850
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",7909,8082,8618,9173,9280,9515,9863,10474,11049,11776,12277,13154,13047,13867,14856,15099,15275,15444
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",3087,3110,3194,3268,3278,3323,3401,3582,3741,3939,4129,4434,4545,4680,4788,4871,4943,4981
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",1097,1156,1189,1227,1196,1196,1189,1211,1275,1315,1333,1365,1360,1399,1439,1479,1513,1541
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",1034,920,1019,1236,1213,1177,1332,1569,1837,2058,2188,2475,1900,2274,2824,2818,2783,2669
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",2691,2897,3215,3442,3593,3818,3940,4112,4196,4464,4627,4881,5243,5515,5804,5931,6036,6254
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",18072,19064,20054,21311,22541,23837,25045,26571,28057,29434,30621,31910,32772,33994,35234,36264,37280,38307
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",17059,17993,18819,19979,21060,22275,23460,24905,26368,27571,28805,30017,30856,31982,33327,34211,35236,36312
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",4083,4265,4502,4743,5024,5265,5507,5883,6358,6718,7006,7288,7456,7475,7634,7711,7913,8124
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",5448,5731,5921,6226,6718,7218,7645,8202,8596,8817,9306,9712,10330,10664,11131,11762,12121,12628
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",527,574,636,662,694,702,714,723,749,775,822,848,842,904,920,945,960,979
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",676,741,834,951,1055,1177,1259,1332,1403,1460,1504,1515,1544,1612,1645,1654,1657,1675
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1728,1799,1861,1960,1993,2093,2238,2358,2533,2674,2766,2960,3045,3183,3519,3701,3886,3969
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",2218,2349,2500,2730,2667,2753,2835,2999,3197,3391,3549,3645,3497,3701,3877,3810,3990,4137
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",2380,2535,2566,2707,2909,3066,3263,3408,3532,3736,3851,4049,4142,4443,4601,4628,4709,4800
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",1013,1071,1235,1332,1480,1562,1585,1667,1689,1863,1815,1894,1916,2012,1907,2053,2043,1995
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",2881,2956,3211,3366,3626,3834,3874,4113,4294,4586,4606,4794,5038,5352,5281,5461,5475,5454
"54000","West Virginia","5","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1868,1885,1976,2034,2146,2272,2290,2447,2604,2724,2791,2900,3122,3340,3374,3408,3431,3459
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",16409,17205,18211,19352,20205,21165,21991,23290,24363,25417,26321,27315,27563,28738,30013,30844,31586,32311
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",6475,6705,7142,7558,7693,7962,8171,8662,8951,9314,9625,9975,9827,10404,11019,11309,11474,11608
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2127,2253,2386,2482,2541,2692,2729,2896,2882,2872,2931,2827,2766,2926,3011,3175,3233,3261
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1006,1069,1136,1146,1218,1273,1269,1283,1224,1162,1185,1057,1037,1152,1211,1309,1341,1353
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",457,470,500,532,521,566,577,618,628,632,630,626,601,608,619,641,645,648
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",424,457,485,524,529,565,581,668,681,694,703,728,724,739,740,775,791,801
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",241,257,265,281,273,288,303,327,349,384,413,416,405,427,440,449,457,459
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",4347,4451,4757,5076,5151,5270,5442,5766,6069,6442,6694,7148,7061,7479,8009,8134,8241,8347
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1697,1713,1763,1808,1820,1841,1877,1972,2055,2155,2251,2409,2460,2524,2581,2624,2667,2692
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",603,636,656,679,664,663,656,667,701,719,727,742,736,754,776,797,816,833
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",568,507,563,684,673,652,735,864,1009,1126,1193,1345,1028,1226,1522,1518,1502,1442
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1479,1596,1774,1905,1995,2115,2174,2264,2305,2442,2523,2652,2837,2974,3129,3195,3256,3380
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",9934,10500,11068,11794,12512,13203,13819,14628,15412,16103,16696,17340,17736,18334,18994,19535,20112,20703
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",9378,9910,10387,11057,11691,12338,12945,13711,14484,15084,15706,16311,16699,17249,17966,18429,19010,19625
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",2244,2349,2485,2625,2789,2916,3039,3239,3492,3675,3820,3960,4035,4031,4115,4154,4269,4391
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2995,3156,3268,3446,3729,3998,4218,4515,4722,4823,5074,5277,5590,5751,6001,6336,6539,6825
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",290,316,351,366,385,389,394,398,412,424,448,461,456,488,496,509,518,529
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",372,408,460,527,585,652,695,733,771,799,820,823,836,869,887,891,894,905
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",950,991,1027,1085,1107,1159,1235,1298,1391,1463,1508,1608,1648,1717,1897,1994,2097,2145
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1219,1294,1380,1511,1481,1525,1564,1651,1756,1855,1935,1981,1892,1996,2090,2052,2152,2236
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","21","...","  Other services",1308,1396,1416,1498,1615,1698,1801,1876,1940,2044,2100,2200,2242,2396,2480,2493,2541,2594
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",557,590,682,737,822,865,874,918,928,1019,990,1029,1037,1085,1028,1106,1102,1078
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",1584,1628,1772,1863,2013,2124,2138,2264,2358,2509,2512,2605,2727,2886,2847,2942,2954,2948
"54000","West Virginia","5","2","Per capita personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",1027,1038,1091,1126,1191,1258,1263,1347,1431,1490,1522,1576,1690,1801,1819,1836,1851,1870
"Note: See the included footnote file."
All personal consumption expenditures (PCE) estimates are in millions of current dollars (not adjusted for inflation). Per capita PCE estimates are in current dollars, and reflect Census Bureau midyear population estimates available as of December 2014.
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Product Division"
