"GeoFIPS","GeoName","Region","ComponentId","ComponentName","Line","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",9448,10034,10661,11364,11838,12445,13271,14357,15554,17066,18481,19671,18784,19420,20540,21289,21938,22826
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","2","..."," Goods",3686,3864,4120,4356,4473,4606,4922,5371,5870,6574,7244,7678,6954,7166,7685,7911,8028,8100
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","3","...","  Durable goods",1201,1288,1363,1407,1487,1591,1654,1801,1913,2069,2256,2196,2023,2023,2097,2200,2270,2335
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",535,586,649,663,724,761,758,800,826,858,927,826,754,795,863,923,939,977
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",237,256,262,279,290,313,325,351,384,424,455,466,427,419,422,432,445,459
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",299,311,315,325,339,375,413,472,511,563,625,641,587,568,583,615,645,652
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","7","...","   Other durable goods",131,134,137,140,135,142,158,178,192,224,249,263,254,241,229,230,241,247
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",2484,2577,2758,2949,2986,3014,3268,3570,3958,4506,4988,5482,4932,5144,5588,5711,5758,5765
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",919,964,1019,1028,1036,1058,1119,1185,1274,1397,1548,1649,1646,1642,1697,1727,1803,1841
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",336,353,352,341,339,332,345,365,385,416,425,434,425,436,457,463,472,481
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",525,492,553,717,708,676,809,976,1200,1487,1716,2011,1426,1622,1930,1952,1873,1764
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",704,768,834,863,902,948,994,1044,1098,1206,1300,1388,1435,1444,1504,1569,1609,1679
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","13","..."," Services",5762,6170,6541,7008,7365,7839,8349,8987,9684,10492,11238,11993,11829,12254,12855,13379,13910,14726
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",5662,6007,6354,6803,7138,7588,8015,8663,9424,10217,10950,11612,11507,11936,12575,13052,13596,14377
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",1511,1595,1674,1798,1930,2016,2104,2272,2489,2696,2840,2984,3075,3143,3308,3439,3621,3804
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","16","...","  Health care",1128,1202,1282,1389,1534,1705,1830,1971,2148,2293,2500,2692,2851,2981,3112,3237,3316,3445
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","17","...","  Transportation services",237,250,260,286,309,334,343,325,359,394,444,474,447,480,514,534,563,610
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","18","...","  Recreation services",325,332,342,349,357,364,374,411,440,488,516,533,515,523,543,567,592,637
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",794,796,841,883,880,957,1018,1111,1220,1338,1454,1541,1472,1481,1531,1623,1697,1778
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",716,776,858,946,945,980,1060,1169,1325,1468,1558,1654,1457,1562,1705,1702,1809,1929
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","21","...","  Other services",951,1056,1095,1154,1183,1232,1284,1405,1445,1540,1638,1733,1689,1765,1861,1950,1998,2173
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","22","..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",100,163,187,204,227,251,334,323,260,275,288,381,323,319,281,327,314,349
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","23","..."," Gross output of nonprofit institutions",834,895,957,1006,1076,1167,1211,1256,1341,1384,1538,1609,1684,1735,1722,1760,1789,1888
"56000","Wyoming","7","1","Total personal consumption expenditures (PCE) by state","24","..."," Less: Receipts from sales of goods and services by nonprofit institutions",734,733,769,802,849,915,876,933,1082,1109,1250,1228,1361,1416,1441,1433,1474,1538
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","1","...","Personal consumption expenditures",19303,20445,21679,22990,23932,24889,26359,28201,30252,32651,34552,36025,33551,34412,36186,36903,37615,39076
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","2","..."," Goods",7530,7874,8379,8813,9043,9211,9776,10549,11417,12578,13543,14062,12422,12698,13539,13712,13765,13867
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","3","...","  Durable goods",2455,2624,2771,2847,3007,3183,3285,3537,3720,3958,4217,4022,3613,3584,3694,3813,3893,3998
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","4","...","   Motor vehicles and parts",1093,1195,1320,1342,1463,1523,1506,1572,1607,1641,1734,1514,1348,1408,1520,1601,1610,1672
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","5","...","   Furnishings and durable household equipment",484,521,533,565,587,626,646,689,746,811,850,853,763,742,744,749,763,785
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","6","...","   Recreational goods and vehicles",611,635,640,657,685,749,820,926,993,1078,1168,1173,1048,1006,1027,1066,1106,1116
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","7","...","   Other durable goods",267,273,278,283,272,285,313,349,374,428,466,482,454,428,404,398,414,424
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","8","...","  Nondurable goods",5075,5250,5607,5967,6037,6028,6491,7012,7697,8620,9325,10040,8809,9114,9845,9899,9872,9869
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","9","...","   Food and beverages purchased for off-premises consumption",1877,1965,2072,2080,2095,2117,2223,2327,2478,2672,2893,3020,2940,2909,2989,2994,3092,3152
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","10","...","   Clothing and footwear",686,719,715,689,685,664,685,717,749,795,794,795,758,773,805,802,810,823
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","11","...","   Gasoline and other energy goods",1073,1002,1125,1451,1432,1352,1607,1917,2334,2846,3208,3683,2548,2874,3400,3384,3212,3019
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","12","...","   Other nondurable goods",1439,1565,1696,1747,1824,1895,1975,2050,2136,2307,2430,2542,2562,2558,2650,2720,2759,2874
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","13","..."," Services",11773,12571,13301,14177,14888,15677,16583,17652,18835,20073,21010,21964,21130,21714,22647,23191,23850,25210
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","14","...","  Household consumption expenditures (for services)",11569,12240,12920,13764,14430,15175,15919,17017,18329,19547,20472,21265,20553,21149,22153,22624,23311,24611
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","15","...","  Housing and utilities",3086,3250,3405,3637,3902,4033,4180,4462,4840,5157,5309,5466,5493,5569,5828,5961,6209,6513
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","16","...","  Health care",2305,2450,2608,2810,3101,3410,3635,3872,4177,4387,4674,4930,5093,5283,5482,5611,5686,5898
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","17","...","  Transportation services",485,509,530,578,624,667,682,638,697,753,830,868,798,851,906,925,965,1044
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","18","...","  Recreation services",665,677,695,706,723,728,744,807,855,934,964,976,919,927,956,983,1015,1091
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","19","...","  Food services and accommodations",1621,1622,1711,1786,1780,1914,2023,2182,2372,2559,2719,2823,2630,2624,2697,2814,2909,3043
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","20","...","  Financial services and insurance",1464,1581,1746,1913,1910,1960,2106,2296,2577,2810,2912,3030,2603,2768,3004,2950,3102,3302
"56000","Wyoming","7","2","Per capita personal consumption expenditures (PCE) by state","21","...","  Other services",1943,2151,2227,2334,2391,2463,2550,2760,2810,2947,3063,3174,3018,3127,3279,3380,3425,3720
